Belarusian	Slovenian	probability
ˈɵ	ə́	1.0
ˈɛ	éː	1.0
ˈæ	éː	1.0
ˈu	óː	1.0
ˈo_#>	ɔ_#>	1.0
ʧ	ʧ	1.0
ʦʲ	t	1.0
ʦ	ʦ	1.0
ʣʲ	d	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʂ	ʃ	1.0
ɫ_ɨ	w	1.0
ɨ_#>	#>	1.0
ɣ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
vʲ	ʋ	1.0
v_ˈo	o	1.0
v	ʋ	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	w_#>	1.0
lʲ	l	1.0
kʲ_i	ə_k	1.0
k	k	1.0
j	j	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_#>	óː_#>	1.0
<#_ʦʲ	<#_t	1.0
<#_x	<#_x	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
ˈa	a	0.857
ɫ	l	0.818
w	w	0.667
x	k	0.6
ˈi	íː	0.5
ˈi	ìː	0.5
e	ɛ	0.5
e	ə	0.5
ˈɨ	i	0.429
æ	ɛ̀ː	0.4
æ	èː	0.4
x	x	0.4
ˈe	éː	0.368
w	ʋ	0.333
ˈo	óː	0.296
ˈɨ	íː	0.286
ˈɨ	ìː	0.286
ˈe	èː	0.263
æ	éː	0.2
a	ɔ̀ː	0.188
a	ɔ	0.188
ɫ	w	0.182
ˈe	e	0.158
a	-	0.156
ˈo	ɔ́ː	0.148
ˈa	àː	0.143
a	a	0.125
ˈo	-	0.111
ˈe	ɛ	0.105
ˈe	ə́	0.105
a	éː	0.094
a	èː	0.094
a	áː	0.094
ˈo	ə	0.074
ˈo	ɔ́	0.074
ˈo	ɔ	0.074
ˈo	òː	0.074
ˈo	áː	0.074
ˈo	àː	0.074
a	àː	0.062
