Western Lombard	Asturian	probability
ˈɑː	ˈa	1.0
ˈœ	ɡ_w	1.0
ˈỹ	ˈu_n	1.0
ˈoː	ˈo	1.0
ˈĩ	ˈi_ŋ	1.0
ˈe	ˈe	1.0
z_ɡ	b	1.0
z	-	1.0
w	w	1.0
ũ	e_m	1.0
s_e	s_e	1.0
r_n	ɾ_n	1.0
r_b	ɾ_β	1.0
p_j	ʎ	1.0
p	p	1.0
o	o	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
ẽ	e_n	1.0
e_r	ɾ_e	1.0
m	m	0.91
k	k	0.876
ˈu	ˈo	0.874
a	a	0.864
t	t	0.787
f	f	0.767
ˈeː	ˈe	0.748
ˈiː	ˈi	0.732
s	s	0.728
n	n	0.719
ˈẽ	ˈe_n	0.709
b	b	0.698
ʤ	-	0.686
ˈøː	w	0.673
r	ɾ	0.67
u	o	0.666
l	l	0.635
ɡ	ɣ	0.619
ˈyː	ˈu	0.615
ɲ	ɲ	0.612
i	-	0.585
ʒ	ʃ	0.584
y	o	0.578
ˈɔ	w_ˈe	0.559
ˈa	ˈa	0.558
ˈuː	ˈo	0.534
v	β	0.534
ˈũ	ˈo_n	0.505
ˈɛ	j_ˈe	0.5
ˈũ	ˈo_ŋ	0.495
j	-	0.476
v	b	0.466
ˈɛ	ˈe	0.436
y	u	0.422
e	e	0.419
ʒ	θ	0.416
i	j	0.415
ˈã	ˈa_ŋ	0.413
ɲ	-	0.388
ɡ	ɡ	0.381
d	-	0.371
d	ð	0.354
ˈa	ˈa_ɾ	0.348
ˈã	ˈa_n	0.347
ˈɔ	ˈo	0.341
ˈi	ˈi_ɾ	0.336
u	-	0.334
ˈøː	w_ˈe	0.327
ʤ	ʃ	0.314
e	ɾ	0.309
b	β	0.302
ˈẽ	ˈe	0.291
ʧ	ˈe_ʝ	0.281
ʧ	ɾ	0.281
ˈuː	ˈo_β	0.278
d	d	0.275
ˈi	ˈe	0.269
ˈiː	-	0.268
ˈi	ˈi	0.263
j	ʝ	0.263
j	ˈe_ʝ	0.261
ˈeː	j_ˈe	0.252
ˈã	ˈa	0.24
ʧ	ʝ	0.232
ˈyː	-	0.226
s	θ	0.219
ʧ	ʎ	0.205
l	ʎ	0.194
ˈuː	w	0.188
t	ð	0.188
n	-	0.164
ˈyː	ˈo	0.159
e	ˈe	0.141
ˈi	ˈu	0.131
e	-	0.131
ˈu	-	0.126
n	ɲ	0.117
l	-	0.108
ˈɔ	-	0.1
ˈa	a	0.094
f	ˈe_β	0.092
m	-	0.09
r	r	0.081
r	-	0.077
f	-	0.076
r	u	0.067
r	ɾ_u	0.066
f	β	0.065
ˈɛ	ˈe_j	0.064
l	u	0.063
s	ʃ_u	0.053
a	ɾ_a	0.05
a	e	0.05
