Gothic	Old Frisian	probability
θ_s	d	1.0
β_aː	bː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈi_l	ˈe_l	1.0
ˈa_n	ˈoː	1.0
ʍ	h_w	1.0
ɡʷː	ˈuː	1.0
ɡʷ	ɡ	1.0
ɔː	ə	1.0
ŋ	ŋ	1.0
ð_j	dː	1.0
ð	-	1.0
z	r	1.0
w	w	1.0
s_t	s_t	1.0
r	r	1.0
nː	nː	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kʷ	k_ˈo	1.0
k	k	1.0
j_a	ə	1.0
j	-	1.0
h_j	kː	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	0.936
t	t	0.862
n	n	0.859
p	p	0.839
a	ə	0.808
ˈɛː	ˈɛː	0.792
ˈoː	ˈoː	0.731
i	ə	0.726
β	v	0.704
ˈɔ	ˈo	0.702
ˈeː	ˈeː	0.697
ˈɛ	ˈe	0.683
oː	ə	0.667
ˈi	ˈi	0.659
ˈu	ˈu	0.601
iː	ə	0.6
h	h	0.595
ɣ	ɣ	0.584
ˈɔː	ˈaː	0.565
u	ə	0.554
ˈa	ˈe	0.489
u	-	0.446
ˈiu̯	ˈi̯aː	0.433
ɣ	ʣ	0.416
iː	-	0.4
θ	d	0.398
ɡ	j	0.39
ˈiu̯	-	0.356
oː	-	0.333
ɡ	-	0.328
s	s	0.32
ˈɛ	-	0.317
θ	θ	0.303
ˈeː	ˈɔː	0.303
θ	ð	0.3
ˈɔ	ˈaː	0.298
β	-	0.296
s	r	0.289
ɡ	ɡ	0.282
i	-	0.274
ˈu	-	0.27
ˈoː	-	0.269
ˈa	ˈa	0.248
ˈɔː	ˈɛː	0.218
ˈɔː	ˈo	0.218
ˈiu̯	ˈiː	0.212
ˈɛː	-	0.208
h	x	0.204
h	-	0.201
ˈa	ˈɔː	0.177
p	pː	0.161
n	ə	0.141
ˈi	-	0.129
s	x	0.129
ˈu	ˈo	0.128
a	j	0.124
ˈi	ˈe	0.112
s	ˈeː	0.105
ˈi	ˈi̯uː	0.1
t	tː	0.092
ˈa	ˈaː	0.086
s	ə	0.074
s	l	0.074
a	-	0.068
b	f	0.064
