Danish	Swedish	probability
ˈʌˀ	ˈøː	1.0
ˈɛː	ˈɑː	1.0
ˈɔː	ˈoː	1.0
ˈɔˀ	ˈoː	1.0
ˈɒˀ	ˈoː_r	1.0
ˈɑː	ˈɑː_r	1.0
ˈɑˀ	-	1.0
ˈœː	ˈøː	1.0
ˈœˀ	ˈøː	1.0
ˈøˀ	ˈøː	1.0
ˈæˀ	ˈɑː	1.0
ˈæ_ð̞ˠ	ˈɑː_d	1.0
ˈæ	ˈa	1.0
ˈy	ˈʏ	1.0
ˈuː	ˈʉː	1.0
ˈoː	-	1.0
ˈi	l	1.0
ˈeː	ˈɛː	1.0
ʨ	tʰ	1.0
ʋ	v	1.0
ʁ	r	1.0
ə_n	ɛ_n	1.0
ɕ	ɧ	1.0
ɐˀ_n	ɳ	1.0
ɐ_s	ʂ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ʈː	1.0
ŋˀ	ŋː	1.0
wˀ	-	1.0
s_ɡ̊	ɧ	1.0
pʰ	pʰ	1.0
mˀ	mː	1.0
jˀ	-	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥_ˈyˀ	j_ˈʉː	1.0
l	l	0.946
ə	a	0.93
s	s	0.864
ˈiˀ	ˈiː	0.855
ˈuˀ	ˈʉː	0.846
ˈoˀ	ˈuː	0.846
ʦʰ	tʰ	0.839
ˈu	ˈɵ	0.805
n	n	0.734
m	m	0.732
ˈɛˀ	ˈɛː	0.731
b̥	b	0.714
ɐˀ	r	0.674
ˈøː	ˈøː	0.667
ˈyː	ˈʉː	0.667
ˈɔ	ˈɵ	0.662
ˈɑ	ˈɛ	0.644
kʰ	kʰ	0.613
ˈeˀ	ˈeː	0.607
ŋ	ŋ	0.607
ˈo	ˈuː	0.598
ˈœ	ˈœ	0.596
ˈʌ	-	0.592
ˈe	ˈɪ	0.58
ɐ	r	0.57
ˈyˀ	ˈʉː	0.564
j	j	0.546
nˀ	n_d	0.528
ˈiː	ˈiː	0.5
d̥	d	0.496
w	v	0.476
ˈyˀ	ˈyː	0.436
ð̞ˠ	t	0.432
ˈe	ˈɛ	0.42
ˈœ	ˈʏ	0.404
ŋ	ŋː	0.393
ð̞ˠ	d	0.388
kʰ	ɕ	0.387
ˈø	ˈœ	0.371
ˈɑ	ˈa	0.356
ˈø	ˈɵ	0.354
w	ɡ	0.354
nˀ	n	0.34
ˈɔ	-	0.338
ˈøː	ˈœː	0.333
ˈyː	ˈyː	0.333
ˈiː	ˈeː	0.333
ˈɛ	ˈɛ	0.319
lˀ	l	0.314
ɐ	ɛ_r	0.297
ɡ̊	k	0.285
lˀ	lː	0.284
ˈø	-	0.274
d̥	t	0.274
ˈɛˀ	ˈæː	0.269
ɐˀ	ɖ	0.257
ˈʌ	ˈɔ	0.253
ɡ̊	ɡː	0.253
j	k	0.25
lˀ	l_v	0.226
ˈeˀ	ˈɛ	0.219
d̥	tː	0.215
m	mː	0.214
ˈɛ	ˈɪ	0.213
ɡ̊	ɡ	0.211
ˈɛ	ˈæː	0.205
j	-	0.204
b̥	p	0.203
ˈo	ˈɔ	0.201
ˈo	-	0.201
ˈu	ˈʊ	0.195
n	nː	0.185
ð̞ˠ	tː	0.181
lˀ	d	0.177
ˈeˀ	ˈɛː	0.174
ˈiː	jː	0.167
ʦʰ	ɕ	0.161
ˈʌ	ˈa	0.154
ˈuˀ	-	0.154
ˈoˀ	-	0.154
ˈɛ	ˈæ	0.152
ˈiˀ	ˈiː_ʊ	0.145
ɐ	r_a	0.133
nˀ	nː	0.132
ɡ̊	kː	0.131
ɡ̊	j	0.119
s	ɧ	0.113
ˈɛ	-	0.111
w	k	0.085
w	j	0.085
b̥	pː	0.083
ɐˀ	rː	0.069
m	r_m	0.055
n	ˈoː_n	0.054
l	j	0.054
