Sassarese	Sassarese	probability
β_i	ˈe_w	1.0
β	β	1.0
ˈa_i	ˈa_t	1.0
ˈa_#>	ɾ_#>	1.0
ˈa	ˈa	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦː	θ	1.0
ʤː	-	1.0
ʣ	ʝ	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	ʃ	1.0
ɬ_t	t	1.0
ŋ	ŋ	1.0
x	s_k	1.0
w	w	1.0
v	b	1.0
u_r	o_l	1.0
u_#>	#>	1.0
tː_i	j	1.0
t_ˈa	t_ˈa	1.0
t_i_#>	#>	1.0
t	t	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_a	ɾ_a	1.0
pː	s_p	1.0
p_ˈɔ	p_ˈo	1.0
nː	n	1.0
m	m	1.0
lː	l	1.0
kː	k	1.0
k	k	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
bː	β	1.0
a_r	ɾ	1.0
<#_ʦ	<#_θ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#	<#_a	1.0
n	n	0.935
p	p	0.931
a	a	0.905
#>	ɾ_#>	0.9
<#_l	<#_l	0.882
u	o	0.849
r	ɾ	0.838
ʦ	θ	0.833
ˈu	ˈu	0.8
ʤ	ʧ	0.8
ɡː	ɣ	0.75
z	s	0.75
r_u	l_o	0.75
b	b	0.75
<#_ˈa	<#_ˈa	0.75
ˈi	ˈi	0.73
ˈɔ	w_ˈe	0.645
ɡ	ɣ	0.6
sː	s	0.6
rː	ɾ_n	0.6
ɲː	ɲ	0.556
mː	m_b	0.556
ˈo	ˈo	0.548
d	d	0.538
ɬ	s	0.5
xː	ɾ_k	0.5
xː	s_k	0.5
tː	t	0.5
tː	j_t	0.5
o	u	0.5
o	o	0.5
dː	ð	0.5
ˈɛ	ˈe	0.478
j	l	0.45
i	e	0.447
ɲː	-	0.444
mː	m	0.444
ˈe	ˈe	0.44
ɡ	ɡ	0.4
sː	ʃ	0.4
rː	ˈe_r	0.4
ˈɛ	j_ˈe	0.391
d	ð	0.269
ɬ	ˈe_s	0.25
ɬ	ɾ	0.25
ɡː	k	0.25
z	z	0.25
r_u	l	0.25
b	-	0.25
<#_ˈa	<#_a	0.25
ˈe	j	0.24
dː	ʎ	0.227
ˈu	ˈo	0.2
ʤ	-	0.2
ˈo	w_ˈe	0.194
dː	-	0.182
ʦ	-	0.167
r	l	0.162
ˈɔ	ˈo	0.161
ˈo	ˈu	0.161
ˈe	ˈe_ɾ	0.16
ˈe	j_ˈe	0.16
j	ˈe_ɾ	0.15
j	s	0.15
j	j	0.15
ˈɛ	j	0.13
ˈɔ	w	0.129
i	-	0.128
<#_l	<#	0.118
d	-	0.115
ˈi	ˈe_ɾ	0.108
ˈi	ˈe	0.108
i	i	0.106
j	ɾ	0.1
#>	n_#>	0.1
ˈo	w	0.097
dː	t	0.091
i	ˈe	0.085
d	ʝ	0.077
p	β	0.069
a	e	0.068
ˈɔ	ˈu	0.065
u	e	0.065
n	-	0.065
i	o_s	0.064
ˈi	i	0.054
