Standard German	Standard German	probability
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɛ	ˈɛ	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈɔ_m	ˈʊ_m	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈuː	1.0
ˈoː_n	ˈoː_n	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeː_ə	ˈiː	1.0
ˈaɪ̯_t	ˈaɪ̯_d̥	1.0
ˈaɪ̯_n_#>	ˈaː_#>	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ʁ	r	1.0
ɡ_n	ŋ	1.0
ə_n	a	1.0
ɐ_t	ɐ_d̥	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
v	v	1.0
tʰ	d̥	1.0
s_ə	s	1.0
p͡f	b̥͡v̥	1.0
p	-	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_t	l_d̥	1.0
l	l	1.0
kʰ	ɡ̊	1.0
k_n	ɡ̊_n	1.0
k	ɡ̊	1.0
j	j	1.0
h	h	1.0
eː	eː	1.0
d̥	d̥	1.0
d_l	d̥_l	1.0
b̥	b̥	1.0
b_n	m	1.0
a	a	1.0
#>	ɡ̊_#>	1.0
f	f	0.949
ˈaː	ˈoː	0.9
d	d̥	0.889
ˈa	ˈɒ	0.875
t	d̥	0.862
ɡ	ɡ̊	0.857
x	x	0.818
b	b̥	0.81
ˈɪ	ˈɪ	0.8
ˈeː	ˈeː	0.8
ç	ç	0.733
s	s	0.667
ɡ̊	ç	0.6
s_t	ʃ_d̥	0.6
ˈaɪ̯	ˈaɪ̯	0.583
ˈaʊ̯	ˈaʊ̯	0.524
ˈɛː	ˈɛː	0.5
ˈɛː	-	0.5
ə	-	0.5
ˈaɪ̯	ˈaː	0.417
ɡ̊	x	0.4
s_t	s_d̥	0.4
ˈaʊ̯	ˈaː	0.381
s	z̥	0.333
ə	a	0.267
ç	-	0.267
ə	n	0.233
ˈɪ	ˈiː	0.2
ˈeː	ˈiː	0.2
b	β	0.19
x	ɣ̊	0.182
ɡ	x	0.143
d	ɾ	0.111
t	ɾ	0.103
ˈaː	-	0.1
ˈaʊ̯	ˈɒ	0.095
ˈa	ˈɔ	0.062
f	v̥	0.051
