Macedonian	Standard Serbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	̌_r	1.0
ɲ	ɲ	1.0
ɫ_o	l_o	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_n	a_n	1.0
z̥	-	1.0
z	z	1.0
x	-	1.0
v	ʋ	1.0
u_m	a_m	1.0
t_ɛ	t_eː	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_k	a_k	1.0
n_a	n_a	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
e	-	1.0
d	d	1.0
c	-	1.0
b	b	1.0
a_r	a_r	1.0
k	k	0.981
t	t	0.975
v_a	ʋ_a	0.78
o	o	0.726
u	uː	0.725
a	a	0.717
i	i	0.664
ɫ	l	0.641
r̩	r̩	0.603
ɛ	e	0.565
ɔ	a	0.46
o_ɫ	oː	0.412
r̩	r̩ː	0.397
ɛ	eː	0.369
ɔ	o	0.35
o_ɫ	u	0.347
i	iː	0.336
u	u	0.275
o_ɫ	uː	0.241
v_a	x_a	0.22
o	oː	0.204
a	aː	0.194
ɔ	o_̂	0.19
ɫ	o	0.17
ɫ	̂_o	0.108
ɫ	ʎ	0.082
o	a	0.071
ɛ	a	0.066
a	uː	0.056
