Corsican	Ligurian	probability
ˈɔ_j	w_ˈiː	1.0
ˈe_l	ˈeː	1.0
ˈe_d	ˈeː	1.0
ˈa_t	w	1.0
ˈa_r	ˈaː	1.0
ˈa_l	ˈaː	1.0
ʧː	s	1.0
ʧ_ˈɛ	s_ˈe	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤ	-	1.0
ʣ	z	1.0
ʒ	ʒ	1.0
ʎ	ʤ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ_k	1.0
ŋ	ŋ	1.0
w	w	1.0
v_u	v_u	1.0
u_t	ɥ	1.0
u_l	w	1.0
tː	t	1.0
t_ˈɛ	ˈe	1.0
t_ˈe	t_ˈe	1.0
t_a	a	1.0
s	s	1.0
rː	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_a	a	1.0
p_j	ʧ	1.0
nː	n	1.0
mː	m	1.0
lː	l	1.0
k_r	k_r	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e_r	j	1.0
dː	j_d	1.0
bː	ʤ	1.0
b_j	ʤ	1.0
b	b	1.0
a_p	a_v	1.0
a_l	a_l	1.0
e	e	0.969
u	u	0.948
m	m	0.946
v	v	0.901
ɟ	z	0.879
t	t	0.864
a	a	0.856
p	p	0.821
ˈa	ˈa	0.738
c	ʤ	0.737
d	d	0.718
kː	k	0.667
z	z	0.657
n	ŋ	0.656
k	k	0.64
o	-	0.629
ˈu	ˈy	0.62
r	r	0.582
ʧ	ʒ	0.576
j	-	0.543
ˈi	ˈi	0.54
ˈɛ	ˈe	0.53
sː	ʃ	0.52
l	l	0.483
i	i	0.481
ˈe	ˈeː	0.473
j	j	0.457
ʧ	s	0.424
sː	s	0.38
o	ɔː	0.371
l	-	0.371
ˈo	ˈu	0.346
z	-	0.343
kː	-	0.333
i	e	0.332
ˈe	ˈe	0.33
n	n	0.313
k	ɡ	0.294
ˈi	ˈiː	0.283
d	-	0.282
ˈɔ	ˈu	0.279
c	ʧ	0.263
ˈa	ˈaː	0.234
r	-	0.219
ˈɛ	-	0.212
ˈo	j_ˈu	0.211
ˈɔ	ˈɔː	0.203
r	j	0.199
ˈu	ˈyː	0.188
i	-	0.187
p	v	0.179
ˈi	-	0.177
ˈɛ	ˈɛː	0.172
ˈɔ	ˈuː	0.165
ˈɔ	ˈøː	0.153
l	r	0.146
ˈo	ˈuː	0.142
t	-	0.136
ɟ	ʤ	0.121
ˈe	-	0.113
sː	sː	0.1
v	-	0.099
ˈu	-	0.097
ˈu	ˈu	0.095
ˈo	u	0.095
ˈɔ	ˈɔ	0.089
ˈɛ	ˈɛ	0.086
ˈe	ˈɛ	0.084
ˈɔ	ˈø	0.074
a	-	0.073
ˈo	ˈɔː	0.069
ˈo	ˈøː	0.069
ˈo	ˈɔ	0.067
k	-	0.066
a	ˈeː	0.06
m	ŋ	0.054
