East Franconian	Bavarian	probability
β	β	1.0
ˈɛː	-	1.0
ˈɛ	ˈe	1.0
ˈɘ	ˈi_ɐ	1.0
ˈɒː	ˈɑː	1.0
ˈaɪ̯	ˈai̯	1.0
ˈa	ˈɒ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ	d̥	1.0
ɣ̊_n	x_a	1.0
ɣ̊	ɡ̊	1.0
ɣ	ɡ̊	1.0
ɡ̊	ɡ̊	1.0
ɐ_d̥	ɐ_d̥	1.0
z̥_n	s_n	1.0
x	x	1.0
v	ʋ	1.0
s_ˈɒ	s_ˈo	1.0
s_d̥	ʃ_d̥	1.0
s	s	1.0
r	r	1.0
m	m	1.0
l_ˈaː	l	1.0
l_d̥	j_d̥	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i	1.0
h	h	1.0
eː	eː	1.0
d̥_ˈuː	d̥_ˈu	1.0
d̥_n	d̥_n	1.0
d̥	d̥	1.0
b̥͡v̥	b̥͡v̥	1.0
b̥	b̥	1.0
ɐ	ɐ	0.953
f	f	0.948
ˈɪ	ˈi	0.885
ŋ	ŋ	0.884
ˈʊ	ˈu	0.849
z̥	s	0.831
ˈɔ	ˈo	0.773
ˈaʊ̯	ˈau̯	0.773
n	n	0.742
ç	ç	0.623
ˈaː	ˈoɐ̯	0.609
a	a	0.606
ˈuː	ˈuɐ̯	0.548
l	l	0.546
ˈeː	ˈeː	0.531
ˈiː	ˈiɐ̯	0.525
l	j	0.435
ˈɒ	ˈɑ	0.378
ç	ɡ̊	0.377
ˈoː	ˈoː	0.376
ˈoː	ˈɒː	0.36
ˈeː	ˈe	0.292
ˈaː	ˈaː	0.279
ˈuː	ˈou̯	0.259
ˈiː	ˈi	0.258
ˈɒ	ˈo	0.25
ˈaʊ̯	-	0.227
a	-	0.225
ˈeː	-	0.177
z̥	sː	0.169
a	ə	0.169
ˈɒ	ˈɒ	0.16
ˈiː	ˈiː	0.156
ˈoː	-	0.153
ˈʊ	-	0.151
n	a	0.138
ˈɒ	ˈa	0.119
ˈɔ	ˈɒː	0.118
ŋ	x	0.116
ˈɪ	ˈu	0.115
ˈaː	-	0.112
ˈoː	ˈɑː	0.111
ˈɔ	ˈu	0.109
ˈuː	ˈoː	0.097
ˈuː	ˈo	0.096
ˈɒ	ˈɒː	0.093
n	n_d̥	0.069
ˈiː	-	0.061
f	fː	0.052
n	-	0.051
