Spanish	Lombard	probability
a	a	0.813
a	-	0.123
b	ʋ	0.577
b	b	0.22
b	-	0.129
d	d	0.867
d	t	0.133
e	e	0.386
e	a	0.256
e	-	0.092
e	i	0.084
e	u	0.055
f	f	1.0
i	ĩ	0.796
i	-	0.204
j	ˈɛ	0.319
j	-	0.285
j	j	0.117
j	ˈɛ̃ː	0.11
j	ˈẽː	0.083
k	k	0.959
l	l	0.882
l	j	0.104
m	m	0.781
m	-	0.167
n	n	0.553
n	-	0.391
n	ɲ	0.056
o	-	0.808
o	u	0.13
p	p	0.967
r	r	1.0
s	s	0.858
s	ʃ	0.081
t	t	0.829
t	ʦ	0.102
u	i	0.43
u	o	0.363
u	j	0.207
w	ˈɔ	0.36
w	ˈøː	0.18
w	w	0.18
w	ˈø	0.095
w	ˈũː	0.083
w	ˈu	0.055
x	ʤ	0.413
x	-	0.382
x	ʧ	0.105
x	s	0.058
ð	d	0.761
ð	t	0.173
ð	-	0.059
ŋ	ˈãː	0.605
ŋ	-	0.198
ŋ	ˈẽː	0.198
ɟ͡ʝ	ʧ	0.456
ɟ͡ʝ	l	0.262
ɟ͡ʝ	p	0.237
ɡ	ɡ	0.77
ɡ	k	0.23
ɣ	ɡ	0.484
ɣ	k	0.32
ɣ	-	0.196
ɲ	ɲ	0.548
ɲ	n	0.248
ɲ	ˈy	0.164
ɾ	r	0.69
ɾ	-	0.275
ʝ	l	0.808
ʝ	ʦ	0.142
ʧ	ʧ	0.6
ʧ	t	0.4
ˈa	ˈa	0.636
ˈa	ˈãː	0.202
ˈa	ˈaː	0.099
ˈa	-	0.064
ˈe	-	0.601
ˈe	ˈe	0.209
ˈe	ˈɛ	0.079
ˈi	ˈi	0.567
ˈi	ˈĩː	0.129
ˈi	ˈɛ	0.083
ˈi	f_ˈi	0.082
ˈi	ˈa	0.055
ˈo	ˈu	0.257
ˈo	ˈũː	0.179
ˈo	ˈɔ	0.155
ˈo	ˈø	0.106
ˈo	ˈyː	0.104
ˈo	ˈøː	0.055
ˈu	ˈy	0.305
ˈu	ˈũː	0.3
ˈu	ˈu	0.243
ˈu	ˈyː	0.061
β	ʋ	0.563
β	f	0.268
β	-	0.094
β	b	0.062
θ	s	0.313
θ	ʧ	0.188
θ	-	0.187
θ	ʃ	0.155
θ	ʦ	0.081
