Russian	Upper Sorbian	probability
ˈʉ	ˈu	1.0
ˈæ	ˈe	1.0
ˈo_ɫ	ˈɔ_w	1.0
ˈo_j	ɪ	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʊ	ˈu	1.0
ʂ	ʃ	1.0
ɫ_ˈa	w_ˈa	1.0
ɪ_lʲ	ˈɛ_l	1.0
ɪ_j	i	1.0
ɨ_j	ɪ	1.0
ɡ̊	x	1.0
ɡʲ	ɦ	1.0
ɡ	ɦ	1.0
z̥	z̥	1.0
zʲ	z	1.0
xʲ	xʲ	1.0
x	x	1.0
vʲ	ɥ	1.0
t	t	1.0
sʲ	s	1.0
s_ˈa	s_a	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r	ʀ	1.0
pʲ_ˈe	p_ˈɔ	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k	k	1.0
j	i	1.0
fʲ	-	1.0
f	ˈa_w	1.0
e	ɔ	1.0
d̥ʲ	ʃ_ʨ	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
b	b	1.0
z	z	0.872
tʲ	ʨ	0.849
v	w	0.826
dʲ	ʥ	0.774
ʨ	ʧ	0.769
ˈɨ	ˈɪ	0.76
d̥	d̥	0.703
ˈu	ˈu	0.7
ɫ	w	0.661
ʦ	ʦ	0.602
ˈi	ˈi	0.544
ɨ	-	0.544
mʲ	m	0.502
mʲ	mʲ	0.498
ˈe	ˈe	0.482
ˈa	ˈa	0.48
ˈa	a	0.461
ˈi	-	0.456
ɨ	ˈi	0.456
ɐ	ˈɔ	0.431
ɪ	-	0.428
ˈɵ	ˈɔ	0.426
ɐ	-	0.425
ʦ	k	0.398
ˈɵ	-	0.361
ˈo	ˈo	0.353
ə	ɔ	0.346
ə	-	0.341
ˈu	w_ˈu	0.3
ˈo	ˈɔ	0.298
d̥	ˈo_d̥	0.297
ə	a	0.289
ˈɨ	-	0.24
ʨ	ʦ	0.231
ɫ	l	0.23
dʲ	d	0.226
ˈe	ˈɛ	0.217
ˈɵ	ˈe	0.213
v	-	0.174
ɪ	ɛ	0.17
tʲ	t	0.151
ˈo	-	0.146
ɐ	w	0.143
z	-	0.128
ɪ	ˈa	0.126
ɫ	d_w	0.11
ɪ	ɔ	0.108
ˈe	-	0.107
ˈe	ɛ	0.097
ˈe	e	0.097
ˈo	ˈɛ	0.096
ɪ	ˈɛ	0.094
ˈo	ˈe	0.082
ɪ	ˈe	0.074
ˈa	-	0.058
