Auvergnat	Auvergnat	probability
ˈɪ̃	ˈi	1.0
ˈɪ_ʀ	e̯ˈa_r	1.0
ˈɛ	ˈe	1.0
ˈɔ̃_ŋ	nʲ	1.0
ˈɔ̃	ˈu	1.0
ˈɔ_ʀ	r_t	1.0
ˈɔ_w	w	1.0
ˈɔ_t	s_t	1.0
ˈỹ	ˈu	1.0
ˈu_#>	o̯ˈa_r_e_#>	1.0
ˈĩ	ˈi	1.0
ˈa_w	ˈa_l	1.0
ˈa_l	ˈe_r	1.0
ʧ_ɒ	k	1.0
ʃ	ʧ	1.0
ɪ	s	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
z	-	1.0
y	u	1.0
vʲ	v	1.0
p	p	1.0
mʲ	m	1.0
l_ɔ_#>	e̯ˈa_#>	1.0
k_ʀ	k_r	1.0
j_ˈɔ	ˈo	1.0
j_ʀ	t	1.0
j_#>	p_t_e_#>	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
e	e_r	1.0
dʲ	z	1.0
d_ʀ	e_r	1.0
b_ʀ	p_r	1.0
b	b	1.0
ã	ɨ	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_j	1.0
m	m	0.909
n	n	0.882
ɔ	ə	0.857
t	t	0.846
#>	e_#>	0.844
ʀ	r	0.811
v	v	0.8
ˈã	ˈɨ	0.778
k	k	0.769
ɡ	ɡ	0.75
u	u	0.75
k_#>	k_#>	0.75
w_ˈɔ	ˈo	0.714
ʧ	k	0.706
ˈũ	ˈu	0.667
ˈu	ˈu	0.65
ˈɪ	ˈe	0.643
ə	e	0.633
ˈy	ˈu	0.6
ɲ	n	0.6
ɒ	-	0.571
ˈi	ˈi	0.533
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
ˈœ	ˈo	0.5
ˈœ	o̯ˈa	0.5
ˈẽ	ˈi	0.5
ʎ_ɔ	j_e	0.5
ʎ_ɔ	e	0.5
ŋ	n	0.5
l	l	0.5
d	d	0.474
ɒ	a	0.429
j	-	0.429
ˈa	ˈa	0.406
s	s	0.405
ˈy	ˈu_p	0.4
ʎ	l	0.4
ʎ	kʲ	0.4
ɲ	j	0.4
ʤ	ʤ	0.357
ʤ	-	0.357
ˈe	ˈa	0.345
ˈũ	-	0.333
ˈi	ˈi_r	0.333
l	r	0.333
d	t	0.316
ˈa	ˈa_r	0.312
ʤ	ʒ	0.286
w_ˈɔ	o̯ˈa	0.286
j	ˈe	0.286
s	ʧ	0.27
w	-	0.269
ˈu	ˈo	0.25
ˈẽ	ˈɨ	0.25
ˈẽ	-	0.25
ɡ	-	0.25
u	o	0.25
k_#>	#>	0.25
k	-	0.231
ˈã	-	0.222
ˈɪ	ˈi	0.214
ˈe	ˈe	0.207
ʎ	k	0.2
v	ˈa_r	0.2
ʧ	t	0.176
ə	u	0.167
l	-	0.167
ŋ	n_t	0.156
ŋ	n_e	0.156
w	ˈu	0.154
w	ˈo	0.154
w	o̯ˈa	0.154
t	ʦ	0.154
ˈɪ	e_d	0.143
j	ʧ_e	0.143
j	e	0.143
ˈe	j_ˈe	0.138
ˈe	j	0.138
ʀ	e_r	0.135
ˈi	-	0.133
ˈa	ˈɨ	0.125
ʧ	-	0.118
n	-	0.118
w	w	0.115
d	n	0.105
d	-	0.105
ˈe	e̯ˈa	0.103
ˈu	ˈo_j	0.1
ə	ə	0.1
ə	-	0.1
ɔ	e	0.095
ˈa	-	0.094
m	-	0.091
s	ʦ	0.081
s	ʃ_t	0.081
s	ʃ	0.081
s	-	0.081
w	ˈa	0.077
w	l	0.077
ˈe	-	0.069
#>	ə_#>	0.067
ˈa	e	0.062
ŋ	ŋ_ɡ	0.062
ŋ	t	0.062
ŋ	-	0.062
ʀ	ə	0.054
