Italian	Italian	probability
ˈɔ_v	w	1.0
ˈi_r	ˈi_r	1.0
ˈi_o	ˈe_w	1.0
ʧː	-	1.0
ʧ	ʧ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʤː	-	1.0
ʣː	z	1.0
ʣ	z	1.0
ʃː	ʃ_t	1.0
ɲː_o	m_n	1.0
ɡ_o	k	1.0
z	s	1.0
u	u	1.0
tː_i	ʦʲ	1.0
t_ˈa	t_ˈa	1.0
t_o_#>	t_#>	1.0
s_ˈɛ	ʃ_ˈa	1.0
rː	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_m	r_m	1.0
p_r	p_r	1.0
p_o_#>	p_#>	1.0
p_j	p_l	1.0
o_#>	#>	1.0
nː	-	1.0
n_o_#>	n_#>	1.0
n_i	nʲ	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_o_#>	r_#>	1.0
k_r	k_r	1.0
j_o_#>	#>	1.0
j_a	e	1.0
fː	-	1.0
f	f	1.0
e_d	e_d	1.0
e_#>	#>	1.0
dː	ʧ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
k	k	0.944
r	r	0.913
s	s	0.897
p	p	0.885
<#_l	<#_l	0.867
ˈi	ˈi	0.852
e	e	0.845
t	t	0.833
e_r	e_r	0.818
ˈu	ˈu	0.778
n	n	0.765
a	ə	0.721
w	-	0.714
<#_a	<#_a	0.714
d	d	0.692
ˈɛ_n	ˈi_n	0.667
ŋ	n	0.667
tː	p_t	0.667
lː	l	0.667
ˈo	ˈu	0.655
ˈa	ˈa	0.653
ʤ	ʤ	0.643
ʎː	j	0.6
sː	-	0.6
w_ˈɔ	ˈu	0.571
r_o	r_u	0.571
v	v	0.565
l	r	0.533
kː	kʲ	0.5
kː	k	0.5
j	j	0.5
#>	j_#>	0.5
#>	e_#>	0.5
ˈɔ	o̯ˈa	0.478
l	l	0.467
ˈe	ˈe	0.462
o	u	0.458
w_ˈɔ	ˈo	0.429
r_o	r	0.429
ʎː	-	0.4
sː	ʃ	0.4
i	e	0.375
ɡ	ɡ	0.364
v	-	0.348
ˈɛ_n	n	0.333
ŋ	ŋ	0.333
tː	t	0.333
lː	-	0.333
ˈɛ	ˈe	0.308
ˈɛ	j_ˈe	0.308
ˈɔ	ˈo	0.304
w	ˈo	0.286
<#_a	<#	0.286
ɡ	k	0.273
i	i	0.25
i	-	0.25
d	z	0.231
ˈu	ˈo	0.222
ʤ	ʒ	0.214
j	e̯ˈa	0.214
o	e	0.208
ˈa	ˈɨ	0.204
ˈe	e̯ˈa	0.192
ˈe	-	0.192
ɡ	m	0.182
ɡ	-	0.182
e_r	r	0.182
n	-	0.176
ˈo	ˈo	0.172
ˈo	o̯ˈa	0.172
t	ʦ	0.167
ˈe	ˈi	0.154
ʤ	-	0.143
j	ʒ	0.143
j	l	0.143
<#_l	<#	0.133
ˈɔ	ˈu	0.13
o	ə	0.125
o	o	0.125
i	ə	0.125
ˈɛ	ˈi	0.115
ˈɛ	j	0.115
p	-	0.115
e	ə	0.107
s	ʃ	0.103
a	e	0.098
ˈɔ	ˈau̯	0.087
v	z_b	0.087
o	w	0.083
ˈa	-	0.082
ˈɛ	ˈa	0.077
ˈɛ	-	0.077
d	t	0.077
ˈi	ˈe	0.074
ˈi	-	0.074
a	a	0.066
a	-	0.066
ˈa	ˈɨ_j	0.061
n	i_n	0.059
k	ʧ	0.056
