Québécois French	Québécois French	probability
ʦ	-	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʁ_b	ɾ_β	1.0
ɲ	a	1.0
ɛ_#>	θ_#>	1.0
ɑɔ̯_ʁ	o_ɾ	1.0
ɑɔ̯	w_ˈe	1.0
œ_v	a_β	1.0
z	θ	1.0
w_ɛ	ˈe	1.0
v_ʁ	β_ɾ	1.0
s_æɛ̯	s_ˈa	1.0
p_l	ɟ͡ʝ	1.0
oʊ̯_#>	ʝ_o_#>	1.0
o	ˈe_s	1.0
m	m	1.0
i_ʁ	ˈi_ɾ	1.0
e_#>	#>	1.0
aœ̯	ˈo	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
p	p	0.926
k	k	0.857
ɪ	ˈi	0.846
v	b	0.81
ʁ	ɾ	0.806
y	ˈu	0.778
t	t	0.75
n	n_a	0.722
ʃ	k	0.708
b	b	0.692
l	l	0.68
ɡ	ɡ	0.636
f	f	0.625
ɛ	ˈe	0.619
d	d	0.571
s	s	0.558
ɒ̃ʊ̯̃	ˈo_n	0.545
ɥ	ˈu	0.5
ɥ	ˈo	0.5
øʏ̯	ˈe_ɣ	0.5
øʏ̯	o	0.5
oʊ̯	ˈo	0.5
oʊ̯	ˈa_l	0.5
a	a	0.474
ʒ	x	0.455
u	ˈo	0.429
u	o	0.429
a	ˈa	0.421
ɔ	w_ˈe	0.417
œ	e	0.412
#>	o_#>	0.408
e	ˈa_ɾ	0.385
f	β_o	0.375
ɡ	ɣ	0.364
ẽɪ̯̃	ˈa_n	0.348
ɔ	o	0.333
æɛ̯	ˈa	0.333
ã	n	0.333
w	ˈe	0.316
#>	a_#>	0.308
œ	ˈo	0.294
s	θ	0.279
n	n	0.278
ã	n_t	0.278
ʒ	ɟ͡ʝ	0.273
ʒ	-	0.273
ɒ̃ʊ̯̃	ˈe_n	0.273
i	ˈe	0.263
ɔ	ˈo	0.25
j	j	0.25
e	e_s	0.231
y	-	0.222
æɛ̯	ˈe	0.212
w	e	0.211
j	x_a	0.2
#>	e_#>	0.192
ɛ	ˈa	0.19
ɒ̃ʊ̯̃	o_n	0.182
œ	w_ˈe	0.176
ã	ŋ	0.167
l	ʝ_a	0.16
w	ˈu	0.158
i	ˈi_ɣ	0.158
i	ˈi	0.158
ɪ	j	0.154
e	ɾ	0.154
b	β	0.154
b	b_w	0.154
t	-	0.15
j	ˈe	0.15
j	x	0.15
j	j_ˈe	0.15
u	u	0.143
k	k_w	0.143
d	ɾ	0.143
d	ð	0.143
d	-	0.143
ẽɪ̯̃	ɲ_o	0.13
ẽɪ̯̃	ŋ	0.13
ẽɪ̯̃	n_o	0.13
ʃ	k_a	0.125
æɛ̯	j_ˈe	0.121
æɛ̯	a	0.121
œ	w	0.118
ã	ˈe	0.111
ã	-	0.111
w	ˈu_n	0.105
w	ð	0.105
w	-	0.105
i	ʧ_o	0.105
i	o	0.105
i	j	0.105
i	-	0.105
a	w_ˈa	0.105
t	ʧ	0.1
j	-	0.1
ɛ	o	0.095
ɛ	j	0.095
v	β	0.095
v	b_j	0.095
æɛ̯	e	0.091
ẽɪ̯̃	t_o	0.087
ẽɪ̯̃	o	0.087
ẽɪ̯̃	n	0.087
ʃ	k_ˈa	0.083
ʃ	-	0.083
l	ʝ	0.08
l	ɟ͡ʝ	0.08
e	ˈa_ð	0.077
e	o	0.077
e	-	0.077
p	p_j	0.074
s	s_ˈe	0.07
æɛ̯	ˈa_ð	0.061
æɛ̯	a_θ	0.061
#>	s_#>	0.054
