French	Eastern Lombard	probability
p	p	1.0
a	a	0.311
d	n_d	0.111
i	-	0.331
j	ʧ	0.121
u	ˈu	0.21
u	ˈø	0.251
ɑ̃	n	0.131
ɡ	ɡ	0.941
ʃ	k	0.841
ʒ	s	0.091
a	a_#>	0.052
a	t_#>	0.052
b	b	0.942
e	-	0.252
j	ˈe	0.072
w	d_ˈi	0.072
w	ˈe	0.072
a	ˈa	0.143
i	ˈe	0.243
j	j	0.433
m	m_a	0.153
u	ˈy	0.103
z	z_a	0.393
ɑ̃	ˈe	0.223
ɔ̃	-	0.073
ɔ̃	ˈo	0.113
ə	e	0.73
ɛ̃	ˈi	0.323
ʁ	r	0.623
j	-	0.374
u	ˈo	0.24
y	ˈy	0.564
œ	ˈø	0.634
ɑ̃	ˈɛ	0.154
ɔ	ˈo	0.134
ɛ	ˈa	0.384
ɥ	ˈø	0.624
ʒ	ʤ	0.074
ʒ	z	0.794
a	e	0.075
d	d	0.875
o	ˈɔ_s	0.135
s	-	0.075
t	t	0.925
ø	-	0.415
ø	ˈø	0.585
ɔ̃	o	0.055
ɛ	ˈɛ	0.275
ɲ	ɲ_a	0.285
ɲ	ɲ	0.715
ʁ	e_r	0.145
k	k	0.956
l	l_a	0.116
s	s	0.896
v	p	0.096
y	ˈø	0.436
œ	ˈu	0.366
ɑ̃	ˈa_ŋ	0.296
ɥ	ˈɔ	0.376
ʁ	r_a	0.106
l	j	0.137
l	l	0.657
m	m	0.847
n	n_a	0.457
n	n	0.537
t	t_a	0.067
v	ʋ	0.517
w	-	0.167
z	z	0.607
ɑ̃	a	0.097
ɔ	ˈu	0.077
ə	-	0.27
ɛ	e	0.077
ɛ̃	ɲ	0.07
ɛ̃	ˈa	0.607
a	-	0.198
e	ˈa	0.748
f	f	0.98
i	ˈɛ	0.058
o	ˈa_l	0.098
u	ˈø_ʧ	0.128
v	-	0.388
w	ˈi	0.58
ɔ	ˈɔ	0.48
ɛ	-	0.078
i	ˈi	0.329
l	-	0.09
o	ˈo	0.189
o	ˈɛ_l	0.579
u	o	0.069
w	ˈi_d	0.109
ɑ̃	ˈɛ_ŋ	0.099
ɔ	o	0.309
ɔ̃	ˈu	0.759
ɛ	ˈe	0.129
ɡ	-	0.059
ʁ	-	0.059
ʃ	k_a	0.159
