Swabian	West Frisian	probability
eə̯	ɪ	1.0
h	h	1.0
i	ɪ	1.0
j	j	1.0
p͡f	p	1.0
ʃ	s	1.0
ʣ	t	1.0
ˈeə̯	ˈiə̯	1.0
ˈɔə̯	ˈoː	1.0
ˈʌ	ˈɛ	1.0
x	k	0.441
ɡ	ɣ	0.161
ʌ	-	0.061
ˈa	ˈɛi̯	0.061
ˈa	ˈɪə̯	0.161
ˈaː	ˈɪ	0.1
ˈaː	ˈiː	0.1
ˈi	ˈɔ	0.051
ˈi	ˈi	0.281
ˈiə̯	ˈiə̯	0.11
ˈiə̯	ˈɪə̯	0.31
ˈo	ˈoə̯	0.071
ˈo	ˈuː	0.121
ˈuə̯	ˈoː	0.121
ˈɔ	ˈoə̯	0.31
ˈɛ	ˈø	0.061
ˈɪ	ˈɪ	0.561
b̥͡f	t	0.102
m	-	0.072
t	-	0.602
ç	k	0.832
ɡ	k	0.082
ɪ	ə	0.332
ʕ	r	0.752
ʦ	ʦ	0.062
ˈa	ˈɔː	0.12
ˈae̯	ˈɛ	0.162
ˈae̯	ˈøə̯	0.162
ˈao̯	ˈuə̯	0.062
ˈao̯	ˈyː	0.072
ˈaː	ˈɛː	0.072
ˈaː	ˈuə̯	0.152
ˈeː	ˈɛi̯	0.242
ˈi	ˈɔu̯	0.052
ˈo	ˈu	0.12
ˈoː	ˈy	0.152
ˈuː	ˈoː	0.242
ˈɔe̯	ˈi	0.052
ˈɔe̯	ˈɛː	0.102
ˈɔe̯	ˈɪ	0.102
ˈəi̯	ˈyː	0.072
ˈɛː	ˈɪə̯	0.162
b	f	0.153
t	d̥	0.3
ʁ	-	0.123
ʁ	r	0.863
ˈa	ˈoə̯	0.063
ˈeː	ˈiə̯	0.113
ˈi	ˈɛ	0.053
ˈi	j_ˈɔ	0.133
ˈi	ˈɪ	0.303
ˈo	ˈɔ	0.463
ˈu	ˈɪ	0.073
ˈu	ˈɛː	0.103
ˈu	ˈɔ	0.213
ˈu	ˈoə̯	0.223
ˈɔe̯	ˈɛi̯	0.073
ˈɔe̯	ˈɪə̯	0.073
ˈɔː	ˈa	0.203
ˈəi̯	ˈi	0.213
ˈɛ	ˈɛ	0.253
d	-	0.094
e	-	0.604
ŋ	ŋ	0.774
ˈa	ˈa	0.404
ˈae̯	ˈuː	0.14
ˈae̯	ˈɪə̯	0.144
ˈao̯	ˈaː	0.064
ˈaː	ˈa	0.204
ˈiː	ˈɔː	0.174
ˈo	ˈyː	0.064
ˈo	ˈɪ	0.064
ˈu	ˈyː	0.144
ˈu	ˈy	0.144
ˈuə̯	ˈuə̯	0.604
ˈɔ	ˈɔ	0.44
ˈɔe̯	ˈaː	0.204
a	ə	0.645
n	n	0.885
ʌ	ə_r	0.635
ˈae̯	j	0.165
ˈaː	ˈɛi̯	0.155
ˈe	ˈɪ	0.845
ˈeː	ˈi	0.075
ˈiə̯	ˈiː	0.155
ˈiə̯	ˈu̯o	0.155
ˈɔ	ˈuː	0.205
ˈɔe̯	ˈeː	0.075
ˈɔː	ˈø	0.105
ˈɛ	ˈa	0.085
ˈɛː	ˈiə̯	0.205
a	j_ə	0.136
b	-	0.166
d	t	0.356
e	ə	0.396
kʰ	ʦ	0.166
l	l	0.926
s	t	0.336
s	s	0.576
ŋ	n	0.226
ɡ	z	0.076
ɡ	-	0.196
ʋ	ʋ	0.666
ʌ	ˈuə̯_r	0.126
ˈeː	ˈeː	0.336
ˈoː	ˈɪə̯	0.416
ˈəi̯	j	0.296
ˈɛ	ˈi	0.056
d	d̥	0.167
d	d	0.347
kʰ	k	0.817
ɡ	ŋ	0.087
ʋ	v	0.217
ˈao̯	ˈɔ	0.07
ˈeː	ˈɪə̯	0.157
ˈi	ˈa	0.067
ˈiə̯	j	0.27
ˈiː	ˈɪ	0.227
ˈoː	ˈiə̯	0.07
ˈoː	ˈuː	0.127
ˈoː	ˈoə̯	0.197
ˈuə̯	ˈiə̯	0.137
ˈuə̯	ˈi	0.137
ˈɔː	ˈiə̯	0.577
ˈɛ	ˈɪ	0.157
ˈɛː	ˈɛi̯	0.187
ˈɛː	ˈeː	0.187
ˈɪ	ˈiː	0.27
b	b	0.638
b̥͡f	p	0.898
f	p	0.268
f	f	0.68
t	n	0.098
ç	χ	0.168
ɡ	ɡ	0.278
ɪ	ɪ	0.668
ʋ	-	0.118
ʌ	r	0.178
ʕ	-	0.248
ʦ	t	0.938
ˈae̯	ˈi	0.118
ˈao̯	ˈoː	0.078
ˈaː	ˈɔː	0.108
ˈaː	ˈaː	0.108
ˈe	ˈɛi̯	0.058
ˈe	ˈɔ	0.058
ˈeː	ˈɪ	0.078
ˈiː	ˈiə̯	0.598
ˈuː	ˈuə̯	0.758
ˈɔe̯	ˈiə̯	0.228
a	-	0.189
m	ʋ	0.059
m	m	0.869
n	-	0.109
x	χ	0.559
ɡ	χ	0.119
ˈa	ˈaː	0.119
ˈae̯	ˈiə̯	0.069
ˈao̯	ˈɪə̯	0.109
ˈao̯	ˈuː	0.459
ˈu	ˈuə̯	0.099
ˈɔe̯	ˈiː	0.09
ˈɔː	ˈoə̯	0.069
ˈəi̯	ˈiː	0.379
ˈɛ	ˈiː	0.189
ˈɛː	j	0.129
ˈɛː	ˈiː	0.129
ˈɪ	ˈɔ	0.169
