Slovenian	Kashubian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɛː_̀	ˈ	1.0
ɛː	ɛ	1.0
ə_r	r_i	1.0
ə_n	n_i	1.0
ə_m	m_ə	1.0
ɔː_̀	ˈ	1.0
z	z	1.0
x	x	1.0
uː	w_ʉ	1.0
u	-	1.0
s	s	1.0
p	p	1.0
o	u̯ɛ	1.0
m_ə	m	1.0
m	m	1.0
k	k	1.0
j	-	1.0
d̥	d̥	1.0
b̥	b̥	1.0
́	ˈ	0.893
̀	ˈ	0.864
ɡ	ɡ	0.863
b	b	0.845
aː_̀	a_ˈ	0.818
a	a	0.781
t	t	0.77
ʋ	v	0.738
ɛ	ɛ	0.719
n	n	0.717
iː	ə	0.715
i	ə	0.689
e	-	0.667
ɔ	u	0.648
d	d	0.646
aː	ɔ	0.608
l	l	0.481
r	r	0.465
l	w	0.435
ɔː	ɞ	0.429
w	w	0.4
ə	ɛ	0.379
w	w_i	0.371
r	r̝	0.368
eː	j	0.365
d	ʣ	0.354
ɔ	u̯ɛ	0.352
e	ɛ	0.333
ə	-	0.331
i	i	0.311
ɔː	ɔ	0.286
ɔː	u̯ɛ	0.286
oː	u̯ɛ	0.285
iː	i	0.285
n	ɲ	0.283
ɛ	-	0.281
oː	ɔ	0.235
t	ʦ	0.23
w	i	0.229
aː	ɞ	0.228
a	ɞ	0.219
oː	õ	0.207
oː	u	0.197
aː_̀	ˈ	0.182
ə	j_ɛ	0.173
eː	e	0.171
eː	a	0.171
aː	a	0.164
ʋ	v_j	0.156
b	-	0.155
eː	ɛ	0.152
ɡ	ʤ	0.137
̀	ɞ_ˈ	0.136
ə	i	0.117
r	-	0.11
́	-	0.107
ʋ	f	0.107
eː	u	0.093
l	d_w	0.084
oː	ã	0.077
r	r̝_e	0.057
