Saterland Frisian	Swedish	probability
a	a	0.5
a	ˈʉː	0.5
b	b	0.905
b	-	0.088
d	d	0.709
d	-	0.127
d	tʰ	0.061
d	ɖ	0.055
d	ɳː	0.026
d_ə	ɳ	1.0
f	f	0.849
f	v	0.147
h	h	1.0
j	-	0.351
j	j	0.252
j	ˈyː	0.137
j	jː	0.072
j	ˈiː	0.068
j_ˈuː	ˈyː	0.473
j_ˈʊ	ˈɵ	1.0
k	k	0.64
k	kʰ	0.271
k	-	0.046
k	ɡ	0.044
l	l	0.883
l	lː	0.077
l	-	0.037
m	m	0.779
m	mː	0.194
m	-	0.035
n	n	0.618
n	-	0.222
n	nː	0.156
n_t	n	1.0
p	p	0.675
p	pʰ	0.104
p	pː	0.097
p	v	0.068
r	r	0.91
r	-	0.05
r	ˈøː_ɳ	0.039
s	s	0.896
s	ɧ	0.069
s	ɕ	0.031
s_k	ɧ	1.0
t	t	0.424
t	-	0.185
t	tʰ	0.172
t	tː	0.062
t	d	0.056
v	v	0.646
v	-	0.349
v_ˈʊ	ˈɵ	1.0
w	v	0.594
w	m	0.392
x	tː	0.276
x	ɡ	0.189
x	-	0.174
x	v	0.112
x	ɡː	0.074
z	s	0.57
z	r	0.278
z	sː	0.089
ŋ	ŋː	0.874
ŋ	ŋ	0.106
ŋ_k	kː	1.0
ə	a	0.501
ə	-	0.296
ə	ɛ	0.179
ɣ	ɡ	0.582
ɣ	-	0.228
ɣ	ɡː	0.068
ɣ	j	0.068
ɣ	ŋ	0.054
ɪ	-	0.398
ɪ	ɪ	0.229
ɪ	ŋ	0.229
ɪ	j	0.089
ɫ	lː	0.473
ˈa	ˈɛ	0.371
ˈa	ˈøː	0.116
ˈaː	ˈɛ	0.45
ˈaː	ˈa	0.297
ˈaː	ˈeː	0.175
ˈaːi̯	ɛ	0.392
ˈaːi̯	ˈɑː_ɡ	0.392
ˈaːi̯	ˈɛː	0.116
ˈaːu̯	r	0.224
ˈaːu̯	ˈʉː	0.106
ˈeː	ˈeː	0.351
ˈeː	ˈɛː	0.153
ˈeː	ˈœː	0.101
ˈeː	ˈøː	0.082
ˈeː	ˈɔ	0.074
ˈeːu̯	ˈeː	0.473
ˈi	ˈiː	0.606
ˈi	j	0.139
ˈi	ˈɛː	0.121
ˈi	ˈɛ	0.062
ˈi	ˈæː	0.06
ˈiː	ˈiː	0.3
ˈiː	ˈɛ	0.155
ˈiː	ˈoː	0.135
ˈiː	ˈɪ	0.131
ˈiː	ˈa	0.078
ˈiːu̯	ˈeː	0.224
ˈoː	ˈøː	0.372
ˈoː	ˈʉː	0.167
ˈoː	ˈa	0.137
ˈoː	ˈoː	0.102
ˈoː	-	0.096
ˈoːu̯	ˈuː	0.355
ˈoːu̯	ˈa	0.154
ˈoːu̯	ˈɔ	0.123
ˈoːu̯	ˈɵ	0.107
ˈoːu̯	ˈœ	0.107
ˈu	ˈuː	0.359
ˈu	ˈɵ	0.17
ˈuː	ˈʉː	0.442
ˈuː	ˈoː	0.164
ˈuː	ˈɵ	0.143
ˈuː	ˈuː	0.143
ˈuː	ʊ	0.05
ˈyː	ˈɛ	0.574
ˈyː	ˈʏ	0.272
ˈœː	ˈɵ	1.0
ˈɔ	ˈa	0.457
ˈɔ	ˈɵ	0.179
ˈɔ	ˈʉː	0.179
ˈɔ	ˈɔ	0.076
ˈɔ	ˈœ	0.054
ˈɔː	ˈɑː	0.262
ˈɔː	j	0.199
ˈɔː	ˈɛ	0.147
ˈɔː	ˈa	0.138
ˈɔː	ˈɔ	0.128
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɑː	0.248
ˈɛ	ˈæ	0.175
ˈɛ	ˈeː	0.175
ˈɛ	ˈoː	0.175
ˈɛ	ˈɛ	0.07
ˈɛɪ̯	ˈoː	0.226
ˈɛɪ̯	ˈʉː	0.157
ˈɛɪ̯	ˈøː	0.11
ˈɛɪ̯	ˈæː	0.104
ˈɛɪ̯	ˈɑː	0.096
ˈɛː	ˈʏ	0.419
ˈɛː	ˈa	0.143
ˈɛː	-	0.14
ˈɛː	ˈɑː	0.14
ˈɛː	ˈɵ	0.098
ˈɪ	ˈɪ	0.645
ˈɪ	ˈɛ	0.148
ˈɪ	ˈʉː	0.085
ˈɪ	ˈeː	0.064
ˈɪ	ˈiː	0.051
ˈʊ	ˈʊ	0.433
ˈʊ	ˈɵ	0.151
ˈʊ	ˈʏ	0.151
ˈʊ	ˈœ	0.099
ˈʊ	ˈɛ	0.064
