Saterland Frisian	Swedish	probability
a	ˈʉː	0.519
a	a	0.481
b	b	0.926
b	-	0.074
d	d	0.682
d	tʰ	0.084
d	-	0.074
d	ɖ	0.059
d	ɳ	0.056
f	f	0.816
f	v	0.143
h	h	0.933
h	-	0.067
i	ɔ	1.0
j	-	0.373
j	ˈyː	0.2
j	ɡ	0.126
j	ˈiː	0.116
j	j	0.095
j	ˈʏ	0.051
k	k	0.459
k	-	0.241
k	kʰ	0.196
l	l	0.878
l	lː	0.084
m	m	0.693
m	mː	0.258
n	n	0.748
n	nː	0.163
n	-	0.076
p	p	0.425
p	pː	0.224
p	-	0.143
p	v	0.137
p	pʰ	0.071
r	r	0.903
s	s	0.693
s	ɧ	0.218
t	t	0.416
t	tʰ	0.243
t	tː	0.171
t	-	0.069
v	v	0.768
v	-	0.232
w	v	0.551
w	m	0.449
x	k	0.278
x	ɡː	0.226
x	ɡ	0.185
x	v	0.126
x	-	0.121
z	s	0.415
z	ɡː	0.235
z	r	0.22
z	sː	0.13
ŋ	ŋː	0.885
ŋ	ˈoː	0.107
ə	a	0.42
ə	-	0.338
ə	ɛ	0.228
ɡ	ɡ	1.0
ɣ	ɡ	0.662
ɣ	-	0.105
ɣ	jː	0.071
ɣ	j	0.069
ɣ	ɡː	0.055
ɪ	-	0.524
ɪ	j	0.188
ɪ	ŋ	0.177
ɪ	ɪ	0.111
ˈa	ˈɛ	0.562
ˈa	ˈøː	0.195
ˈa	ˈɵ	0.138
ˈa	ˈa	0.105
ˈaː	ˈeː	0.477
ˈaː	ˈɛ	0.398
ˈaː	ˈa	0.125
ˈaːi̯	ˈɛː	0.397
ˈaːi̯	ˈɑː	0.348
ˈaːi̯	ˈɛ	0.255
ˈaːu̯	r	0.81
ˈaːu̯	ˈʉː	0.19
ˈeː	ˈeː	0.367
ˈeː	ˈʉː	0.166
ˈeː	ˈøː	0.114
ˈeː	ˈɛː	0.11
ˈeː	ˈɛ	0.078
ˈeː	ˈœː	0.063
ˈeː	ˈœ	0.057
ˈeːu̯	ˈeː	1.0
ˈi	ˈiː	0.685
ˈi	j	0.133
ˈi	ˈæː	0.08
ˈi	ˈɛː	0.06
ˈiː	ˈɪ	0.317
ˈiː	ˈoː	0.182
ˈiː	ˈɛ	0.111
ˈiː	ˈæː	0.089
ˈiː	ˈʉː	0.089
ˈiː	ˈiː	0.079
ˈiː	ˈa	0.056
ˈiːu̯	ˈeː	1.0
ˈoː	ˈʉː	0.22
ˈoː	ˈøː	0.218
ˈoː	ˈa	0.18
ˈoː	ˈoː	0.094
ˈoː	ʊ	0.092
ˈoː	-	0.052
ˈoː	ˈeː	0.051
ˈoːu̯	ˈa	0.299
ˈoːu̯	ˈuː	0.222
ˈoːu̯	ˈoː	0.187
ˈoːu̯	ˈʊ	0.071
ˈoːu̯	ˈɔ	0.068
ˈoːu̯	ˈɵ	0.064
ˈoːu̯	-	0.054
ˈu	ˈɵ	0.512
ˈu	ˈʏ	0.257
ˈu	ˈuː	0.231
ˈuː	-	0.218
ˈuː	ˈɵ	0.177
ˈuː	ˈʉː	0.157
ˈuː	ˈɔ	0.142
ˈuː	ˈoː	0.1
ˈuː	ˈuː	0.088
ˈuː	ˈøː	0.058
ˈyː	ˈɛ	0.661
ˈyː	ˈʉː	0.17
ˈyː	ˈʏ	0.17
ˈøː	ˈʉː	1.0
ˈœː	ˈɵ	1.0
ˈɔ	ˈa	0.515
ˈɔ	ˈɵ	0.245
ˈɔ	ˈœ	0.15
ˈɔ	ˈʉː	0.054
ˈɔː	ˈɑː	0.219
ˈɔː	ˈœ	0.173
ˈɔː	ˈœː	0.136
ˈɔː	ˈɔ	0.131
ˈɔː	ˈa	0.112
ˈɔː	ˈɛ	0.094
ˈɔː	j	0.094
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɛ	0.384
ˈɛ	ˈɑː	0.308
ˈɛ	ˈoː	0.092
ˈɛ	ˈʉː	0.089
ˈɛ	ˈeː	0.071
ˈɛ	ˈæ	0.056
ˈɛɪ̯	ˈøː	0.252
ˈɛɪ̯	ˈoː	0.2
ˈɛɪ̯	ˈɑː	0.182
ˈɛɪ̯	ˈʉː	0.111
ˈɛɪ̯	ˈæː	0.094
ˈɛɪ̯	ˈyː	0.089
ˈɛː	ˈʏ	0.295
ˈɛː	ˈa	0.2
ˈɛː	-	0.174
ˈɛː	ˈɵ	0.15
ˈɛː	ˈɛ	0.073
ˈɛː	ˈɑː	0.062
ˈɪ	ˈɪ	0.741
ˈɪ	ˈʉː	0.093
ˈɪ	ˈɛ	0.066
ˈɪ	ˈiː	0.066
ˈʊ	ˈʊ	0.392
ˈʊ	ˈɛ	0.184
ˈʊ	-	0.146
ˈʊ	ˈɵ	0.105
ˈʊ	ˈʏ	0.06
