Friulian	Friulian	probability
ˈɔː	w	1.0
ˈuː_r_#>	ˈy_#>	1.0
ˈoː	ˈu	1.0
ˈiː_#>	ˈi_#>	1.0
ˈeː	ˈe	1.0
ˈe_l	l	1.0
ˈaː_s	ˈa_s	1.0
ˈaː_#>	ˈa_#>	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ʤ	ʤ	1.0
ɟ	-	1.0
ŋ_#>	#>	1.0
z	-	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈu	1.0
w_ˈa	ˈɔ	1.0
w_#>	w_#>	1.0
t_#>	#>	1.0
s_i	s_e	1.0
r_ˈa	ɾ_ˈa	1.0
r_t	ʀ_t	1.0
n_t_#>	n_#>	1.0
m_i	nː	1.0
m_#>	m_#>	1.0
l_t	w_t	1.0
k_w	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈu	ʤ_ˈy	1.0
i_s	a_s	1.0
f	f	1.0
e_n	e_n	1.0
e_m	mː	1.0
d_ˈu	t_ˈu	1.0
b_e	β_ɔ	1.0
b	b	1.0
a_r	ɾ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɲ	<#_n	1.0
<#_z	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
p	p	0.939
m	m	0.931
l	l	0.923
c	k	0.917
ˈa	ˈa	0.902
o	u	0.857
ˈɛ	ˈɛ	0.842
ˈu	ˈy	0.833
n	n	0.815
ˈaː	ˈa	0.8
e	ɔ	0.792
a	a	0.773
ˈe	ˈe	0.762
ˈi	ˈi	0.75
ɲ	ɲ	0.75
ʧ	s	0.733
s	s	0.724
f_#>	w_#>	0.714
<#	<#_a	0.714
i	e	0.711
ŋ	ŋ	0.7
r	ɾ	0.673
t	t	0.65
ˈo	ˈu	0.645
v	b	0.629
ˈiː	ˈɛ	0.625
ʧ_#>	#>	0.6
r_#>	ʀ_#>	0.583
u	-	0.545
ɡ	ɡ	0.529
d	d	0.514
ˈuː	ˈɔ	0.444
r_#>	#>	0.417
ʧ_#>	ʦ_#>	0.4
w	w	0.4
j	j	0.389
ˈiː	ˈi	0.375
ɡ	ɣ	0.353
ˈɔ	ˈɔ	0.333
ˈɔ	ˈu	0.333
ˈɔ	-	0.333
ˈuː	ɥ_ˈɔ	0.333
ŋ	n	0.3
f_#>	p_#>	0.286
<#	<#_ˈɔ	0.286
j	-	0.278
u	u	0.273
#>	e_#>	0.259
v	β	0.257
d	ð	0.257
ɲ	n	0.25
ˈuː	ˈy	0.222
j	l	0.222
ˈaː	-	0.2
w	ˈɔ	0.2
w	ɥ	0.2
w	-	0.2
t	ʧ	0.2
r	ʀ	0.192
ˈi	ˈɛ	0.188
#>	w_#>	0.185
#>	s_#>	0.185
u	y	0.182
ˈu	ˈu	0.167
ˈɛ	ˈe	0.158
i	i	0.158
ˈe	ˈe_j	0.143
o	-	0.143
s	e_s	0.138
a	e	0.136
ʧ	w_s	0.133
ʧ	-	0.133
i	-	0.132
ˈo	ˈy	0.129
ˈo	-	0.129
ɡ	-	0.118
d	-	0.114
n	-	0.111
j	ˈɛ	0.111
#>	ˈi_#>	0.111
#>	ɔ_#>	0.111
t	-	0.1
ˈa	ˈa_j	0.098
ˈo	ˈe_j	0.097
ˈe	-	0.095
a	ɾ	0.091
s	ʦ	0.086
e	e	0.083
c	-	0.083
r	e	0.077
l	-	0.077
n	n_d	0.074
#>	m_#>	0.074
#>	k_#>	0.074
m	m_b	0.069
e	ʎ_ɔ	0.069
ˈi	j	0.062
p	-	0.061
r	-	0.058
v	ɥ	0.057
v	w_ɾ	0.057
d	ʤ	0.057
d	z	0.057
e	-	0.056
s	-	0.052
