Eastern Lombard	Spanish	probability
p	p	1.0
u	o	1.0
w	w	1.0
d	ð_ɾ	0.091
n	n	0.891
s	θ	0.381
s	s	0.481
t	t_o	0.071
z	s	0.061
ˈa	ˈa_ɾ	0.11
ˈu	ˈo_n	0.131
ˈø	w	0.141
b	β	0.212
e	a	0.102
e	-	0.2
k	ɣ_o	0.102
k	k	0.842
t	n_t_e	0.062
ŋ	n	0.082
ɡ	ɣ	0.632
ˈa	ˈa_n	0.092
ˈa	ˈa	0.52
ˈi	ˈi_ɣ	0.062
ˈi	ˈe	0.132
ˈi	ˈi	0.402
ˈo	ˈu	0.152
ˈu	ˈe	0.12
ˈø	w_ˈe	0.2
ˈø	ˈo	0.212
ˈɔ	ˈu	0.12
a	a	0.883
d	-	0.13
j	-	0.223
l	l_o	0.073
l	ʝ_o	0.103
l	l	0.693
r	ɾ	0.663
t	t	0.363
z	θ	0.193
ʤ	x	0.203
ˈe	ˈe	0.53
ˈi	ˈi_ɾ	0.083
ˈɔ	ˈo	0.273
b	b	0.764
d	d	0.454
e	e	0.444
i	i	0.874
j	j	0.104
j	x	0.214
j	l	0.214
m	m	0.934
r	ɾ_o	0.184
ʋ	β	0.44
ˈu	w_ˈe	0.054
ˈy	ˈo	0.064
ˈɛ	ˈi	0.104
j	ʝ	0.245
o	-	0.125
o	o	0.875
z	x	0.575
ɲ	ɲ	0.385
ʧ	ɟ͡ʝ	0.165
ˈe	j_ˈe	0.295
f	ˈe_β_o	0.256
i	e	0.126
r	r	0.116
t	ð	0.186
ɲ	n	0.326
ʋ	b	0.56
ˈu	ˈo	0.616
ˈy	ˈu	0.906
ˈɛ	j_ˈe	0.26
ˈɛ	ˈe	0.636
e	o	0.187
f	f	0.437
l	-	0.087
n	-	0.07
s	-	0.057
t	ʧ	0.057
t	ð_o	0.137
z	ɟ͡ʝ	0.17
ʤ	-	0.797
ʧ	x	0.347
ˈa	e_#>	0.057
ˈe	ˈi	0.127
ˈo	w_ˈe	0.07
ˈø	ˈu	0.267
d	ð	0.308
t	-	0.058
ŋ	ŋ	0.918
ɡ	ɡ	0.368
ˈi	ˈe_ɾ	0.198
ˈo	ˈo	0.678
ˈø	o	0.18
ˈɔ	w_ˈe	0.518
f	β	0.259
ɲ	ɲ_o	0.289
ʧ	s	0.129
ʧ	ʧ	0.359
ˈa	o_#>	0.129
ˈu	ˈu	0.079
ˈɔ	o	0.089
