Štokavian	Proto-Balto-Slavic	probability
ʨ	-	1.0
ʦ	k	1.0
ʒ	ɡ	1.0
ʎ	l	1.0
ʋ	w	1.0
ʃ	k	1.0
ɲ	i	1.0
ɡ̊	ɡ_á	1.0
ɡ	ɡ	1.0
z	zʲ	1.0
x	ʃ	1.0
ǔ	áu̯	1.0
r̩̂	éː_r	1.0
r_â	á_rˀ	1.0
p	p	1.0
ô	a	1.0
m	m	1.0
l	l	1.0
j_ě	ai̯ˀ	1.0
j_êː	ái̯	1.0
ǐː	ei̯	1.0
iː	a_s	1.0
ěː_z	z	1.0
ê	é	1.0
eː	-	1.0
e	-	1.0
d_a	n_d	1.0
b	b	1.0
ǎː	-	1.0
ǎ	-	1.0
a_m	óː	1.0
d	d	0.827
ǒ	a	0.8
ǔː	-	0.794
k	k	0.763
r	r	0.76
âː	-	0.75
t	t	0.741
î	úːˀ	0.73
îː	-	0.712
i	ei̯	0.7
ôː	á	0.585
n	n	0.548
s	sʲ	0.527
j	-	0.527
û	í_lˀ	0.503
ûː	á	0.5
ûː	au̯	0.5
â	áːˀ	0.5
û	-	0.497
ě	-	0.481
j	ai̯	0.473
ôː	-	0.415
êː	t_a	0.386
â	óːˀ	0.368
ě	e	0.346
a	aːˀ	0.335
i	úː	0.3
s	s	0.299
îː	iːˀ	0.288
n	s	0.265
âː	aː	0.25
êː	éː	0.238
k	-	0.237
a	-	0.225
a	áːˀ	0.223
ǔː	nˀ	0.206
ǒ	-	0.2
n	n_a	0.188
êː	é	0.188
êː	e	0.188
s	n_s	0.174
ě	ɛ	0.173
d	n	0.173
î	iː	0.135
î	éi̯ˀ	0.135
r	r_a	0.134
â	oːˀ	0.132
a	a	0.121
r	-	0.105
a	s	0.095
t	s	0.071
t	n	0.071
t	m_t	0.059
t	n_t	0.058
