East Low German	German	probability
b	b	0.942
b	f	0.058
d	t	0.391
d	tʰ	0.307
d	d	0.288
d	-	0.031
f	f	0.836
f	p	0.163
h	h	1.0
j	ɡ	0.746
j	j	0.238
k	k	0.332
k	ç	0.296
k	x	0.207
k	-	0.153
kʰ	kʰ	0.947
kʰ	-	0.053
l	l	0.921
l	l_ə	0.061
m	m	0.653
m	-	0.142
m	m_ə	0.136
m	b	0.063
n	n	0.769
n	ə_n	0.184
n	n_ə	0.04
p	f	0.654
p	p	0.176
p	p͡f	0.128
r	ʁ	0.973
r	-	0.038
s	s	0.745
s	z_ə	0.177
s	v	0.065
t	t	0.589
t	s	0.258
t	ʦ	0.048
t	s_ə	0.042
t	ɐ_ʦ	0.042
tʰ	ʦ	0.833
tʰ	tʰ	0.164
v	v	0.947
v	b	0.055
w	v	1.0
x	x	0.718
x	ɡ	0.166
x	k	0.085
z	z	0.918
z	m	0.081
æ	ɐ	0.942
æ	ʁ_ə	0.055
ç	ç	0.499
ç	k	0.279
ç	-	0.151
ç	ɡ	0.06
ŋ	ŋ	0.759
ŋ	ɡ_ə	0.151
ŋ	ɡ	0.079
ɡ	ɡ	1.0
ɣ	-	0.244
ɪ	ɪ	1.0
ɾ	t	0.559
ɾ	d	0.307
ɾ	s	0.108
ʃ	ʃ	0.959
ʃ	ʃ_ə	0.045
ˈa	ˈa	0.876
ˈa	ˈaː	0.115
ˈae̯	ˈaɪ̯	0.483
ˈae̯	ˈiː	0.32
ˈae̯	ˈeː	0.123
ˈae̯	ˈɪ	0.056
ˈaɪ̯	ˈiː	0.494
ˈaʊ̯	ˈuː	0.347
ˈaʊ̯	ˈoː	0.251
ˈaʊ̯	ˈaʊ̯	0.247
ˈaʊ̯	ˈa	0.09
ˈaʊ̯	ˈʊ	0.052
ˈaː	ˈa_ɐ	0.481
ˈaː	ˈaː	0.31
ˈaː	ˈɛ	0.133
ˈaː	ˈɛ_ɐ	0.04
ˈeː	ˈeː	1.0
ˈiː	ˈaɪ̯	0.517
ˈiː	ˈiː	0.163
ˈiː	ˈɪ	0.121
ˈiː	ˈɛ	0.077
ˈiː	ˈʏ	0.06
ˈoː	ˈʊ	0.278
ˈoː	ˈaʊ̯	0.278
ˈoː	ˈaː	0.147
ˈoː	ˈɛː	0.103
ˈuː	ˈaʊ̯	0.53
ˈuː	ˈɔ	0.23
ˈuː	ˈoː	0.076
ˈuː	ˈʊ	0.072
ˈuː	ˈuː	0.065
ˈyː	ˈɔʏ̯	0.397
ˈyː	ˈøː	0.241
ˈøː	ˈɔ	0.45
ˈøː	ˈøː	0.223
ˈøː	ˈʏ	0.126
ˈœ	ˈaʊ̯	0.425
ˈœ	ˈœ	0.241
ˈœ	ˈɛ	0.137
ˈœː	ˈaʊ̯	0.257
ˈœː	ˈiː	0.257
ˈœː	ˈyː	0.158
ˈœː	ˈœ	0.103
ˈœː	ˈoː	0.097
ˈɒː	ˈaː	0.609
ˈɒː	ˈa	0.185
ˈɒː	ˈoː	0.119
ˈɒː	ˈɛː	0.073
ˈɔ	ˈɔ	0.472
ˈɔ	ˈa	0.175
ˈɔ	ˈoː	0.132
ˈɔ	ˈʊ	0.127
ˈɔ	ˈaʊ̯	0.053
ˈɔʏ̯	ˈyː	0.641
ˈɔʏ̯	ˈøː	0.151
ˈɔʏ̯	ˈɔɪ̯	0.143
ˈɛ	ˈɛ	0.405
ˈɛ	ˈeː	0.25
ˈɛ	ˈɪ	0.171
ˈɛ	ˈaː	0.149
ˈɛɪ̯	ˈɛː	0.494
ˈɛː	ˈɛ	0.339
ˈɛː	ˈaː	0.331
ˈɛː	ˈeː	0.19
ˈɛː	ˈɔʏ̯	0.088
ˈɪ	ˈɪ	0.727
ˈɪ	ˈaɪ̯	0.179
ˈɪ	ˈɛ	0.048
ˈɪ	ˈa	0.048
ˈʊ	ˈʊ	0.62
ˈʊ	ˈɔ	0.353
ˈʊ	ˈaʊ̯	0.038
ˈʏ	ˈʏ	0.668
ˈʏ	ˈɔʏ̯	0.14
ˈʏ	ˈɛ	0.133
