East Low German	German	probability
ae̯	eː	1.0
b	b	0.994
d	t	0.395
d	d	0.316
d	tʰ	0.278
f	f	0.834
f	p	0.151
h	h	0.946
h	-	0.054
j	ɡ	0.901
j	j	0.099
k	x	0.309
k	k	0.28
k	ç	0.238
k	k_ə	0.174
kʰ	kʰ	1.0
l	l	0.967
m	m	0.834
m	b	0.08
n	n	0.937
p	f	0.828
p	p͡f	0.108
p	p	0.064
r	ʁ	0.993
s	s	0.669
s	k_s	0.172
s	z	0.144
t	t	0.463
t	s	0.262
t	s_ə	0.112
t	ʦ	0.095
tʰ	ʦ	0.835
tʰ	tʰ	0.165
v	v	0.955
w	v	1.0
x	x	0.652
x	k	0.264
x	ɡ	0.085
z	z	0.958
æ	ɐ	0.941
æ	ʁ_ə	0.059
ç	ç	0.543
ç	k	0.361
ç	ɡ	0.095
ŋ	ŋ	0.726
ŋ	ɡ_ə	0.202
ŋ	ɡ	0.072
ɡ	ɡ	1.0
ɣ	-	1.0
ɪ	ɪ	1.0
ɾ	t	0.56
ɾ	d	0.339
ɾ	s	0.101
ʃ	ʃ	0.926
ʃ	ʃ_ə	0.074
ˈa	ˈa	0.919
ˈa	ˈaː	0.081
ˈae̯	ˈaɪ̯	0.503
ˈae̯	ˈiː	0.297
ˈae̯	ˈeː	0.176
ˈaɪ̯	ˈiː	1.0
ˈaʊ̯	ˈuː	0.429
ˈaʊ̯	ˈaʊ̯	0.247
ˈaʊ̯	ˈoː	0.223
ˈaʊ̯	ˈa	0.065
ˈaː	ˈa_ɐ	0.405
ˈaː	ˈɛ_ɐ	0.278
ˈaː	ˈa	0.159
ˈaː	ˈaː	0.158
ˈeː	ˈeː	1.0
ˈiː	ˈaɪ̯	0.575
ˈiː	ˈiː	0.179
ˈiː	ˈɪ	0.112
ˈiː	ˈɛ	0.074
ˈoː	ˈaː	0.622
ˈoː	ˈaʊ̯	0.187
ˈoː	ˈa	0.083
ˈoː	ˈɛː	0.054
ˈoː	ˈʊ	0.054
ˈuː	ˈaʊ̯	0.521
ˈuː	ˈɔ	0.253
ˈuː	ˈʊ	0.088
ˈuː	ˈɔʏ̯	0.072
ˈyː	ˈɔʏ̯	0.847
ˈyː	ˈøː	0.153
ˈøː	ˈøː	1.0
ˈœ	ˈœ	0.403
ˈœ	ˈɛ	0.403
ˈœ	ˈɔ	0.141
ˈœ	ˈaʊ̯	0.053
ˈœː	ˈyː	0.492
ˈœː	ˈoː	0.254
ˈœː	ˈœ	0.123
ˈœː	ˈiː	0.071
ˈœː	ˈaʊ̯	0.06
ˈɒː	ˈaː	0.46
ˈɒː	ˈoː	0.211
ˈɒː	ˈɔ	0.101
ˈɒː	ˈɛː	0.101
ˈɒː	ˈeː	0.074
ˈɒː	ˈa	0.054
ˈɔ	ˈɔ	0.477
ˈɔ	ˈʊ	0.308
ˈɔ	ˈa	0.111
ˈɔ	ˈoː	0.104
ˈɔʏ̯	ˈyː	0.44
ˈɔʏ̯	ˈɔʏ̯	0.256
ˈɔʏ̯	ˈuː	0.169
ˈɔʏ̯	ˈøː	0.068
ˈɛ	ˈɛ	0.46
ˈɛ	ˈaː	0.213
ˈɛ	ˈeː	0.185
ˈɛ	ˈɪ	0.141
ˈɛɪ̯	ˈɛː	1.0
ˈɛː	ˈɛ	0.566
ˈɛː	ˈaː	0.144
ˈɛː	ˈɔ	0.096
ˈɛː	ˈiː	0.087
ˈɛː	ˈeː	0.071
ˈɪ	ˈɪ	0.787
ˈɪ	ˈɛ	0.076
ˈɪ	ˈaɪ̯	0.066
ˈɪ	ˈa	0.059
ˈʊ	ˈʊ	0.768
ˈʊ	ˈɔ	0.16
ˈʊ	ˈaʊ̯	0.072
ˈʏ	ˈʏ	0.614
ˈʏ	ˈɔʏ̯	0.179
ˈʏ	ˈɛ	0.116
