Corsican	Catalan	probability
c	ʎ	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
nː	n	1.0
sː	ʃ	1.0
tː	t	1.0
z	z	1.0
ɲ	ɲ	1.0
ʃː	ʃ	1.0
ʎ	ʎ	1.0
ʒ	-	1.0
ʤ	-	1.0
ʦ	s	1.0
ʧ	s	1.0
ʧː	s	1.0
ˈi	ˈi	1.0
e	-	0.101
j	-	0.301
n	n	0.911
r	-	0.1
t	-	0.061
v	b	0.581
ɟ	-	0.131
a	-	0.062
b	β	0.142
d	-	0.462
ʃ	ʃ	0.412
ˈo	ˈu	0.2
ˈɔ	u	0.072
a	ə	0.933
k	ɣ	0.113
l	ʎ	0.523
lː	ʎ	0.433
o	u	0.733
p	β	0.163
p	p	0.83
r	r	0.343
u	u	0.153
w	w	0.823
ŋ	ɲ	0.393
ɟ	ʒ	0.763
ˈɔ	ˈɔ	0.73
e	ə	0.504
k	k	0.844
s	ə_s	0.144
u	-	0.164
ɡ	ɣ	0.074
ˈo	ˈo	0.44
i	i	0.265
j	l	0.645
ˈe	ˈe	0.415
ˈu	ˈo	0.175
ˈu	ˈu	0.825
ˈɛ	ˈe	0.425
e	w	0.196
i	ə	0.336
s	s	0.856
ɡ	ɡ	0.926
ˈe	ˈɛ	0.436
ˈo	ˈɔ	0.36
b	b	0.837
l	l	0.467
lː	l	0.567
o	ə	0.267
r	ɾ	0.557
t	ð	0.37
u	ə	0.637
w	-	0.177
ŋ	ŋ	0.607
ˈɔ	ˈo	0.087
ˈɛ	ˈɛ	0.537
t	t	0.568
ɟ	ɡ_l	0.058
ʃ	ə_s	0.588
d	d	0.519
e	ˈi	0.199
i	-	0.399
n	-	0.089
v	β	0.39
ˈa	ˈa	0.959
ˈe	ˈi	0.149
