Westphalian	East Frisian Low Saxon	probability
ˈɛː	-	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒːɒ̯	1.0
ˈœː	-	1.0
ˈø	ˈʏ	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈøː	1.0
ˈuə̯	-	1.0
ˈiɛ̯	-	1.0
ɪ	ɐ	1.0
ɡ_ə	ɣ̊	1.0
ɡ	ɡ	1.0
ə	-	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
v̥	v̥	1.0
t_n	t_n	1.0
r	r	1.0
p	p	1.0
n_n	n_n	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_n	d_n	1.0
d	d	1.0
b	b	1.0
aɪ̯	ɑɪ̯	1.0
l	l	0.992
ɐ	ɐ	0.91
ˈɪ	ˈɪ	0.898
t	t	0.885
ˈiː	ˈiː	0.828
v	v	0.805
ŋ	ŋ	0.782
x	ɡ	0.779
s	z	0.768
ç	ɣ̊	0.75
ˈeː	ˈæɪ̯	0.73
ˈɔː	ˈɒː	0.694
ˈa	ˈɑ	0.663
ˈʏ	ˈʏ	0.66
ˈaʊ̯	ˈoː	0.626
ʃ	s	0.604
ˈɪə̯	-	0.6
ˈyː	ˈyː	0.6
ˈøː	ˈœy̯	0.599
ˈʊ	ˈʊ	0.568
ˈaː	-	0.567
ˈɛ	ˈɛ	0.561
ˈoː	ˈɑʊ̯	0.503
ˈaɪ̯	ˈæɪ̯	0.474
ˈuːə̯	ˈøː	0.438
ˈaː	ˈɒː	0.433
ʋ	w	0.42
ʋ	v	0.42
ˈɪɛ̯	-	0.418
ˈɪɛ̯	ˈeː	0.415
ˈɪə̯	ˈeː	0.4
ˈyː	-	0.4
ˈuː	ˈuː	0.4
ʃ	s_k	0.396
ˈʏ	ˈʏə̯	0.34
ˈuːə̯	-	0.333
ˈuː	ˈuːu̯	0.3
ˈuː	-	0.3
ˈɛ	-	0.277
ˈeː	-	0.27
ˈøː	ˈɑʊ̯	0.267
ç	χ_t	0.25
ˈaʊ̯	-	0.248
s	s	0.232
ˈuːə̯	ˈɔ	0.229
x	χ	0.221
ŋ	-	0.218
ˈoː	-	0.201
ˈoː	ˈœːy̯	0.196
ˈa	ˈɑːɑ̯	0.193
ˈɪɛ̯	ˈeːe̯	0.167
ˈaɪ̯	ˈɛːɪ̯	0.163
ˈɛ	ˈɛə̯	0.161
ˈʊ	ˈuː	0.16
ʋ	v̥	0.159
ˈɔː	-	0.156
ˈaɪ̯	ˈøː	0.156
ˈʊ	ˈœ	0.153
ˈɔː	ˈɔː	0.149
ˈa	ˈɑː	0.144
ˈøː	ˈøy̯	0.134
ˈaʊ̯	ˈɑʊ̯	0.126
ˈiː	ˈɛːɪ̯	0.12
ˈʊ	ˈʊə̯	0.118
t	ɐ_t	0.115
ˈaɪ̯	ˈæːɪ̯	0.108
ˈɪ	ˈɪə̯	0.102
ˈoː	ʊ	0.1
ˈaɪ̯	ˈɑɪ̯	0.099
ɐ	-	0.09
v	v̥	0.078
v	m	0.074
ˈiː	ˈiːi̯	0.052
