West Frisian	West Frisian	probability
χ_#>	#>	1.0
ˈɪə̯_l	w_v̥	1.0
ˈɛi̯	-	1.0
ˈɛ_j	ˈiə̯	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈiə̯	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈu̯o	ˈuə̯	1.0
ˈuə̯_r	ɾ	1.0
ˈuə̯	ˈuə̯	1.0
ˈu	-	1.0
ˈoː	ˈuə̯	1.0
ʋ	ʋ	1.0
ɣ	ɦ	1.0
ɡ	ɦ	1.0
ə_r	ɾ	1.0
ə_#>	#>	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	v_ə	1.0
v	ʋ	1.0
t	t	1.0
s_k	ʃ_h	1.0
p	p	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ	ˈæ	1.0
j_ə	n	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥	d̥	1.0
d_ə	d_ə	1.0
d	d	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
n	n	0.909
r	ɾ	0.86
ˈa	ˈɑ	0.786
l	l	0.767
ˈɛː	-	0.667
ˈɛ	ˈæ	0.667
ˈeː	-	0.667
ˈɪə̯	ˈoː	0.647
ə	ə	0.513
χ	h	0.5
ˈɔː	ˈɑ	0.5
ˈɔː	-	0.5
ˈoə̯	ˈoː_ɾ	0.5
ˈiː	-	0.5
ʦ	t	0.5
ʦ	-	0.5
ɪ	ɪ	0.5
ɪ	iə̯	0.5
t_ə	t_n	0.5
t_ə	t	0.5
s	s	0.46
ˈuː	ˈyː	0.455
ˈi	ˈi	0.455
ˈaː	ˈɒː	0.455
#>	d̥_#>	0.455
s	z	0.44
ˈɔ	ˈɔ	0.412
j	ˈiə̯	0.385
ˈuː	ˈoː	0.364
ˈɛː	ˈɑ	0.333
ˈɛ	-	0.333
ˈiː	ˈi	0.333
ˈeː	ˈoː	0.333
ə	n	0.333
ˈɪ	ˈɪ	0.304
ˈɔ	-	0.294
χ	ɦ̥	0.286
ˈi	ˈɪ	0.273
ˈi	-	0.273
ˈaː	ˈɑ	0.273
ˈaː	-	0.273
ˈiə̯	ˈɛː	0.263
ˈiə̯	ˈɒː	0.263
ˈɪ	ˈɛ	0.261
ˈoə̯	ˈɔ_ɾ	0.25
ˈoə̯	-	0.25
l	w	0.233
j	j	0.231
j	-	0.231
#>	k_#>	0.227
ˈa	-	0.214
ˈiə̯	ˈiə̯	0.211
ˈuː	-	0.182
ˈɔ	ˈœ	0.176
ˈɪ	-	0.174
ˈiː	ˈɪ	0.167
ˈiə̯	ˈuə̯	0.158
j	h	0.154
χ	ɦ_ə	0.143
#>	ɦ̥_#>	0.136
ˈɪə̯	ˈɒː	0.118
ˈɪə̯	ˈiə̯	0.118
ˈɪə̯	-	0.118
ˈɔ	ˈu	0.118
ˈiə̯	-	0.105
ə	-	0.103
s	z̥	0.1
n	n_ə	0.091
#>	ˈɛː_#>	0.091
#>	ɾ_#>	0.091
ˈɪ	ˈœ	0.087
ˈɪ	ˈoː	0.087
ˈɪ	ˈiə̯	0.087
χ	ç	0.071
ə	d_n	0.051
