Hessian	Old Frisian	probability
ˈɛ̃ː	ˈaː_n	1.0
ˈɛː	ˈe	1.0
ˈɔ	ˈɔː	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑ_v	bː	1.0
ˈæ	ˈe	1.0
ˈuː	ˈoː	1.0
ˈõː	ˈu_n	1.0
ˈoi̯	ˈi̯uː	1.0
ˈoĩ̯	ˈi̯uː_ɣ	1.0
ˈĩː	ˈeː_n	1.0
ˈe	ˈe	1.0
ˈãː	ˈɛː_n	1.0
ˈau̯	ˈuː	1.0
ʃ_d̥	s_t	1.0
ɛː	iː	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
v_ˈɔ	w	1.0
t_ʀ	d_r	1.0
pʰ	-	1.0
p	b	1.0
oː	ˈaː	1.0
kʰ	ʦ	1.0
k_s	k_s	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f_ʀ	f_r	1.0
ə	ə	0.951
l	l	0.941
b̥	b	0.936
m	m	0.922
ɐ	r	0.901
ʀ	r	0.859
ˈɛ	ˈe	0.787
ʒ̊	-	0.766
ˈu	ˈu	0.755
æ̆	ə_r	0.746
f	f	0.737
n	n	0.736
ˈiː	ˈi̯aː	0.72
s	s	0.711
v	w	0.706
ˈa	ˈa	0.69
ˈeː	-	0.658
x	k	0.616
ˈi	ˈi	0.611
ˈai̯	ˈiː	0.606
ʦ	t	0.606
ˈo	ˈu	0.595
ɣ̊	j	0.57
ˈaː	ˈaː	0.567
d̥	d	0.565
ˈɑ	ˈɔː	0.545
t	θ	0.505
ˈæː	ˈe	0.5
ˈæː	-	0.5
ˈoː	ˈaː	0.444
ɣ̊	ɣ	0.43
ˈo	ˈo	0.405
k	ɡː	0.404
t	t	0.396
ˈai̯	-	0.394
ʦ	tː	0.394
x	x	0.384
ɡ̊	ɡ	0.355
ʃ	s_k	0.354
ˈeː	ˈɛː	0.342
k	ɡ	0.321
ˈoː	ˈɔː	0.314
ˈɑ	ˈa	0.313
ˈa	ˈe	0.31
ɡ̊	j	0.301
ˈɑː	ˈe	0.287
ˈiː	-	0.28
k	k	0.275
f	p	0.263
ɡ̊	-	0.255
d̥	θ	0.251
ˈɑː	ˈeː	0.245
ˈoː	ˈu	0.243
v	v	0.241
ˈɑː	ˈa	0.239
ʒ̊	s	0.234
s	t	0.23
ˈɑː	ˈeː_r	0.229
ˈaː	ˈɛː	0.218
ˈaː	-	0.215
ˈɛ	ˈi	0.213
ˈi	ˈe	0.202
ʃ	k	0.169
æ̆	r	0.169
ʃ	x	0.163
n	n_d	0.156
ˈɑ	-	0.142
ˈu	ˈoː	0.142
ʀ	h_r	0.141
ʃ	ɣ̥	0.14
ˈi	-	0.107
ˈu	-	0.103
ʃ	s	0.102
ɐ	r_ə	0.099
t	d	0.099
d̥	ð	0.092
ɡ̊	k	0.09
æ̆	-	0.085
ʃ	-	0.071
b̥	pː	0.064
n	nː	0.062
s	z	0.058
v	h_w	0.053
d̥	t	0.053
