Westphalian	Westphalian	probability
ˈɪə̯_ɣ	ˈoĩ̯	1.0
ˈɒː	ˈɑː	1.0
ˈœː	-	1.0
ˈøː_n	ˈĩː	1.0
ˈøː	-	1.0
ˈø	-	1.0
ˈyːœ̯	-	1.0
ˈyː	ˈoi̯	1.0
ˈyə̯	ˈe	1.0
ˈuːə̯_n	ˈõː	1.0
ˈuːə̯	ˈɔ_ɐ	1.0
ˈuə̯	-	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiɛ̯	-	1.0
ˈeː_n	ˈãː	1.0
ˈeː	ˈaː	1.0
ˈaɪ̯_#>	ˈai̯_#>	1.0
ʃ_t	ʃ_d̥	1.0
ɪ	i	1.0
z̥	s	1.0
z	s	1.0
v_#>	b̥_#>	1.0
r	ʀ	1.0
n_n	n_ə	1.0
m	m	1.0
l_d̥	l	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f_ˈøː	f	1.0
f	f	1.0
aɪ̯	ɛː	1.0
v	v	0.923
d̥	d̥	0.9
ʃ	ʃ	0.882
ŋ	ŋ	0.818
ˈɪ	ˈi	0.8
s	s	0.8
ə	-	0.765
d	d̥	0.759
ʋ	v	0.714
ç	ʃ	0.714
#>	ə_#>	0.714
ˈʏ	ˈi	0.667
ɐ	æ̆	0.629
ˈuː	ˈau̯	0.625
ˈoː	ˈuː	0.625
ˈaɪ̯	ˈiː	0.615
ˈɔ	-	0.6
k_n	ɡ̊_ə	0.6
ˈiː	ˈai̯	0.556
n	n	0.548
p	f	0.545
b	b̥	0.545
ˈɔː	ˈɑː	0.538
ˈɪə̯	ˈi	0.5
ˈɪə̯	-	0.5
ˈɛː	ˈæː	0.5
ˈɛː	-	0.5
ˈaː	ˈa	0.5
ˈaː	-	0.5
ˈaʊ̯	ˈaː	0.5
ɡ	ɣ̊	0.5
ɡ	-	0.5
ˈa	ˈɑ	0.48
ˈɪɛ̯	-	0.444
ˈiː	-	0.444
ˈʊ	ˈu	0.429
x	ɡ̊	0.429
k	kʰ	0.407
ˈɔ	ˈaː	0.4
k_n	ə	0.4
ˈuː	-	0.375
ˈoː	ˈu	0.375
b	p	0.364
ˈʊ	ˈo	0.357
t	ʦ	0.355
n	ə	0.339
ˈʏ	-	0.333
ˈɪɛ̯	ˈɛ	0.333
ˈaʊ̯	ˈoː	0.333
ˈa	ˈa	0.32
ˈɛ	ˈɛ	0.308
ˈɛ	-	0.308
ʋ	b̥	0.286
ç	ʃ_t	0.286
#>	ˈuː_#>	0.286
t	s	0.258
ɐ	ɐ	0.257
d	t	0.241
ə	ə	0.235
ˈɛ	ˈe	0.231
ˈɔː	ˈoː	0.231
ˈaɪ̯	-	0.231
ˈɪɛ̯	ˈæ_ɐ	0.222
ˈʊ	ˈau̯	0.214
x	x	0.214
x	k	0.214
t	t	0.194
ŋ	-	0.182
p	v̥	0.182
p	p	0.182
ˈaʊ̯	-	0.167
ˈɛ	ˈi	0.154
ˈɔː	-	0.154
ˈaɪ̯	ˈeː	0.154
k	ʃ	0.148
k	x	0.148
x	ɣ̊	0.143
t	z̥	0.129
ˈɪ	ˈai̯	0.12
ˈa	ˈɑː	0.12
ʃ	ʒ̊	0.118
ɐ	-	0.114
n	-	0.113
k	k	0.111
k	-	0.111
s	s_ˈeː	0.1
s	k_s	0.1
d̥	-	0.1
p	pʰ	0.091
b	-	0.091
ˈɪ	-	0.08
ˈa	-	0.08
ˈɔː	ˈɛ̃ː	0.077
v	f	0.077
k	ʤ̥	0.074
t	d̥	0.065
