Latin	Occitan	probability
ae̯	e	1.0
f	f	1.0
kʷ	k	1.0
kː	k	1.0
l	l	1.0
lʲː	l	1.0
o	u	1.0
rː	r	1.0
tː	t	1.0
u	-	1.0
ˈau̯	ˈa_w	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
a	e	0.061
b	-	0.061
d	d	0.431
m	m	0.861
oː	u	0.631
p	β	0.171
t	j	0.11
w	v	0.871
ɛ	j	0.071
ɛ̃ː	-	0.491
ʊ̃ː	-	0.441
b	b	0.582
eː	e	0.742
i	j	0.312
j	ʤ	0.92
s	-	0.122
ɡ	-	0.302
ʊ	-	0.152
ˈoː	-	0.172
ˈɔ	ˈu	0.212
a	-	0.063
a	a	0.833
oː	i	0.283
s	s	0.783
ɔ	u	0.743
ɛ	e	0.693
ɪ	-	0.63
ɫ	-	0.083
ˈuː	ˈy	0.963
ˈɪ	ˈe	0.733
ˈʊ	ˈu	0.863
aː	ˈa	0.324
ãː	-	0.054
iː	-	0.544
k	-	0.384
lʲ	-	0.544
n	-	0.214
p	-	0.114
p	p	0.714
r	r	0.314
t	t	0.464
ŋ	ŋ	0.724
ɛ	ˈa	0.084
ʊ	ˈɛ	0.74
ˈaː	-	0.264
ˈɔ	ˈɔ	0.704
e	e	0.135
iː	s_i	0.35
k	ɣ	0.075
k	z	0.075
ɡ	ʤ	0.385
ˈɛ	-	0.065
aː	a	0.676
ãː	ɔ	0.946
d	-	0.486
e	ɔ	0.066
iː	i	0.106
k	k	0.466
lʲ	l	0.456
oː	ˈɛ	0.086
ŋ	-	0.086
ɛ	-	0.146
ɪ	e	0.336
ʊ̃ː	e	0.496
ˈa	ˈa	0.946
ˈaː	ˈa	0.736
b	β	0.357
n	n	0.757
s	j_s	0.07
t	-	0.107
ɔ	w	0.067
ˈiː	ˈi	0.817
ˈʊ	ˈy	0.137
eː	-	0.258
j	-	0.08
t	ð	0.248
ɫ	l	0.828
ʊ	lː	0.108
ˈoː	ˈu	0.828
ˈɪ	ˈɛ	0.068
ˈɪ	-	0.198
e	-	0.799
i	-	0.29
i	ˈɛ	0.309
m	-	0.139
r	-	0.19
r	ɾ	0.469
w	-	0.129
ŋ	n	0.19
ɔ	-	0.19
ɛ̃ː	e	0.509
ɡ	ɡ	0.29
ɫ	w	0.089
ˈiː	ˈe	0.149
ˈɛ	ˈɛ	0.79
