Saterland Frisian	Nynorsk Norwegian	probability
a	ˈyː	0.523
a	-	0.477
b	b	0.926
b	-	0.074
d	d	0.529
d	-	0.237
d	ɾ	0.157
f	f	0.858
f	ʋ	0.142
h	h	0.882
h	j	0.118
i	e	1.0
j	-	0.729
j	ˈyː	0.19
k	k	0.382
k	-	0.297
k	kʰ	0.219
k	ɡ	0.058
l	l	0.841
l	lː	0.119
m	m	0.919
m	-	0.052
n	n	0.75
n	nː	0.16
n	-	0.077
p	p	0.668
p	-	0.148
p	ʰpː	0.111
p	pʰ	0.074
r	ɾ	0.931
r	-	0.055
s	s	0.719
s	ʃ	0.213
s	ɕ	0.054
t	t	0.56
t	tʰ	0.205
t	tː	0.076
v	ʋ	0.611
v	-	0.219
v	kʰ_ʋ	0.091
v	v	0.079
w	m	0.58
w	ʋ	0.42
x	ɡ	0.354
x	ʰtː	0.331
x	ɡː	0.163
x	k	0.105
z	s	0.611
z	ɾ	0.243
z	jː	0.146
ŋ	ŋː	0.815
ŋ	ɲ	0.105
ŋ	ʰkː	0.051
ə	ɑ	0.359
ə	-	0.313
ə	e	0.217
ə	ə	0.064
ɡ	ɡ	1.0
ɣ	ɡ	0.731
ɣ	-	0.115
ɣ	j	0.078
ɣ	ɡː	0.076
ɪ	ɑ	0.423
ɪ	ŋ	0.232
ɪ	e	0.127
ɪ	ʋ	0.127
ɪ	-	0.092
ˈa	ˈøː	0.381
ˈa	ˈɛ	0.236
ˈa	ˈʉ	0.173
ˈa	ˈɑ	0.105
ˈa	ˈɔ	0.105
ˈaː	ˈæɪ̯	0.37
ˈaː	ˈɛ	0.262
ˈaː	ˈɑ	0.199
ˈaː	ˈeː	0.169
ˈaːi̯	ˈeː	0.362
ˈaːi̯	ˈɑː	0.362
ˈaːi̯	ˈɑ	0.138
ˈaːi̯	ˈɛ	0.138
ˈaːu̯	ˈiː	0.553
ˈaːu̯	ˈoː	0.447
ˈeː	ˈæɪ̯	0.491
ˈeː	ˈœʏ̯	0.19
ˈeː	ˈʉː	0.104
ˈeː	ˈøː	0.076
ˈeːu̯	ˈeː	1.0
ˈi	ˈiː	0.519
ˈi	ˈeː	0.378
ˈi	ˈɛ	0.086
ˈiː	ˈɪ	0.273
ˈiː	ˈoː	0.178
ˈiː	ˈiː	0.147
ˈiː	ˈɛ	0.141
ˈiː	ˈyː	0.099
ˈiː	ˈɑ	0.056
ˈiːu̯	ˈeː	1.0
ˈoː	ˈʉː	0.194
ˈoː	ˈæʉ̯	0.189
ˈoː	-	0.156
ˈoː	ˈiː	0.13
ˈoː	ˈoː	0.097
ˈoː	ˈɑ	0.097
ˈoː	ˈœʏ̯	0.086
ˈoːu̯	ˈɑ	0.309
ˈoːu̯	ˈuː	0.293
ˈoːu̯	ˈoː	0.191
ˈoːu̯	ˈʊ	0.057
ˈu	ˈʉ	0.618
ˈu	ˈʉː	0.382
ˈuː	-	0.252
ˈuː	ˈoː	0.174
ˈuː	ˈʉː	0.165
ˈuː	ˈuː	0.099
ˈuː	ˈʉ	0.096
ˈuː	ˈɔ	0.092
ˈuː	ˈʊ	0.09
ˈyː	ˈɛ	0.627
ˈyː	ˈʉː	0.289
ˈyː	ˈʏ	0.084
ˈøː	ˈʉː	1.0
ˈœː	ˈʊ	1.0
ˈɔ	ˈɑ	0.649
ˈɔ	ˈʉ	0.127
ˈɔ	ˈʉː	0.116
ˈɔ	ˈʏ	0.078
ˈɔː	ˈɑ	0.268
ˈɔː	ˈɔ	0.232
ˈɔː	ˈœ	0.192
ˈɔː	ˈɑː	0.192
ˈɔː	ˈɛ	0.091
ˈɔːɪ̯	ˈɛ	1.0
ˈɛ	ˈɛ	0.407
ˈɛ	ˈɑː	0.275
ˈɛ	ˈoː	0.108
ˈɛ	ˈæɪ̯	0.108
ˈɛ	ˈʉː	0.059
ˈɛɪ̯	ˈøː	0.216
ˈɛɪ̯	ˈoː	0.179
ˈɛɪ̯	ˈʉː	0.14
ˈɛɪ̯	ˈɑ	0.118
ˈɛɪ̯	ˈæː	0.092
ˈɛɪ̯	ˈuː	0.087
ˈɛɪ̯	ˈyː	0.077
ˈɛɪ̯	ˈɑː	0.053
ˈɛː	ˈʏ	0.51
ˈɛː	ˈɑ	0.141
ˈɛː	-	0.133
ˈɛː	ˈœ	0.087
ˈɛː	ˈɑː	0.08
ˈɪ	ˈɪ	0.573
ˈɪ	ˈɛ	0.15
ˈɪ	ˈiː	0.121
ˈɪ	ˈʉː	0.072
ˈʊ	ˈʉ	0.471
ˈʊ	ˈʏ	0.315
ˈʊ	ˈɔ	0.064
ˈʊ	ˈɑ	0.059
ˈʊ	ˈɛ	0.055
