Slovak	Belarusian	probability
d	d	1.0
f	p	1.0
i	ɨ	1.0
n	n	1.0
r	r	1.0
v	v	1.0
ɟ	ʣʲ	1.0
ɪ̯ɛ	e	1.0
ɲ	nʲ	1.0
ʊ̯ˈɔ	ˈo	1.0
ʎ	lʲ	1.0
ʒ	ʐ	1.0
ʧ	ʧ	1.0
ˈaː	ˈo	1.0
ˈr̩	r	1.0
ˈæ	ˈæ	1.0
iː	i	0.371
j	j	0.361
p	pʲ	0.611
t	ʦʲ	0.051
z	z	0.341
ɔ	ˈo	0.181
ʦ	ʦ	0.931
ˈu	u	0.201
b	b	0.812
m	mʲ	0.422
x	x	0.942
ɔ	a	0.732
ɪ̯ˈɛ	æ	0.142
ˈa	a	0.232
ˈi	ˈi	0.42
ˈɛ	æ	0.232
c	ʦʲ	0.953
l	ɫ	0.433
s	s	0.53
ɪ̯ˈɛ	a	0.283
ɫ	ʌ_ɫ	0.193
ʃ	ʧ	0.124
ˈɛ	ˈe	0.574
ˈɫ̩	ˈo	0.294
a	a	0.355
a	ˈa	0.645
k	k_a	0.175
ɪ̯ˈɛ	ˈe	0.575
ʋ	w	0.055
ˈa	ˈa	0.285
ˈɔ	a	0.45
ˈɛ	ˈɵ	0.075
ɛ	a	0.586
ɦ	ɣ_ˈo	0.146
ɦ	ɣ	0.636
ʃ	ʂ	0.876
ˈa	ˈo	0.356
ˈɛ	ˈɛ	0.06
ˈɫ̩	ˈo_w	0.706
k	kʲ	0.137
l	lʲ	0.567
s	sʲ	0.47
ɔ	e	0.087
ɛ	e	0.127
ɛ	ˈe	0.287
ɫ	ɫ	0.807
ʋ	vʲ	0.627
ˈa	ˈæ	0.127
b	bʲ	0.188
k	k	0.688
m	m	0.578
x	xʲ	0.058
ɦ	-	0.218
ʋ	v	0.318
ˈi	ˈɨ	0.58
ˈɔ	ˈo	0.518
iː	ɨ	0.629
j	-	0.639
p	p	0.389
t	t	0.949
z	zʲ	0.659
ʦ	ʧ	0.069
ˈu	ˈu	0.799
ˈɛ	a	0.059
