Westphalian	East Low German	probability
aɪ̯	ae̯	1.0
b	b	1.0
d	d	0.822
d	t	0.12
f	f	1.0
h	h	1.0
j	j	1.0
k	k	0.604
k	kʰ	0.343
l	l	0.995
m	m	1.0
n	n	0.881
n	-	0.119
p	p	0.972
r	r	1.0
s	s	0.514
s	z	0.486
t	t	0.799
t	tʰ	0.142
v	v	0.349
v	f	0.34
v	m	0.311
w	v	0.83
w	w	0.17
x	ɡ	0.413
x	x	0.313
x	j	0.274
z	-	0.705
z	z	0.198
z	s	0.097
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	æ	0.917
ɐ	-	0.083
ə	-	1.0
ɡ	ŋ	0.701
ɡ	ç	0.199
ɡ	ɡ	0.1
ɣ	ɣ	0.682
ɣ	x	0.318
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ˈa	ˈa	0.854
ˈa	ˈaː	0.064
ˈaɪ̯	ˈae̯	0.79
ˈaɪ̯	ˈɔʏ̯	0.121
ˈaʊ̯	ˈaʊ̯	0.956
ˈaː	ˈaː	0.586
ˈaː	ˈɒː	0.251
ˈaː	ˈa	0.163
ˈeː	ˈae̯	0.825
ˈeː	ˈeː	0.132
ˈiɛ̯	ˈɛː	0.438
ˈiɛ̯	ˈœ	0.225
ˈiɛ̯	ˈʏ	0.225
ˈiɛ̯	ˈaɪ̯	0.112
ˈiː	ˈiː	1.0
ˈoː	ˈaʊ̯	0.947
ˈoː	ˈʊ	0.053
ˈuə̯	ˈɒː	0.667
ˈuə̯	ˈaʊ̯	0.207
ˈuə̯	ˈœː	0.126
ˈuː	ˈuː	0.852
ˈuː	ˈʊ	0.148
ˈuːə̯	ˈuː	0.318
ˈuːə̯	ˈœː	0.318
ˈuːə̯	ˈɔ	0.202
ˈuːə̯	ˈɒː	0.077
ˈyə̯	ˈœː	1.0
ˈyː	ˈyː	0.703
ˈyː	ˈɔʏ̯	0.297
ˈyːœ̯	ˈœː	1.0
ˈø	ˈʏ	1.0
ˈøː	ˈɔʏ̯	0.94
ˈøː	ˈœː	0.06
ˈœː	ˈuː	0.436
ˈœː	ˈyː	0.343
ˈœː	ˈɒː	0.221
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	0.784
ˈɔ	ˈaʊ̯	0.144
ˈɔ	ˈœ	0.072
ˈɔː	ˈɒː	0.82
ˈɔː	ˈoː	0.113
ˈɔː	ˈuː	0.067
ˈɛ	ˈɛ	0.656
ˈɛ	ˈɪ	0.21
ˈɛ	ˈa	0.077
ˈɛ	ˈœ	0.057
ˈɛː	ˈaː	0.502
ˈɛː	ˈiː	0.308
ˈɛː	ˈoː	0.191
ˈɪ	ˈɪ	1.0
ˈɪə̯	ˈɛː	0.52
ˈɪə̯	ˈae̯	0.24
ˈɪə̯	ˈœː	0.24
ˈɪɛ̯	ˈɛ	0.468
ˈɪɛ̯	ˈɛː	0.256
ˈɪɛ̯	ˈaː	0.173
ˈɪɛ̯	ˈiː	0.061
ˈʊ	ˈʊ	0.728
ˈʊ	ˈʏ	0.104
ˈʊ	ˈuː	0.084
ˈʊ	ˈɔ	0.084
ˈʏ	ˈʏ	0.871
ˈʏ	ˈɔ	0.129
