Old English	Pennsylvania German	probability
a	-	1.0
b	b	0.873
b	-	0.127
bː	v	1.0
d	t	0.517
d	d	0.386
d	-	0.08
dː	d	1.0
e	ɑ	0.855
e	ə	0.145
eo̯	-	1.0
f	f	0.802
f	p	0.183
h	h	0.963
i	ɪ	0.622
i	-	0.266
i	j	0.111
iː	ɪ	1.0
iːy̯	eː	1.0
j	ɡ	0.385
j	ç	0.204
j	k	0.193
j	j	0.106
j	-	0.088
k	k	0.388
k	kʰ	0.253
k	x	0.156
k	ç	0.095
k	ɡ	0.069
kː	k	1.0
l	l	0.985
lː	l	1.0
l̥	l	1.0
m	m	0.907
m	ə_m	0.054
mː	m	1.0
n	n	0.756
n	-	0.19
n	ɣ	0.054
nː	n	1.0
o	ɑ	0.714
o	ə	0.104
o	ˈaɪ̯	0.104
o	-	0.055
p	f	0.785
p	p	0.084
p	pʰ	0.077
p	p͡f	0.054
pː	f	0.76
pː	p	0.24
r	ɾ	0.422
r	ɑ	0.386
r	-	0.191
rː	ˈɛː	0.82
rː	-	0.099
rː	ɑ	0.081
r̥	ɾ	1.0
s	s	0.701
s	ʃ	0.299
t	s	0.512
t	ʦ	0.241
t	t	0.213
tː	ʦ	1.0
u	ˈaʊ̯	1.0
v	v	0.628
v	f	0.196
v	p	0.176
w	ʋ	0.781
w	-	0.117
x	ç	0.608
x	-	0.21
x	x	0.182
z	s	0.907
z	ɾ	0.093
ç	x	0.55
ç	ç	0.45
ð	d	0.545
ð	-	0.228
ð	n	0.228
ŋ	ŋ	0.887
ŋ	-	0.113
ɑ	ə	0.862
ɑ	-	0.138
ɡ	ɡ	0.616
ɡ	-	0.25
ɡ	ç	0.135
ɣ	k	0.462
ɣ	-	0.334
ɣ	ç	0.138
ɫ	l	0.91
ɫ	n	0.09
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	ʋ	0.754
ʍ	v	0.246
ʤ	k	1.0
ʤː	ɣ	1.0
ʧ	kʰ	0.471
ʧ	ç	0.33
ʧ	x	0.2
ʧː	k	1.0
ˈe	ˈɛ	0.422
ˈe	ˈeː	0.187
ˈe	ˈɔː	0.137
ˈe	-	0.127
ˈe	ˈɛː	0.127
ˈeo̯	ˈɛː	0.687
ˈeo̯	ˈɛ	0.13
ˈeo̯	ˈɪ	0.098
ˈeo̯	ˈeː	0.084
ˈeː	ˈiː	0.434
ˈeː	ˈa	0.231
ˈeː	ˈuː	0.12
ˈeː	ˈɪ	0.119
ˈeː	ˈaʊ̯	0.077
ˈeːo̯	ˈiː	0.492
ˈeːo̯	ˈaɪ̯	0.26
ˈeːo̯	ˈeː	0.113
ˈi	ˈɪ	0.759
ˈi	ˈa	0.094
ˈi	ˈɛ	0.059
ˈiy̯	ˈɛ	0.485
ˈiy̯	ˈa	0.456
ˈiy̯	ˈɪ	0.059
ˈiː	ˈaɪ̯	0.896
ˈiː	ˈɪ	0.104
ˈiːy̯	ˈeː	0.51
ˈiːy̯	ˈaɪ̯	0.262
ˈiːy̯	ˈɔː	0.181
ˈo	ˈaː	0.339
ˈo	ˈa	0.234
ˈo	ˈɔ	0.23
ˈo	ˈɛ	0.094
ˈoː	ˈuː	0.377
ˈoː	ˈoː	0.261
ˈoː	ˈʊ	0.184
ˈoː	ˈa	0.135
ˈu	ˈʊ	0.723
ˈu	ˈoː	0.102
ˈu	ˈɔ	0.083
ˈu	ˈɛ	0.075
ˈuː	ˈaʊ̯	0.675
ˈuː	ˈuː	0.162
ˈuː	ˈaɪ̯	0.081
ˈuː	ˈʊ	0.081
ˈy	ˈɪ	0.422
ˈy	ˈaː	0.228
ˈy	ˈeː	0.155
ˈy	-	0.143
ˈy	ˈʊ	0.052
ˈyː	ˈɪ	0.32
ˈyː	ˈaɪ̯	0.269
ˈyː	ˈʊ	0.214
ˈyː	ˈaʊ̯	0.197
ˈæ	ˈɔː	0.486
ˈæ	ˈa	0.403
ˈæ	ˈaː	0.091
ˈæɑ̯	ˈa	0.395
ˈæɑ̯	ˈɔː	0.317
ˈæɑ̯	ˈaː	0.288
ˈæː	ˈoː	0.451
ˈæː	ˈɔː	0.292
ˈæː	ˈɔɪ̯	0.139
ˈæː	ˈeː	0.093
ˈæːɑ̯	ˈɔː	0.528
ˈæːɑ̯	ˈoː	0.375
ˈæːɑ̯	ˈeː	0.071
ˈɑ	ˈa	0.807
ˈɑ	ˈɔː	0.193
ˈɑː	ˈeː	0.896
ˈɑː	ˈaɪ̯	0.059
ˈɛ	ˈɛ	1.0
θ	d	0.68
θ	t	0.267
θ	-	0.053
