Standard German	Eastphalian	probability
ˈʏ	ˈʏ	1.0
ˈɛː	-	1.0
ˈœ	ˈœ	1.0
ˈøː	-	1.0
ˈiː_ɐ	ˈiː	1.0
ʦ	t	1.0
ɪ	ɪ	1.0
ɡ̊	ɣ̊	1.0
ɡ_n	ŋ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
tʰ	d	1.0
t_n	n	1.0
s_n	t_n	1.0
p͡f	p	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f_n	b_m	1.0
eː	ɒː	1.0
d_ɐ	ɐ	1.0
d_n	n	1.0
d	d	1.0
a	-	1.0
l	l	0.963
n	n	0.939
ˈɪ	ˈɪ	0.917
ʁ	r	0.913
ɐ	ɐ	0.9
d̥	d̥	0.888
f	f	0.834
ˈiː	ˈɛɪ̯	0.802
v	v	0.795
ə	ə	0.777
ˈa	ˈa	0.775
s	t	0.77
b	b	0.763
b̥	f	0.754
ˈyː	ˈɔʏ̯	0.719
ˈuː	ˈaʊ̯	0.69
k	k	0.658
ʃ	ʃ	0.636
ˈaʊ̯	ˈuː	0.62
ˈʊ	ˈʊ	0.61
x	x	0.594
ˈeː	ˈɛɪ̯	0.54
ˈɔʏ̯	-	0.539
ˈaɪ̯	ˈiː	0.522
ˈaː	ˈɒː	0.521
ç	k	0.521
ç	ç	0.479
ˈɛ	ˈɛ	0.446
t	t	0.442
ˈoː	ˈeo̯	0.428
ɡ	j	0.41
x	k	0.406
ɡ	ɣ	0.405
ʃ	s	0.364
t	d̥	0.345
k	-	0.342
ˈaɪ̯	ˈɛɪ̯	0.32
ˈɔ	ˈɔ	0.295
ˈyː	ˈoː	0.281
ˈaʊ̯	ˈeo̯	0.281
ˈɔ	ˈʊ	0.278
ˈɔʏ̯	ˈʏ	0.277
ˈeː	ˈeː	0.276
ˈɔ	ˈoː	0.268
ˈoː	ˈɒː	0.26
b̥	v̥	0.246
b	v	0.237
s	s	0.23
ə	-	0.223
ˈʊ	-	0.206
v	w	0.205
ˈiː	-	0.198
ˈɛ	-	0.195
ˈaː	ˈɛː	0.191
ˈoː	ˈoː	0.189
ɡ	ɡ	0.185
ˈʊ	ˈɔ	0.184
ˈɔʏ̯	ˈyː	0.184
ˈeː	-	0.184
t	d	0.177
f	p	0.166
ˈɔ	-	0.159
ˈuː	ˈɔʏ̯	0.157
ˈɛ	ˈeː	0.154
ˈuː	-	0.153
ˈoː	-	0.123
ˈaɪ̯	ˈɪ	0.122
d̥	-	0.112
ˈɛ	ˈa	0.111
ˈaʊ̯	-	0.099
ˈaː	ˈaː	0.096
ˈaː	ˈa	0.096
ˈaː	-	0.096
ˈɛ	ˈɛː	0.094
ʁ	-	0.087
ˈɪ	ˈɛ	0.083
ˈa	-	0.07
ˈa	ˈɔ	0.067
ˈa	ˈɒː	0.067
n	-	0.061
ɐ	ˈɛː_ɐ	0.058
