Occitan	Ladin	probability
a	a	0.787
a	e	0.086
a	-	0.051
b	b	0.843
b	-	0.157
d	d	1.0
e	e	0.63
e	-	0.259
f	f	1.0
i	i	0.63
i	e	0.29
i	j	0.079
j	-	0.386
j	j	0.367
j	ˈɛ	0.205
k	k	0.5
k	ʨ	0.414
l	l	0.919
l	-	0.081
lː	ʒ	1.0
m	m	0.987
mː	e	1.0
n	n	0.909
n	-	0.073
nː	m	1.0
p	p	0.951
r	r	0.893
r	-	0.107
s	s	0.651
s	ʧ	0.089
s	ʨ	0.089
s	-	0.073
s	ʃ	0.069
t	t	0.902
t	-	0.092
u	o	0.708
u	e	0.136
u	ˈo	0.07
v	v	0.869
v	ɲ	0.069
v	-	0.053
w	w	0.248
w	-	0.201
w	j	0.157
w	ˈɛ	0.142
w	o	0.085
w	ˈɔ	0.074
w	l	0.06
y	j	1.0
z	ʒ	0.483
z	-	0.229
z	d	0.164
z	z	0.124
ð	d	0.958
ŋ	ŋ	0.847
ŋ	n	0.153
ɔ	a	0.904
ɔ	-	0.096
ɡ	ɡ	0.614
ɡ	ʥ	0.231
ɡ	d	0.107
ɣ	ɡ	0.729
ɣ	-	0.164
ɣ	j	0.106
ɥ	w	0.847
ɥ	ˈɔ	0.086
ɥ	-	0.067
ɲ	ɲ	1.0
ɾ	r	0.582
ɾ	-	0.392
ʎ	j	0.532
ʎ	-	0.363
ʎ	d	0.105
ʒ	ʒ	0.661
ʒ	ʥ	0.131
ʒ	-	0.111
ʤ	d	0.591
ʤ	-	0.23
ʤ	ʒ	0.178
ʦ	ʃ	0.555
ʦ	ʦ	0.254
ʦ	w_ʃ	0.191
ʧ	t	0.832
ʧ	ʦ	0.168
ˈa	ˈa	0.615
ˈa	-	0.154
ˈa	ˈe	0.139
ˈa	ˈɛ	0.092
ˈe	ˈe	0.848
ˈe	-	0.103
ˈi	ˈi	0.937
ˈu	ˈo	0.673
ˈu	ˈɔ	0.131
ˈu	ˈu	0.07
ˈu	ˈi	0.065
ˈy	ˈu	0.778
ˈy	ˈo	0.134
ˈy	ˈe	0.088
ˈɔ	ˈɔ	0.643
ˈɔ	ˈo	0.126
ˈɔ	ˈɛ	0.097
ˈɔ	w	0.09
ˈɛ	ˈɛ	0.866
ˈɛ	ˈe	0.118
β	v	0.776
β	w	0.116
β	p	0.061
