English	North Frisian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p	1.0
<#_s	<#_s	1.0
<#_tʰ	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɹ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈaɪ̯	<#_ˈi	1.0
<#_θ	<#_t	1.0
f	ə_v	1.0
f_#>	f_#>	1.0
k_#>	k_#>	1.0
l	l	1.0
l_ˈaɪ̯	l_ˈiː	1.0
m	m_ə	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
v	v_ə	1.0
v_#>	v_#>	1.0
v_ə	v_ə	1.0
w	v	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ə	-	1.0
ə_#>	r_#>	1.0
ɡ	ə	1.0
ɪ	i_#>	1.0
ɫ_#>	l_#>	1.0
ɫ_d	lʲ_#>	1.0
ɹ	r	1.0
ɹ_ˈe	r_ˈyː	1.0
ɹ_ˈiː	r_ˈiː	1.0
ʃ_#>	ʃ_#>	1.0
ˈaʊ̯_#>	ˈyː_#>	1.0
ˈe_d	ˈyː_dʲ	1.0
ˈe_ð	ˈɛː_d	1.0
ˈe_ɫ	ˈeː_l	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈuː	ˈɔu̯	1.0
ˈɐ_ð	ˈɔu̯_d	1.0
ˈɒ	ˈɔː	1.0
ˈəʊ̯_#>	ˈiː_#>	1.0
ˈəʊ̯_n	ˈiː_nʲ	1.0
ˈɪ_ŋ	ˈai̯_ŋ	1.0
ˈɪ_ə	ˈiː_r	1.0
ˈʊ	ˈœ	1.0
θ_#>	s_#>	1.0
t	t	0.261
t	tʲ_#>	0.261
ˈiː	ˈɛː	0.071
ˈiː	ˈi	0.071
ˈɐ	ˈa	0.1
ˈɐ	ˈøː	0.1
ˈɐ	ˈʏ	0.1
ˈɐ	ˈɔu̯	0.1
ˈɐ	ˈœ	0.1
<#_w	<#_v	0.792
ˈaʊ̯	ˈøː	0.2
ˈaʊ̯	ˈøː_j	0.2
ˈɑː	ˈeː_r	0.182
ˈɑː	ˈuː_l	0.182
<#_w	<#_ˈʊ	0.083
n	n_ə	0.273
ɫ	lʲ_#>	0.333
ʧ	ʃ	0.333
ˈaɪ̯	w	0.083
ˈaɪ̯	ˈa_x	0.083
ˈaɪ̯	x	0.083
ˈaɪ̯	ˈi	0.333
ˈeɪ̯	ˈɛi̯_#>	0.333
ˈeɪ̯	ˈɔː	0.333
ˈeɪ̯	ə	0.333
ˈiː	ˈɛ	0.143
ˈɑː	ˈɒː	0.273
θ	ə	0.333
k	k_ə	0.714
p	p_ə	0.444
ˈɑː	ˈa_r	0.364
ˈɔː	r	0.364
ˈɪ	ˈʊ	0.174
<#	<#_ˈuː	0.25
<#	<#_k	0.25
<#	<#_j	0.5
<#_w	<#	0.125
n_d	n	0.25
n_d	nʲ	0.25
n_d	n_ə	0.5
z	z_ə	0.5
z	s	0.5
ˈaɪ̯	ˈiː	0.125
ˈaɪ̯	ˈɒ_x	0.125
ˈiː	ˈɛi̯	0.25
ˈæ	ˈeː	0.25
ˈæ	ˈɔː	0.25
ˈæ	ˈœ	0.5
ˈɐ	ˈaː	0.15
ˈɐ	ˈʊ	0.35
ˈəʊ̯	ˈyː	0.25
ˈəʊ̯	ˈœ	0.25
ˈəʊ̯	ˈiː	0.5
ˈɜː	r	0.5
ˈɜː	ˈœ_r	0.5
d	dʲ_#>	0.176
k	k	0.286
p	p_#>	0.556
ˈaʊ̯	ˈyː	0.6
ˈe	ˈɔː	0.286
ˈe	ˈiː	0.286
ˈiː	ˈiː	0.286
ˈɔː	ˈɔ_r	0.636
n	n	0.727
t	z_ə	0.087
t	ə	0.087
t	d_ə	0.087
t	t_ə	0.217
ɫ	l	0.667
ʧ	k	0.667
ˈaɪ̯	ˈyː	0.167
ˈɪ	ˈʏ	0.087
ˈɪ	ˈaː	0.087
ˈɪ	ˈa	0.217
ˈɪ	ˈeː	0.217
ˈɪ	ˈi	0.217
θ	d	0.667
d	-	0.118
d	dʲ_ə	0.118
d	d_#>	0.588
ˈe	ˈɒː	0.429
ˈiː	ˈuː	0.179
