Middle High German	Zeelandic	probability
ˈɛ_h	ˈiːə̯	1.0
ˈɑː	ˈɛː	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈøː	ˈʊə̯	1.0
ˈæː	ˈɛː	1.0
ˈyə̯	ˈuː	1.0
ˈuː	ˈyː	1.0
ˈoː	ˈʊə̯	1.0
ˈou̯	ˈʊə̯	1.0
ˈo_n	i	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈɪə̯	1.0
ʦː	t	1.0
ʦ	t	1.0
ʃː	s	1.0
ɡ	x	1.0
ɛ	iː	1.0
ə_n	ə	1.0
ə_l	ə_ɫ	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_t	x_t	1.0
x	x	1.0
v	v	1.0
t_ə	ə	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z_ə	1.0
s_t	s_t	1.0
rː	ɾ	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈʊə̯	1.0
nː	n	1.0
m	m	1.0
lː	ɫ	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
h_ə	n	1.0
fː	p	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
b_ə	v_ə	1.0
l	ɫ	0.949
r	ɾ	0.925
n	n	0.907
w	ʋ	0.873
b	b	0.87
s	z	0.764
f	p	0.753
ə	ə	0.709
ɡ̊	k	0.667
ˈiː	ˈi	0.658
ˈɑ	ˈɑ	0.626
t	t	0.61
ˈe	ˈæ	0.59
kː	x	0.582
ˈei̯	ˈɪə̯	0.554
ˈy	-	0.52
ˈu	ˈɔ	0.476
ˈuə̯	ˈuː	0.457
ˈyː	ˈiː	0.452
ˈɛ	-	0.444
ˈi	ˈi	0.439
ˈi	ˈɪ	0.431
ʃ	s	0.419
kː	k	0.418
ˈe	-	0.41
ˈyː	-	0.351
ˈɛ	ˈæ	0.344
ʃ	s_x	0.343
ˈiː	-	0.342
ɡ̊	ŋ_k	0.333
ˈo	ˈɔ	0.307
ˈuə̯	ˈu	0.295
ˈo	ˈʊə̯	0.295
ˈei̯	ˈæi̯	0.282
ə	-	0.274
ˈuə̯	-	0.247
f	v̥	0.247
ˈu	ˈu	0.245
ˈy	ˈʏ	0.24
ˈy	ˈɪ	0.24
ʃ	z	0.238
ˈɛ	ˈeː	0.212
t	d	0.212
ˈyː	ˈyː	0.197
ˈɑ	ˈɛː	0.195
t	-	0.178
ˈu	ˈøː	0.168
ˈei̯	-	0.164
ˈo	ˈʏ	0.147
b	-	0.13
ˈo	-	0.129
s	z̥	0.126
ˈo	ˈoː	0.122
ˈu	ˈʏ	0.111
s	s	0.109
ˈɑ	ˈæ	0.089
ˈi	ˈæ	0.08
w	-	0.078
r	-	0.075
n	ə	0.061
ˈɑ	ˈɒː	0.054
ˈi	ˈeː	0.051
l	l	0.051
