Ligurian	Ligurian	probability
ˈɔ_s	o	1.0
ˈøː_ɡ	øʏ̯	1.0
ˈy_ŋ	œ̃ʏ̯̃	1.0
ˈy_t	u	1.0
ˈu_ŋ	ɒ̃ʊ̯̃	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈeː_z	i	1.0
ˈe_ŋ	ã	1.0
ˈe_n	ã_d	1.0
ˈe_l	oʊ̯	1.0
ʤ_a	j	1.0
ʒ	z	1.0
ɲ_u	ẽɪ̯̃	1.0
ɲ	ɲ	1.0
ŋ_a	n	1.0
y	y	1.0
w_ˈiː	u	1.0
v_u	f	1.0
v_e	ʁ	1.0
u_ŋ	ɒ̃ʊ̯̃	1.0
u_#>	#>	1.0
t_u	i	1.0
t_a_#>	t_#>	1.0
sː	ʒ	1.0
s_a	s	1.0
r_ˈe	ʁ_w	1.0
r_ˈa	ʁ_æɛ̯	1.0
o	-	1.0
l	l	1.0
k_w	k	1.0
k_a	ʃ	1.0
j_a	ʁ	1.0
f	f	1.0
e_#>	#>	1.0
d_e	ɛ_ʁ	1.0
b	b	1.0
a_ʤ	æɛ̯_d	1.0
a_ŋ	ã	1.0
a_#>	#>	1.0
<#_ˈaː	<#_oʊ̯	1.0
<#_ˈa_n	<#_ã	1.0
<#_ʒ	<#_v	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
v	v	0.933
<#_l	<#_l	0.895
r	ʁ	0.878
m	m	0.848
p	p	0.839
ˈɔː	ɑɔ̯	0.8
ˈa_ŋ	ẽɪ̯̃	0.727
ˈøː	œ	0.714
<#_s	<#_e	0.714
i	-	0.7
ɡ	-	0.692
s	s	0.674
ʤ	ʒ	0.667
ˈi	ɪ	0.636
t	-	0.621
ˈyː	y	0.6
ʤ_u	j	0.6
ʒ_e_#>	ɛ_#>	0.6
ʃ	-	0.6
n	n	0.6
w	-	0.545
ˈaː	e	0.536
z	ʒ	0.533
#>	l_#>	0.526
k	k	0.516
ˈɛ	ɛ	0.5
ˈɛ	-	0.5
ˈɔ	ɔ	0.5
ˈɔ	-	0.5
k	ʃ	0.484
a	a	0.474
ˈa	a	0.471
ˈɛː	æɛ̯	0.462
d	-	0.455
ˈe	w	0.45
ˈø	ɥ	0.429
ʧ	p_l	0.429
ˈa	æɛ̯	0.412
ˈyː	ɥ	0.4
ʤ_u	øʏ̯	0.4
ʒ_e_#>	#>	0.4
ʃ	s	0.4
n	-	0.4
ˈiː	i_ʁ	0.385
ˈiː	i	0.385
u	-	0.381
j	-	0.381
t	t	0.379
ˈi	i	0.364
d	ʣ	0.364
ˈuː	u	0.357
ˈy	ʏ	0.333
ˈy	y	0.333
ˈy	-	0.333
ʤ	-	0.333
ŋ	ẽɪ̯̃	0.333
z	-	0.333
j	ɛ	0.333
e	-	0.318
ˈu	-	0.312
ɡ	ɡ	0.308
i	i	0.3
ˈøː	-	0.286
ˈø	œ	0.286
ˈø	-	0.286
ʧ	k_l	0.286
ʧ	-	0.286
u	ʁ	0.286
<#_s	<#	0.286
ˈa_ŋ	ã	0.273
w	æɛ̯	0.273
e	ʁ	0.273
ˈeː	j	0.267
ˈu	u	0.25
s	-	0.233
ˈɛː	e	0.231
ˈiː	-	0.231
e	œ	0.227
ŋ	n	0.222
ŋ	ã	0.222
ŋ	-	0.222
ˈuː	w	0.214
ˈaː	æɛ̯	0.214
#>	e_#>	0.211
ˈɔː	oʊ̯	0.2
ˈeː	ɛ	0.2
ˈeː	j_ɛ	0.2
ˈeː	i	0.2
ˈe	-	0.2
j	ʁ	0.19
ˈu	ʊ	0.188
w	u	0.182
d	d	0.182
p	-	0.161
a	ʁ	0.158
a	œ	0.158
#>	ɛ_#>	0.158
ˈɛː	ʁ	0.154
ˈɛː	-	0.154
m	-	0.152
ˈe	ɛ	0.15
ˈuː	øʏ̯	0.143
ˈuː	aœ̯	0.143
ˈuː	-	0.143
u	ɔ	0.143
ˈeː	-	0.133
z	z	0.133
ˈu	ɥ	0.125
ˈu	ɒ̃ʊ̯̃	0.125
r	-	0.122
ˈa	ɑ	0.118
ˈaː	oʊ̯	0.107
a	æɛ̯	0.105
a	l	0.105
<#_l	<#	0.105
#>	ʒ_#>	0.105
ˈe	æɛ̯	0.1
ˈe	w_ɛ	0.1
u	ɒ̃ʊ̯̃	0.095
u	øʏ̯	0.095
j	ɛ_ʁ	0.095
e	ʃ	0.091
e	ɛ	0.091
ˈaː	æɛ̯_ʁ	0.071
ˈaː	-	0.071
v	-	0.067
