Saterland Frisian	Saterland Frisian	probability
ˈɛ_t	t	1.0
ˈœː	ˈoː	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈiə̯	1.0
ˈu	-	1.0
ˈoːu̯_n	ˈɑ_n	1.0
ˈoːu̯_d	ˈoː_ɾ	1.0
ˈoː_l	ˈu	1.0
ˈiːu̯	ˈeː	1.0
ˈeːu̯	ˈeː	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈaː	-	1.0
ɣ_ə	v	1.0
ɣ	ɦ	1.0
ə_r	ɾ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	-	1.0
w	-	1.0
v_ˈɪ	ʋ	1.0
v_ə	v	1.0
t_ə	t	1.0
t	t	1.0
s_ˈɔː	z	1.0
s_k	ʃ_h	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n_t	n_t	1.0
m	m	1.0
l_#>	l_#>	1.0
k_s	s	1.0
k	k	1.0
j_ˈoː	ˈiə̯	1.0
j_ə	n	1.0
i	iə̯	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d_ə	d_n	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
r	ɾ	0.957
d	d̥	0.862
ɪ	ə	0.75
n	n	0.714
ˈoːu̯	ˈuə̯	0.667
ˈi	ˈi	0.667
v	ʋ	0.667
k_#>	k_#>	0.667
ˈoː	ˈoː	0.632
ˈɔ	ˈɔ	0.6
ˈa	ˈɑ	0.6
<#	<#_k	0.6
l	l	0.577
ˈɛː	-	0.556
ˈɪ	ˈɪ	0.545
ˈɛ	ˈɛ	0.5
ˈɛ	ˈæ	0.5
ə	ə	0.5
s	z	0.489
ˈʊ	-	0.455
x	h	0.438
ˈɔː	ˈɒː	0.429
ˈuː	ˈyː	0.429
k_ə	k_ə	0.429
s	s	0.404
ˈɔ	-	0.4
ˈeː	ˈeː	0.4
ˈa	ˈæ	0.4
ə	n	0.4
<#	<#_d	0.4
ˈɛɪ̯	ˈuə̯	0.385
ˈi	-	0.333
ˈeː	ˈɛː	0.333
k_#>	#>	0.333
#>	ə_#>	0.316
x	ɦ̥	0.312
j	ˈiə̯	0.308
j	-	0.308
ˈɔː	ˈɑ	0.286
ˈiː	ˈɪ	0.286
ˈiː	ˈɒː	0.286
k_ə	k_n	0.286
k_ə	k	0.286
ˈʊ	ˈœ	0.273
ˈʊ	ˈu	0.273
ˈɪ	ˈɛ	0.273
l	w	0.269
#>	k_#>	0.263
ɪ	ɪ	0.25
ˈɛɪ̯	ˈɛː	0.231
ˈɛɪ̯	ˈɒː	0.231
j	ɦ	0.231
ˈɛː	ˈɑ	0.222
ˈɛː	ˈæ	0.222
ˈuː	ˈoː	0.19
x	-	0.188
ˈɪ	-	0.182
ˈoːu̯	ˈɔ	0.167
ˈoːu̯	ˈoː_ɾ	0.167
ˈoː	ˈɒː	0.158
#>	ɦ̥_#>	0.158
#>	n_#>	0.158
ˈɛɪ̯	-	0.154
j	j	0.154
ˈɔː	ˈɔ	0.143
ˈɔː	-	0.143
ˈuː	ˈøː	0.143
ˈuː	-	0.143
ˈiː	ˈæ	0.143
ˈiː	ˈi	0.143
ˈiː	-	0.143
v	ʋ_ˈɑ	0.143
ˈeː	ˈoː	0.133
ˈeː	-	0.133
n	n_ə	0.114
ˈoː	ˈeː	0.105
ˈoː	-	0.105
#>	v̥_#>	0.105
ə	-	0.1
ˈuː	ˈuə̯	0.095
v	v	0.095
v	-	0.095
l	ˈɔ_w	0.077
l	ˈu	0.077
d	d	0.069
d	-	0.069
s	-	0.064
x	ç	0.062
n	ˈɪ_n	0.057
n	ə	0.057
n	-	0.057
