Provençal	Provençal	probability
ˈɔ	w	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈẽ	ˈi	1.0
ˈe_ʧ	p_t	1.0
ˈe_n	ˈu_n	1.0
ɾ_e	r_u	1.0
ɔ_#>	#>	1.0
ŋ_#>	n_#>	1.0
z_ɔ	ə	1.0
z	-	1.0
y	u	1.0
w_ˈẽ	ˈu	1.0
w_ɾ	r	1.0
t	t	1.0
s_ˈi	ʧ	1.0
s_ˈe	s_e̯ˈa	1.0
s_#>	#>	1.0
p_ˈɛ	k_e̯ˈa	1.0
p	p	1.0
n	n	1.0
mː	ə_m	1.0
k_ɾ	k_r	1.0
k	k	1.0
j_ɾ	t	1.0
j_s	ʃ_t	1.0
i	i	1.0
e_s	s	1.0
e_#>	#>	1.0
b_ɾ	p_r	1.0
b_w	b	1.0
ã	ɨ	1.0
a_d	ə_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_a	1.0
ˈi	ˈi	0.929
ɾ	r	0.867
ɔ	ə	0.821
e	i	0.821
u	u	0.8
ˈã	ˈɨ	0.778
b	b	0.778
w_ˈe	ˈo	0.769
m	m	0.765
k_#>	k_#>	0.75
ʀ	r	0.7
f	f	0.692
ˈa	ˈa	0.676
ɥ	ˈo	0.625
ˈu	ˈu	0.591
ɡ	ɡ	0.583
ɲ	ɲ	0.5
ɲ	-	0.5
s	s	0.5
d	d	0.5
j	-	0.476
ˈɛ	ˈe	0.444
w	r	0.429
ʤ	ʣ	0.417
w_#>	r_#>	0.417
s	ʦ	0.412
l	ʎ	0.4
a	-	0.4
ɥ	-	0.375
ŋ	n	0.364
ˈe	e̯ˈa	0.333
ʤ	ʤ	0.333
w_#>	#>	0.333
v	v	0.333
#>	r_i_#>	0.327
#>	i_#>	0.327
f	ç	0.308
l	l	0.3
l	-	0.3
a	ə	0.3
a	a	0.3
ˈɛ	ˈa	0.278
ˈɛ	e̯ˈa	0.278
v	j	0.278
v	-	0.278
ʤ	-	0.25
ɡ	k	0.25
w_#>	l_#>	0.25
k_#>	#>	0.25
m	ɲ	0.235
w_ˈe	o̯ˈa	0.231
ˈu	o̯ˈa	0.227
ˈã	-	0.222
b	ɡ	0.222
#>	u_#>	0.218
w	ˈa	0.214
w	l	0.214
d	t	0.214
u	-	0.2
j	k_ʎ	0.19
j	i	0.19
ˈe	ˈe	0.185
ˈu	ˈo	0.182
ŋ	n_t	0.182
ŋ	n_i	0.182
ɡ	-	0.167
ˈe	o̯ˈa	0.148
w	w	0.143
j	ʎ	0.143
d	ʣ	0.143
d	i	0.143
ɾ	u_r	0.133
ɔ	i	0.128
#>	ə_#>	0.127
ˈe	ˈi	0.111
ˈe	k	0.111
ˈe	i	0.111
v	z	0.111
ˈa	ˈɨ	0.108
e	ə	0.107
ʀ	r_t	0.1
ʀ	r_n	0.1
ʀ	a	0.1
ŋ	ŋ	0.091
ŋ	m_t	0.091
ŋ	m	0.091
s	ʃ	0.088
ˈi	ˈə	0.071
e	-	0.071
ˈa	r_i	0.054
ˈa	i	0.054
ˈa	e̯ˈa	0.054
ˈa	-	0.054
ɔ	r_ə	0.051
