Emilian	Emilian	probability
ˈʌu̯	ˈu	1.0
ˈɛ_t	ˈɛ_tː	1.0
ˈɛ_l	ˈa_w	1.0
ˈɛ_d	ˈa_ʈ	1.0
ˈɛ_#>	ˈa_#>	1.0
ˈɔ	ˈɔ	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_j	ˈi	1.0
ˈa_d	ˈi_ɾ	1.0
ʧ	cː	1.0
ŋ_d	nː	1.0
ŋ_#>	n_ʊ_#>	1.0
w	w	1.0
t_#>	t_ɪ_#>	1.0
r_k	r_k	1.0
r_#>	ɪ_#>	1.0
p_j	c	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
o	ʊ	1.0
n_d	nː	1.0
n_a	a	1.0
m_#>	m_ɪ_#>	1.0
j_ˈo	ˈi	1.0
f_j	ç	1.0
d_a	t_a	1.0
<#_θ	<#_ɕ	1.0
<#_ˈɔː	<#_ˈɔ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈaː	<#_ˈa	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
a	a	0.955
f	f	0.95
k	k	0.882
ˈe	ˈi	0.875
ˈaː	ˈa	0.875
u	u	0.875
m	m	0.84
n	n	0.833
v	v	0.788
ˈɔː	ˈɔ	0.786
ɲ	ɲː	0.778
ˈo	ˈu	0.765
ˈɛː	ˈɛ	0.75
z	ɕ	0.727
ˈʌ	ˈu	0.7
ˈæ	ˈɛ	0.667
ʤ	j	0.667
ŋ	n	0.667
ˈɛ	ˈa	0.65
t	t	0.643
ˈiː	ˈi	0.636
l	l	0.62
ɡ	ɡ	0.611
ˈuː	ˈu	0.6
b	b	0.6
s	s	0.571
i	i	0.571
#>	ʊ_#>	0.566
j	ɟː	0.538
r	ɾ	0.522
<#	<#_j	0.5
<#	<#_a	0.5
ˈa	ˈi	0.474
i	-	0.429
d	t	0.417
ˈuː	ˈɔ	0.4
#>	ɪ_#>	0.399
ɡ	k	0.389
ˈiː	ˈɛ	0.364
ˈɛ	ˈɛ	0.35
ˈæ	ˈi	0.333
ʤ	ɟ	0.333
ð	ʤ	0.333
ð	j	0.333
d	ɾ	0.333
b	-	0.333
r	r	0.328
j	-	0.308
ˈʌ	ˈɔ	0.3
z	z	0.273
ˈa	ˈa	0.263
e	ɪ	0.259
θ	ʧː	0.25
θ	ʦ	0.25
θ	ɕ	0.25
θ	-	0.25
ˈɛː	-	0.25
ŋ	ŋ	0.25
ð	-	0.25
t	tː	0.25
l	ɖː	0.24
ɲ	-	0.222
ˈɔː	-	0.214
v	p	0.212
e	ɽ	0.185
e	ɪ_ɾ	0.185
e	i	0.185
s	ʃ	0.171
n	nː	0.167
d	d	0.167
ˈa	-	0.158
j	ˈi	0.154
s	ʃː	0.143
ˈe	-	0.125
ˈaː	-	0.125
u	o	0.125
ˈo	ˈɔ	0.118
ˈo	ˈo	0.118
k	kː	0.118
s	sː	0.114
e	-	0.111
ˈa	ɾ	0.105
ŋ	-	0.083
ð	ʤː	0.083
d	dː	0.083
m	nː	0.08
m	mː	0.08
l	-	0.08
r	-	0.075
e	ɾ	0.074
t	-	0.071
b	bː	0.067
