Latin	Walloon	probability
ae̯	ɛ	1.0
e	-	1.0
eː	-	1.0
iː	-	1.0
j	-	1.0
kː	-	1.0
l	l	1.0
lʲ	-	1.0
sː	-	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ŋ	-	1.0
ɡʷ	-	1.0
ˈau̯	ˈoː	1.0
a	a	0.591
ãː	j	0.161
k	s	0.111
oː	ɔ	0.221
r	ʀ	0.481
s	ʃ	0.051
w	v	0.671
ɛ	ɛ	0.31
ɡ	ɡ	0.171
ˈa	ˈɑ̃	0.211
ˈaː	ˈɛ̃	0.091
ˈoː	-	0.281
ˈɔ	ˈɔ	0.111
ˈɛ	ˈɛ	0.331
ˈʊ	-	0.1
ˈʊ	ˈu	0.181
aː	a	0.152
ãː	-	0.732
s	-	0.112
ɔ	-	0.632
ˈɔ	-	0.222
ˈɔ	w_ˈa	0.282
ˈɛ	ˈiː	0.132
ˈɪ	-	0.32
d	d	0.443
kʷ	k	0.163
kʷ	-	0.683
lʲː	-	0.893
m	-	0.553
t	t	0.463
ɛ	a	0.053
ʊ̃ː	ˈɔ̃	0.143
ʊ̃ː	ˈa	0.653
ˈa	w	0.093
ˈa	ˈa	0.153
ˈeː	w	0.233
ˈoː	ˈɔ	0.333
ˈɪ	ˈɔ	0.103
ˈʊ	ˈuː	0.103
a	-	0.304
b	b	0.734
k	ʧ	0.244
kʷ	k_w	0.154
n	-	0.504
ɡ	-	0.614
ʊ̃ː	-	0.204
ˈuː	ˈøː	0.084
b	p	0.15
n	n	0.425
p	f	0.075
p	p	0.805
ɛ̃ː	ˈɛ	0.185
ɫ	-	0.415
ɫ	l	0.585
ʊ	j	0.085
ʊ	-	0.915
ˈa	ˈɔː	0.115
ˈaː	ˈe	0.135
ˈaː	ˈiː	0.275
ˈiː	ˈiː	0.215
ˈiː	ˈɛ	0.785
ˈʊ	ˈɔ	0.615
a	ɔː	0.106
b	-	0.116
ɡ	ʤ	0.196
ˈa	ˈɛ	0.126
ˈaː	ˈɛ	0.26
ˈoː	ˈøː	0.386
ˈuː	-	0.426
ˈɔ	ˈuː	0.226
ˈɛ	ˈi	0.066
ˈɛ	-	0.126
ˈɛ	j_ˈɛ	0.296
k	k	0.137
lʲː	j	0.107
m	m	0.447
oː	-	0.27
s	s	0.837
ɛ	-	0.607
ɛ̃ː	ˈɔ̃	0.607
ˈeː	ˈɛ	0.767
ˈɪ	ˈɛ	0.577
aː	-	0.848
ãː	ˈa	0.108
f	f_w	0.098
f	f	0.888
i	-	0.978
k	-	0.488
t	-	0.508
ɔ	ɔ	0.368
ɛ̃ː	ˈa	0.208
ˈa	-	0.198
ˈɔ	ˈa	0.088
d	-	0.529
oː	ˈẽ	0.509
p	-	0.089
r	-	0.519
w	-	0.329
ɪ	-	0.969
ˈaː	-	0.239
ˈuː	ˈy	0.49
