Asturian	Occitan	probability
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ_w	<#_ɥ	1.0
<#_ʃ	<#_ʤ	1.0
<#_ʎ	<#_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈu	<#_ˈy	1.0
<#_θ	<#_s	1.0
a	a	1.0
a_#>	ɔ_#>	1.0
a_θ	ˈa_j	1.0
j_#>	j_#>	1.0
j_ˈe	ˈɛ	1.0
k_a	k_ɔ	1.0
k_u_#>	k_#>	1.0
l_#>	l_#>	1.0
m	m	1.0
m_b	m_b	1.0
o_l	u_l	1.0
p	s	1.0
r	r	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_ɾ	t_ɾ	1.0
u	u	1.0
w_ˈe	ˈɔ	1.0
ð_ɾ	j_ɾ	1.0
ŋ_#>	#>	1.0
ŋ_k	ŋ_k	1.0
ɡ	ŋ	1.0
ɲ	n	1.0
ɲ_a	ɲ_ɔ	1.0
ɾ_k	r_k	1.0
ʃ	s	1.0
ʎ	l	1.0
ʝ_a	ʎ_ɔ	1.0
ʧ_e_#>	ʧ_#>	1.0
ˈa	ˈa	1.0
ˈa_ɣ	ˈa	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_β	ˈa_β	1.0
ˈe_k	ˈe_k	1.0
ˈe_u	ˈɔ_k	1.0
ˈo_n	ˈu_n	1.0
β_u	p_#>	1.0
β_ɾ	β_ɾ	1.0
θ_#>	ʦ_#>	1.0
<#_b	<#_v	0.621
o	u	0.471
ˈu	ˈi	0.1
β	β	0.391
β	w	0.391
<#	<#_k	0.222
w	ɡ	0.2
ð	t	0.182
ɣ	-	0.222
ˈu	ˈu	0.2
θ	ɾ	0.2
<#	<#_ˈa	0.333
e_#>	e_#>	0.3
i	i	0.333
ɾ_#>	e_#>	0.423
ʝ	ʎ	0.333
ʝ	ʤ	0.333
ʝ	l	0.333
ˈi	-	0.103
ˈo	ˈɔ	0.053
β	v	0.13
θ	z	0.3
<#	<#_p	0.444
<#_ɡ	<#_ɡ	0.714
j	j	0.714
s	-	0.154
w	-	0.4
w	ɥ	0.4
ɾ	ɾ	0.44
ˈa_n	ˈa	0.444
ˈe	ˈɛ	0.174
ˈe_ʝ	ˈɛ_l	0.4
ˈo	ˈu	0.684
e	-	0.105
e	e	0.895
l	n	0.125
l	-	0.125
l	l	0.75
n	n	0.645
o	-	0.235
t	t	0.5
t	-	0.5
ɾ_#>	#>	0.5
ˈe	ˈi	0.065
ˈe	ˈe_j	0.065
ˈe	ˈa	0.065
ˈo	w	0.105
θ	s	0.5
<#_ɡ	<#	0.286
j	-	0.286
o	e	0.176
u_#>	#>	0.816
ɾ	-	0.16
ˈa_n	ˈa_n	0.556
ˈe_ʝ	ˈe_ʎ	0.6
e_#>	#>	0.7
i	-	0.667
n	n_d	0.097
ɾ_#>	ˈi_#>	0.077
ˈe	j_ˈɛ	0.087
ˈe	ˈe	0.457
ˈi	ˈi	0.897
ˈu	ˈy	0.7
β	w_ɾ	0.087
n	-	0.258
o	w	0.118
s	z	0.308
s	s	0.538
ð	ð	0.818
ɣ	ɣ	0.778
ɾ	ɾ_e	0.08
ɾ	r	0.28
ˈo	ˈa_w	0.158
<#_b	<#_b	0.379
u_#>	t_#>	0.079
