Ladin	Aromanian	probability
b	b	1.0
i	i	1.0
o	u	1.0
ŋ	n	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
d	t	0.411
j	j	0.191
k	k	0.941
m	m	0.831
s	ʃ	0.11
t	t_i	0.071
ʃ	-	0.241
ʨ	k	0.701
ˈa	ˈa	0.371
ˈi	ˈi_r	0.1
ˈo	-	0.11
a	i	0.12
a	-	0.152
a	ə	0.702
d	ʣ	0.052
e	-	0.052
p	p	0.682
v	p	0.12
ɲ	u	0.132
ʃ	s	0.502
ˈo	ˈu	0.602
ˈɔ	ˈu	0.472
d	k	0.083
f	-	0.073
n	-	0.093
r	r	0.733
s	-	0.163
t	ʦ	0.053
ˈe	ˈe	0.13
ˈi	ˈi	0.813
ˈɔ	ˈo	0.373
e	i_r	0.074
e	ə	0.174
e	i	0.444
j	i	0.334
w	o̯ˈa	0.364
w	-	0.444
ɡ	k	0.104
ʒ	ʤ	0.344
ˈa	ˈɨ	0.544
ˈo	o̯ˈa	0.074
ˈo	ˈo	0.214
l	ʎ_u	0.05
r	r_u	0.065
r	r_i	0.105
t	p_t	0.245
w	l	0.165
ˈa	e̯ˈa	0.085
ˈɛ	ˈa	0.325
d	d	0.376
e	r_i	0.06
f	f	0.286
v	v	0.276
ʒ	z	0.106
f	w_ə	0.077
l	-	0.087
l	ʎ	0.187
l	l	0.437
r	-	0.097
s	s	0.727
t	t_u	0.137
v	j	0.277
v	-	0.327
ɡ	ɡ	0.817
ˈe	ˈi	0.167
ˈe	r_i	0.217
ˈi	ˈi_ʎ	0.087
ˈɔ	o̯ˈa	0.057
ˈɛ	e̯ˈa	0.117
j	u	0.058
j	-	0.418
m	ɲ	0.148
n	n	0.8
p	k	0.318
t	t	0.398
ɲ	ɲ	0.868
ʃ	ʃ_t	0.258
ˈe	e̯ˈa_r	0.078
ˈɛ	ˈi	0.228
d	-	0.079
e	u	0.149
f	p	0.069
f	ç	0.449
k	-	0.059
l	r	0.239
ɡ	b	0.079
ʒ	ʣ	0.549
ʨ	ʦ	0.299
ˈe	e̯ˈa	0.299
ˈɔ	ˈa	0.099
ˈɛ	-	0.129
ˈɛ	ˈe	0.169
