Swedish	Palatine German	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_ɡː	ˈɑːɪ̯	1.0
ˈœː	-	1.0
ˈøː_n	ˈĩː	1.0
ˈæː	ɐ	1.0
ˈæ	ˈɛ	1.0
ˈoː_n	ˈõː	1.0
ˈiː_d	ˈaɪ̯_d̥	1.0
ʊ	ˈẽː	1.0
ʈː	ɐ_ʣ̥	1.0
ʈ	d̥	1.0
ʂ	ɐ_ʃ	1.0
ɵ	-	1.0
ɳ	ɐ_n	1.0
ɪ	-	1.0
ɛ_r	ɐ	1.0
ɔ	eː	1.0
ŋː	ŋ	1.0
ŋ	ɪ_ʃ	1.0
sː	n_s	1.0
s_ˈa	s_ˈɑ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ˈɛ	r_ˈaɪ̯	1.0
r_ˈœ	r	1.0
r_a	ɐ	1.0
pː	f	1.0
pʰ	-	1.0
p	f	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
jː	ˈɑː_n	1.0
j_ˈʉː	d̥_ˈiː	1.0
h	h	1.0
f	f	1.0
d_ˈøː	d̥_ˈoː	1.0
b	b̥	1.0
t	s	0.867
v	β	0.849
ˈa	ˈɑ	0.801
ˈiː	ˈaɪ̯	0.748
d	d̥	0.721
ˈoː	ˈoː	0.717
tʰ	d̥	0.711
n	n	0.706
ˈɛː	-	0.705
ˈuː	ˈuː	0.697
s	s	0.68
ɕ	kʰ	0.669
ˈyː	ˈaɪ̯	0.621
a	ə	0.606
kː	ŋ_ɡ̊	0.604
ɧ	ʃ	0.602
ˈʏ	ˈɪ	0.597
ˈœ	ˈɔ	0.566
ˈɛ	ˈɛ	0.565
ˈɑː	ˈɑː	0.549
ɛ	-	0.518
ˈøː	-	0.497
r	ɐ	0.459
k	ʃ	0.455
r	r	0.454
ˈɑː	ˈɑ	0.451
ˈɵ	ˈu	0.445
ˈœ	ˈɪ	0.434
ˈɔ	ˈu	0.427
ɡ	ɡ̊	0.416
ɡ	ɣ̊	0.404
ˈʏ	ˈɛ	0.403
ɧ	s	0.398
kː	ɡ̊	0.396
ˈyː	ˈiː	0.379
ˈeː	ˈɛː	0.375
tː	s	0.368
ˈʉː	ˈau̯	0.356
ˈʉː	ˈiː	0.351
k	x	0.342
ɕ	d̥	0.331
a	-	0.329
tː	ʣ̥	0.323
ˈɔ	ˈɔ	0.315
j	-	0.313
ˈuː	ˈɔ	0.303
ɛ	ə	0.302
ˈɛː	ˈeː	0.295
n	-	0.294
tʰ	ʣ̥	0.289
ˈɛ	-	0.26
ˈɔ	ˈɛ	0.259
ˈeː	-	0.256
ˈiː	ˈɑ̃ɪ̯	0.252
d	r	0.252
s	ʃ	0.248
ˈoː	-	0.241
j	ɡ̊	0.232
j	h	0.232
ˈɵ	-	0.227
j	l	0.223
ˈøː	ˈɑː	0.221
k	ɡ̊	0.203
ˈa	ˈɑː	0.199
ˈeː	ˈɪ	0.185
ˈeː	ˈaɪ̯	0.185
ˈɵ	ˈɔ	0.182
ɡ	j	0.179
ɛ	ɐ	0.179
ˈɛ	ˈɛː	0.175
ˈøː	ˈoː	0.171
tː	x_d̥	0.165
ˈʉː	-	0.163
ˈɵ	ˈɪ	0.146
tː	ʃ_d̥	0.145
t	d̥	0.133
ˈøː	ˈuː	0.111
v	f	0.106
ˈʉː	ˈi	0.097
s	ʃ_β	0.073
a	ɐ	0.057
