Ladin	French	probability
a	a	0.605
a	-	0.208
a	j	0.143
b	b	1.0
d	-	0.487
d	d	0.398
d	ʒ	0.064
e	-	0.853
e	a	0.058
f	f	0.976
i	-	0.448
i	i	0.33
i	ɛ̃	0.119
i	e	0.103
j	a	0.416
j	i	0.218
j	j	0.205
j	-	0.162
k	k	1.0
l	l	0.908
l	-	0.068
m	m	0.905
m	-	0.089
n	n	0.542
n	-	0.238
n	ɛ̃	0.174
o	ɔ	0.507
o	u	0.207
o	-	0.138
o	ɥ	0.116
p	p	0.968
r	ʁ	0.994
s	s	0.972
t	t	0.767
t	-	0.233
u	y	0.493
u	u	0.263
u	w	0.244
v	v	0.822
v	-	0.064
v	ʁ	0.06
w	-	0.411
w	œ	0.338
w	ɥ	0.17
z	-	1.0
ŋ	ɑ̃	0.551
ŋ	-	0.449
ɡ	ɡ	0.508
ɡ	-	0.492
ɲ	ɲ	0.499
ɲ	ɛ̃	0.448
ɲ	ʒ	0.053
ʃ	-	0.788
ʃ	t	0.117
ʃ	s	0.095
ʒ	ʒ	0.443
ʒ	z	0.24
ʒ	ʁ	0.125
ʒ	v	0.109
ʤ	-	1.0
ʥ	ʒ	0.475
ʥ	ʃ	0.273
ʥ	-	0.252
ʦ	ɥ	0.393
ʦ	s	0.319
ʦ	-	0.288
ʧ	s	0.91
ʧ	-	0.052
ʨ	ʃ	0.729
ʨ	s	0.233
ˈa	ɛ̃	0.239
ˈa	a	0.214
ˈa	ɛ	0.175
ˈa	-	0.124
ˈa	ɑ̃	0.118
ˈa	e	0.081
ˈe	w	0.443
ˈe	e	0.233
ˈe	-	0.143
ˈe	ɛ	0.109
ˈi	i	0.61
ˈi	ɛ̃	0.265
ˈi	w	0.05
ˈo	ɔ̃	0.402
ˈo	u	0.153
ˈo	w	0.123
ˈo	-	0.091
ˈo	œ	0.091
ˈo	ø	0.067
ˈu	y	0.696
ˈu	ɥ	0.085
ˈu	w	0.074
ˈu	-	0.061
ˈu	ɛ	0.054
ˈɔ	ɔ	0.589
ˈɔ	ɔ̃	0.172
ˈɔ	o	0.101
ˈɛ	ɛ	0.396
ˈɛ	ɑ̃	0.193
ˈɛ	-	0.181
ˈɛ	o	0.104
