Lombard	Friulian	probability
a	e	0.682
a	a	0.213
a	-	0.085
ã	a	0.777
ã	i	0.223
b	b	0.907
b	v	0.093
d	d	0.796
d	-	0.144
d	n	0.06
e	i	0.451
e	u	0.153
e	e	0.133
e	a	0.099
e	w	0.071
ẽ	-	1.0
f	f	0.951
i	a	0.402
i	i	0.376
i	e	0.222
ĩ	u	0.5
ĩ	ŋ	0.5
j	-	0.447
j	l	0.264
j	j	0.203
j	e	0.074
k	c	0.451
k	k	0.43
l	l	0.9
m	m	0.844
m	n	0.125
n	n	0.874
n	ɲ	0.105
o	o	1.0
p	p	0.967
r	r	0.952
s	s	0.952
t	t	0.748
t	n_t	0.073
t	t_r	0.07
t	c	0.059
u	o	0.341
u	u	0.295
u	e	0.146
u	i	0.117
u	-	0.071
ũ	o	1.0
v	v	1.0
w	w	0.614
w	-	0.253
w	ɡ	0.134
y	u	0.666
y	o	0.334
z	s	0.626
z	ʧ	0.313
z	z	0.061
ɛ	ˈi	0.714
ɛ	ˈaː	0.286
ɡ	ɡ	0.649
ɡ	-	0.296
ɲ	ɲ	0.716
ɲ	n	0.284
ʃ	ʧ	0.445
ʃ	z	0.294
ʃ	s	0.261
ʋ	v	0.752
ʋ	-	0.205
ʤ	ʤ	0.687
ʤ	ɟ	0.139
ʤ	l	0.081
ʦ	ʧ	0.943
ʦ	ʤ	0.057
ʧ	t	0.246
ʧ	ʧ	0.224
ʧ	l	0.21
ʧ	k_l	0.086
ʧ	k	0.068
ʧ	c	0.057
ʧ	s	0.057
ʧ	-	0.053
ˈa	ˈa	0.61
ˈa	ˈaː	0.364
ˈaː	ˈaː	1.0
ˈãː	ˈa_n	0.508
ˈãː	ŋ	0.492
ˈe	ˈe	0.522
ˈe	ˈɛ	0.175
ˈe	-	0.103
ˈe	ˈeː	0.086
ˈe	ˈiː	0.084
ˈeː	ˈe	1.0
ˈẽː	ˈi_n	0.441
ˈẽː	ˈe	0.221
ˈẽː	i	0.208
ˈẽː	ˈa_n	0.13
ˈi	ˈi	0.578
ˈi	ˈiː	0.252
ˈi	ˈu	0.088
ˈĩː	ˈi	0.525
ˈĩː	ˈi_n	0.475
ˈo	ˈɔ	1.0
ˈu	ˈo	0.582
ˈu	ˈuː	0.166
ˈu	ˈoː	0.126
ˈu	ˈɔ	0.126
ˈuː	ˈaː	0.655
ˈuː	ˈo	0.345
ˈũː	ˈi	0.401
ˈũː	ˈo	0.284
ˈũː	ˈɔ	0.184
ˈũː	ŋ	0.105
ˈy	ˈu	0.723
ˈy	ˈe	0.24
ˈyː	ˈo	0.44
ˈyː	ˈu	0.213
ˈyː	ˈoː	0.181
ˈyː	ˈuː	0.128
ˈỹː	ˈu	1.0
ˈø	ˈɔ	0.793
ˈø	ˈuː	0.121
ˈø	w	0.086
ˈøː	ˈuː	1.0
ˈɔ	w_ˈa	0.374
ˈɔ	ˈa_w	0.168
ˈɔ	w	0.113
ˈɔ	w_ˈɛ	0.095
ˈɔ	ˈɔ	0.085
ˈɔ	ˈe	0.074
ˈɛ	ˈɛ	0.543
ˈɛ	ˈeː	0.149
ˈɛ	ˈɛː	0.146
ˈɛ	ˈi	0.076
ˈɛ̃ː	ˈi	0.5
ˈɛ̃ː	ˈɛ	0.5
ˈˈi	i	1.0
