West Frisian	American English	probability
b	b	0.947
d	d	0.824
d	θ	0.123
d	ð	0.053
f	f	0.924
h	h	1.0
j	-	0.583
j	j	0.129
j	ˈi	0.109
j	ˈu	0.064
k	k	0.469
k	-	0.246
k	kʰ	0.189
k	ʧ	0.097
l	l	0.555
l	ɫ	0.376
l	f	0.05
m	m	0.91
m	-	0.09
n	n	0.834
n	-	0.064
n	ɹ_n	0.055
p	p	0.892
p	pʰ	0.108
r	ɹ	0.526
r	ɚ	0.28
r	ð	0.094
r	-	0.074
s	s	0.746
s	ʃ	0.221
t	ʔ	0.312
t	d	0.189
t	θ	0.171
t	t	0.114
t	tʰ	0.076
v	w	0.698
v	v	0.216
v	-	0.086
z	-	0.663
z	z	0.337
ŋ	ŋ	0.878
ŋ	-	0.066
ŋ	n	0.056
ɕ	s	1.0
ə	-	0.678
ə	ə	0.159
ə	ɚ	0.128
ɡ	ɡ	0.953
ɣ	-	0.449
ɣ	ʤ	0.368
ɣ	k	0.183
ɪ	i	0.825
ɪ	-	0.175
ʋ	w	1.0
ʦ	ʧ	0.38
ʦ	θ	0.264
ʦ	ʔ	0.197
ʦ	tʰ	0.16
ˈa	ˈeɪ̯	0.323
ˈa	ˈæ	0.168
ˈa	ˈɑ	0.118
ˈa	ˈi	0.098
ˈa	ˈɛ	0.08
ˈa	ˈʌɪ̯	0.08
ˈa	ə	0.066
ˈaː	ˈɛ	0.369
ˈaː	ˈæ	0.197
ˈaː	ˈeɪ̯	0.177
ˈaː	ˈɔ	0.106
ˈaː	ˈi	0.066
ˈeː	ˈɪ	0.438
ˈeː	ˈi	0.371
ˈeː	ˈaɪ̯	0.191
ˈi	ˈaɪ̯	0.34
ˈi	ˈi	0.333
ˈi	ˈɪ	0.26
ˈiə̯	ˈi	0.546
ˈiə̯	ˈoʊ̯	0.271
ˈiə̯	ˈɛ	0.099
ˈiː	ˈaɪ̯	0.562
ˈiː	ˈʌɪ̯	0.178
ˈiː	ˈi	0.116
ˈiː	ˈu	0.072
ˈoə̯	ˈɔ	0.696
ˈoə̯	ˈʌ	0.126
ˈoə̯	ˈu	0.064
ˈoə̯	ˈoʊ̯	0.059
ˈoː	ˈaʊ̯	0.532
ˈoː	ˈʌ	0.306
ˈoː	ˈu	0.162
ˈu	ˈʌ	0.957
ˈuə̯	ˈʌ	0.321
ˈuə̯	ˈaɪ̯	0.171
ˈuə̯	ˈʊ	0.151
ˈuə̯	-	0.103
ˈuə̯	ˈu	0.091
ˈuə̯	ˈoʊ̯	0.087
ˈuə̯	ˈaʊ̯	0.076
ˈuː	ˈaʊ̯	0.507
ˈuː	ˈaɪ̯	0.271
ˈuː	ˈʌ	0.172
ˈu̯o	ˈi	1.0
ˈy	ˈʌ	1.0
ˈyː	ˈʌ	0.861
ˈyː	ˈaʊ̯	0.139
ˈø	ˈɪ	0.571
ˈø	ˈɔ	0.276
ˈø	ˈi	0.153
ˈøə̯	ˈɛ	1.0
ˈɔ	ˈʌ	0.394
ˈɔ	-	0.21
ˈɔ	ˈɪ	0.13
ˈɔ	ˈɑ	0.107
ˈɔ	ˈʊ	0.092
ˈɔu̯	ˈɔ	0.601
ˈɔu̯	ˈu	0.257
ˈɔu̯	ˈoʊ̯	0.143
ˈɔː	ˈæ	0.628
ˈɔː	ˈoʊ̯	0.22
ˈɔː	ˈɛ	0.108
ˈɛ	ˈi	0.346
ˈɛ	ˈɑ	0.272
ˈɛ	ˈɝ	0.145
ˈɛ	ˈɛ	0.08
ˈɛ	ˈɔ	0.061
ˈɛ	-	0.052
ˈɛi̯	ˈɛ	0.41
ˈɛi̯	ˈeɪ̯	0.393
ˈɛi̯	ˈɪ	0.12
ˈɛi̯	ˈoʊ̯	0.077
ˈɛː	ˈɪ	0.288
ˈɛː	ˈɑ	0.254
ˈɛː	ˈæ	0.218
ˈɛː	ˈɛ	0.165
ˈɛː	ˈeɪ̯	0.074
ˈɪ	ˈɪ	0.412
ˈɪ	-	0.212
ˈɪ	ˈu	0.108
ˈɪ	ˈɛ	0.079
ˈɪ	ˈʌ	0.057
ˈɪə̯	ˈi	0.308
ˈɪə̯	ˈɛ	0.284
ˈɪə̯	ˈoʊ̯	0.191
ˈɪə̯	ˈɑ	0.08
ˈɪə̯	ˈaɪ̯	0.069
χ	ʤ	0.698
χ	f	0.139
χ	ɾ	0.081
χ	-	0.081
