German	Limburgish	probability
ˈʏ	ˈœ	1.0
ˈɔʏ̯	ˈœi̯	1.0
ˈøː	ˈyː	1.0
ˈyː	ˈøː	1.0
ˈiː	ˈeː	1.0
ˈa_l	ˈaː	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ	ʀ	1.0
ɪ	ə	1.0
ɡ̊	x	1.0
ŋ_ə_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
ç_t	x	1.0
z_ə	s	1.0
z	z	1.0
x_ə	k	1.0
x_t	x	1.0
v	β	1.0
tʰ	d	1.0
s_t	s	1.0
s_n	t_ə	1.0
p͡f	p	1.0
n_ə	n	1.0
m	m	1.0
kʰ	k	1.0
k_n	k_ə	1.0
j	j	1.0
h	ɦ	1.0
f_n	p_ə	1.0
f_l	v_l	1.0
f_#>	p_#>	1.0
d_ɐ	ʀ	1.0
d	d	1.0
b̥	v̥	1.0
b_n	v_ə	1.0
<#_ˈɛ	<#_ˈeː	1.0
<#_ʁ	<#_ʀ	1.0
b	b	0.92
d̥	d̥	0.875
ɡ	ɣ	0.87
f	v	0.852
ˈʊ	ˈʊː	0.833
l	l	0.812
ə	-	0.8
k	k	0.714
ɐ	ʀ	0.64
ç	k	0.6
s	t	0.591
n	n	0.59
ˈaː	ˈɒː	0.562
ˈuː	ˈʊː	0.545
ˈaʊ̯	ˈuː	0.5
x	x	0.5
x	k	0.5
t	d̥	0.5
#>	ɡ̊_#>	0.5
#>	f_#>	0.5
ˈeː	ˈeː	0.467
ˈaɪ̯	ˈɛː	0.464
ˈoː	ˈu	0.462
ʃ	s	0.462
ˈɔ	ˈɔ	0.438
ˈa	ˈaː	0.419
s	s	0.409
ç	x	0.4
n	ə	0.386
ˈɪ	ˈɪː	0.385
ˈa	ˈɑ	0.355
ˈeː	ˈi	0.333
ˈaɪ̯	ˈiː	0.321
ˈɔ	ˈʊː	0.312
ˈaː	ˈaː	0.312
ʃ	ʃ	0.308
ˈɛ	ˈæː	0.286
k	-	0.286
ˈaʊ̯	ˈɔu̯	0.278
ˈuː	ˈoː	0.273
ˈɔ	ˈɔː	0.25
ˈoː	ˈoː	0.231
ʃ	z	0.231
t	t	0.231
ˈaʊ̯	ˈɔː	0.222
ɐ	ə_ʀ	0.22
ˈɛ	ˈɪ	0.214
ˈɛ	ˈeː	0.214
ˈeː	-	0.2
t	j	0.192
ˈuː	ˈøː	0.182
ˈʊ	ˈœː	0.167
ˈa	ˈɑː	0.161
ˈɪ	ˈɛː	0.154
ˈɪ	ˈeː	0.154
ˈoː	ˈʊː	0.154
ˈoː	ˈɒː	0.154
f	ə	0.148
ˈɛ	ˈɛ	0.143
ˈɛ	ˈɑ	0.143
ˈaɪ̯	ˈɛːi̯	0.143
ɡ	-	0.13
ˈaː	ˈɑː	0.125
d̥	ə	0.125
ə	x	0.12
ˈɪ	ˈɛ	0.115
ˈɪ	ˈi	0.115
ɐ	ʀ_ə	0.1
l	l_ə	0.083
ə	ə	0.08
b	v_ə	0.08
ˈɪ	ˈɪ	0.077
t	j_ə	0.077
ˈaɪ̯	ˈi	0.071
ˈa	ˈæ	0.065
l	ə_l	0.062
