Standard Mandarin	Standard Mandarin	probability
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	i_e	1.0
ʐ	ȵ	1.0
ʊ	u	1.0
ʂ_ʐ̩	ʤ	1.0
ɻ	i	1.0
ɕ_ɥ	ɦˠ	1.0
ɕ	s	1.0
ɔ	ɑ	1.0
ŋ	ŋ	1.0
³⁵_#>	#>	1.0
³⁵	˦	1.0
z̩	-	1.0
w_⁵¹	u_k̚	1.0
w_³⁵	u_˦	1.0
s	sˠ	1.0
l	l	1.0
k	k	1.0
j_⁵¹	i_˥˩	1.0
j_ɛ	e	1.0
j_²¹⁴	k̚	1.0
j_o	ɨ	1.0
a_²¹⁴	p̚	1.0
<#_w	<#_m	1.0
<#_n	<#	1.0
²¹⁴	˧˥	0.912
⁵⁵	˦	0.886
w	u	0.808
f	p	0.778
n	n	0.737
j	i	0.727
ʨ	k	0.714
ə	u	0.714
⁵¹	˥˩	0.704
ʈ͡ʂ	ʈ	0.667
tʰ	tʰ	0.667
kʰ	kʰ	0.667
e	-	0.667
t	d	0.6
p	p	0.6
j_⁵⁵	i_˦	0.6
o	ə	0.571
x	ɦ	0.538
ʈ͡ʂʰ	ʨʰ	0.5
m	mˠ	0.5
m	m	0.5
<#	<#_ŋ	0.5
i	i	0.467
ɑ	ɑ	0.45
ʂ	ɕ	0.444
ɥ	i_u	0.429
ɛ	ɛ	0.429
o	ɨ	0.429
y	ɨ_ʌ	0.4
t	t	0.4
p	pˠ	0.4
j_⁵⁵	k̚	0.4
x	h	0.385
ʨʰ	kʰ	0.333
ʈ͡ʂ	ʨ	0.333
ɤ	ȵ	0.333
ɤ	i_e	0.333
ɤ	i_a	0.333
tʰ	d	0.333
kʰ	kʰˠ	0.333
e	ə	0.333
y	ɨ	0.3
y	ɦ_ɨ	0.3
<#	<#_ʔ	0.3
⁵¹	-	0.296
a	ʌ	0.29
ʨ	kˠ	0.286
ɥ	ʉ	0.286
ɥ	w	0.286
ɛ	ɐ	0.286
ɛ	e	0.286
ə	ɪ	0.286
pʰ	pʰˠ	0.286
pʰ	bˠ	0.286
pʰ	b	0.286
u	ɨ_u	0.267
u	u_o	0.267
a	ɑ	0.258
ʈ͡ʂʰ	ɖˠ	0.25
ʈ͡ʂʰ	ɖ	0.25
ʨʰ	ʦʰ	0.222
ʨʰ	ʣ	0.222
ʨʰ	ɡ	0.222
ʂ	ʥ	0.222
f	b	0.222
ɑ	ɨ_ɐ	0.2
ɑ	e	0.2
u	o	0.2
i	e_i	0.2
i	e	0.2
<#	<#_m	0.2
a	a	0.194
w	w	0.192
j	-	0.182
ɑ	ɐ	0.15
pʰ	pʰ	0.143
u	ɨ	0.133
u	u	0.133
i	i_æ	0.133
⁵⁵	-	0.114
ʂ	ʑ	0.111
ʂ	ʃˠ	0.111
ʂ	ɕˠ	0.111
n	m	0.105
a	ʉ_ɐ	0.097
a	ɛ	0.097
j	ŋˠ	0.091
²¹⁴	ɪ_˧˥	0.088
n	ɪ_m	0.079
n	u_n	0.079
x	hˠ	0.077
a	æ	0.065
