Latin	Latin	probability
ˈɛ_ɡ	ʝ	1.0
ˈɛ_k	ˈe_j	1.0
ˈyː	ˈi	1.0
ˈuː	ˈu	1.0
ˈu	-	1.0
ˈoe̯	ˈe	1.0
ˈĩː	ˈi	1.0
ˈiː_r	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈeː	ˈe	1.0
ˈe	j_ˈo	1.0
ˈaː	ˈa	1.0
ˈau̯	ˈo	1.0
ˈae̯	j	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	o	1.0
ɫ_ʊ̃ː	o	1.0
ɫ_ɛ̃ː_#>	l_#>	1.0
ɫ_ãː	a	1.0
ɪ̃	e	1.0
ɡʷ	ɡ	1.0
ɡ_n	ɲ	1.0
ɛ̃ː	ɾ_e	1.0
ɛ̃_#>	#>	1.0
ɛ_ɫ	e_l	1.0
ɛ_n	e_n	1.0
ɛ_#>	#>	1.0
ɔ_r	o	1.0
ŋ_k	n	1.0
w_ɛ̃ː_#>	w_#>	1.0
uː	o	1.0
u	-	1.0
tː	t	1.0
tʰ	ð	1.0
t_ˈeː	ð_ˈe	1.0
t_r	j	1.0
t_i	θ	1.0
t_ãː	ð_a	1.0
s_k	ʃ	1.0
s_i	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rː	ˈe_r	1.0
r_ˈaː	ɾ_ˈa	1.0
r_ʊ̃ː	ɾ_o	1.0
r_m	ɾ_m	1.0
r_k	ɾ_k	1.0
r_b	ɾ_β	1.0
r_#>	e_#>	1.0
r	ɾ	1.0
p_ˈʊ	p_ˈu	1.0
p_ɛ	β	1.0
oː_r	o_ɾ	1.0
o	o	1.0
nː	ɲ	1.0
n_ɛ̃ː	e	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
mː	-	1.0
lʲ_i	ʎ	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ɫ	k_l	1.0
k_a	k_a	1.0
f	f	1.0
eː	e	1.0
e	-	1.0
b_ʊ	β	1.0
ãː	a	1.0
ae̯	-	1.0
a_p	a_β	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.946
n	n	0.939
ˈiː	ˈi	0.926
ˈoː	ˈo	0.875
ɫ	l	0.833
p	p	0.83
oː	o	0.818
aː	a	0.818
ɛ̃ː_#>	#>	0.806
ˈɪ	ˈe	0.789
ˈa	ˈa	0.781
ŋ	ŋ	0.778
i	-	0.769
lʲː	ʎ	0.714
k_ʊ	ʎ	0.714
t	t	0.708
a	a	0.692
w	b	0.679
ˈɔ	w_ˈe	0.667
ɛ_r	ˈe_ɾ	0.667
k_ɛ̃ː	θ	0.667
b	b	0.667
ɔ	o	0.636
sː	ʃ	0.6
n_t	ˈe_n	0.6
j	-	0.6
kʷ	k	0.556
<#	<#_e	0.533
ʊ	u	0.5
ʊ	-	0.5
iː	i	0.5
iː	-	0.5
ˈɛ	j_ˈe	0.484
ɪ	e	0.455
ˈʊ	ˈu	0.438
ˈʊ	ˈo	0.438
ɪ	-	0.409
sː	s	0.4
n_t	n	0.4
j	ʧ_w	0.4
ɔ	-	0.364
ɡ	ʧ	0.36
d	ð	0.35
d	-	0.35
ɛ_r	ɾ	0.333
k_ɛ̃ː	ˈe_θ	0.333
b	β	0.333
ɡ	ɡ	0.32
k	θ	0.294
k	ɣ	0.294
lʲː	l	0.286
k_ʊ	ˈe	0.286
ɛ	i	0.267
ɛ	e	0.267
ˈɛ	ˈe	0.258
ˈɛ	j	0.258
k	k	0.235
i	j	0.231
ŋ	n	0.222
kʷ	θ	0.222
kʷ	ɣ	0.222
w	β	0.214
ɛ	-	0.2
d	ʝ	0.2
<#	<#_a	0.2
ɛ̃ː_#>	e_#>	0.194
ˈɔ	w	0.182
oː	ˈo	0.182
aː	ˈa	0.182
ɡ	-	0.16
a	e	0.154
a	-	0.154
ˈɔ	ˈo	0.152
ɪ	b_ɾ	0.136
ɛ	ɾ	0.133
ɛ	b	0.133
<#	<#_ʧ	0.133
<#	<#_ɡ	0.133
ˈʊ	w_ˈe	0.125
ˈoː	-	0.125
t	ð	0.125
t	-	0.125
ɫ	ʎ	0.111
w	w	0.107
p	β	0.106
ˈɪ	ˈi	0.105
ˈɪ	-	0.105
d	d	0.1
ˈa	ˈe	0.094
ɡ	ɣ	0.08
ɡ	j	0.08
ˈiː	-	0.074
p	-	0.064
ˈa	a_j	0.062
ˈa	a	0.062
n	-	0.061
k	ɡ	0.059
k	k_ɾ	0.059
k	j	0.059
ɫ	j	0.056
m	m_b	0.054
