Slovak	Lower Sorbian	probability
a	a	1.0
d	d	1.0
j	j	1.0
n	n	1.0
s	s	1.0
t	t	1.0
z	z	1.0
ɟ	ʑ	1.0
ɲ	ɲ	1.0
ʃ	ʂ	1.0
ʎ	l	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ˈaː	ˈa	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈæ	ˈɪ	1.0
ˈɫ̩	w	1.0
b	b	0.901
i	ɨ	0.901
l	l	0.691
ɦ	-	0.11
ˈi	ˈɨ	0.491
m	m	0.512
x	k	0.462
ɪ̯ˈɛ	ˈa	0.152
ʋ	-	0.142
iː	i	0.183
p	pʲ	0.533
ɔ	ɔ	0.803
ˈa	ˈɔ	0.463
ˈɔ	ˈɛ	0.483
ˈɛ	ˈɪ	0.283
r	-	0.154
v	vʲ	0.44
ɛ	e	0.174
k	kʲ	0.055
k	k	0.945
ɛ	ɨ	0.125
ɛ	ɔ	0.155
ɛ	ɛ	0.545
ˈr̩	r	0.325
ˈr̩	ˈe	0.675
ˈɔ	ˈɔ	0.495
ˈɛ	ˈa	0.195
v	v	0.56
ɫ	l	0.066
ˈɛ	ˈe	0.286
iː	ɨ	0.817
p	p	0.467
ɔ	-	0.197
ɫ	w	0.897
ˈa	ˈa	0.487
m	mʲ	0.488
r	rʲ	0.278
r	r	0.568
x	x	0.538
ɪ̯ˈɛ	ˈɪ	0.848
b	bʲ	0.099
c	ɕ	0.979
i	i	0.099
l	w	0.309
ɦ	ɡ	0.89
ʋ	v	0.339
ʋ	vʲ	0.519
ˈi	ˈi	0.509
ˈɛ	ˈɔ	0.199
