Čakavian	Upper Sorbian	probability
âː	ˈo	1.0
ǎː	ˈa	1.0
b	b	1.0
c	ʦ	1.0
êː	ˈe	1.0
i	i	1.0
ǐː	ˈe	1.0
j	j	1.0
ôː	ˈo	1.0
r̩̂	ˈɔ_ʀ	1.0
x	x	1.0
z	z	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
d	d	0.651
k	kʲ	0.171
m	m	0.41
n	m	0.061
r	ʀʲ	0.321
a	ˈɔ	0.072
d	t	0.102
e	ˈɛ	0.242
k	k	0.72
n	n_ɪ	0.212
n	n	0.622
r	ʃ	0.102
t	ʧ	0.282
ɡ	ɦ	0.852
â	ˈa	0.233
o	ɔ	0.613
p	pʲ	0.073
ûː	ˈu	0.533
â	a	0.734
e	ɛ	0.414
ê	ˈɔ	0.754
î	ˈɛ	0.074
î	ˈɪ	0.114
îː	ˈe	0.594
l	l	0.504
n	ɲ	0.104
ô	ɔ	0.294
s	<#_β	0.14
e	ɔ	0.345
ʋ	β	0.485
ʋ	ɥ	0.515
d	ʤ	0.246
ê	e	0.246
î	ɛ	0.196
l	w	0.496
ô	ˈɔ	0.706
s	s	0.86
a	a	0.57
î	ˈi	0.167
o	ˈɔ	0.387
p	p	0.927
ûː	w	0.467
a	-	0.358
îː	ˈɪ	0.108
r	ʀ	0.578
t	t	0.718
î	ˈe	0.449
îː	ˈi	0.299
k	x	0.109
m	mʲ	0.59
ɡ	ɪ_#>	0.109
