Russian	Standard Serbian	probability
ʦ	ʦ	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʊ_x	uː	1.0
ʊ	uː_̌	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɫ_a	l_a	1.0
ɡ̊	ɡ	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɛ	eː	1.0
ɐ_r	r	1.0
æ	eː	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
xʲ	-	1.0
vʲ	ʋ	1.0
t	t	1.0
sʲ	s	1.0
r_ɨ	r	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ_ɪ	a	1.0
k	k	1.0
i_ˈ	i	1.0
fʲ	ʋ	1.0
f	ʋ	1.0
d̥ʲ	d	1.0
dʲ	d	1.0
d	d	1.0
b̥ʲ	b	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	a	1.0
s	s	0.885
v	ʋ	0.866
ˈ	̂	0.863
i	i	0.822
nʲ	n	0.818
ʨ	ʧ	0.787
rʲ	r	0.751
lʲ	l	0.733
u	uː	0.714
ɨ_ˈ	i_̂	0.711
o_ˈ	̂	0.687
x	x	0.678
e_ˈ	e_̂	0.622
a	a	0.62
tʲ	t	0.577
ɐ	o_̌	0.573
ɨ	iː	0.533
r	-	0.517
e	r̩	0.514
ɫ	l	0.49
ə	a	0.486
r	r	0.483
tʲ	t_i	0.423
ɵ	r̩ː	0.414
j	ʋ	0.387
ɨ	-	0.382
ɫ	-	0.369
j	k	0.356
e	eː	0.355
x	-	0.322
ɪ	-	0.31
o	o	0.306
ə	o	0.304
ɵ	-	0.291
ɨ_ˈ	i	0.289
u	u	0.286
lʲ	ʎ	0.267
o	oː	0.262
j	-	0.258
a	aː	0.252
rʲ	-	0.249
e_ˈ	e	0.243
o_ˈ	a	0.24
ɪ	e_̌	0.222
ʨ	ʨ	0.213
ə	-	0.21
ɪ	eː	0.192
nʲ	ɲ	0.182
i	iː	0.178
o	a	0.172
ɐ	o	0.157
ɵ	eː	0.148
ɵ	a	0.148
ɫ	o	0.14
o	aː	0.14
ɐ	aː_̌	0.135
ɐ	-	0.135
e_ˈ	̂	0.135
v	u	0.134
e	e	0.131
a	eː	0.128
o	uː	0.12
s	s_a	0.115
ɪ	eː_̌	0.085
ˈ	̌	0.084
ɨ	e_̌	0.084
ɪ	e	0.081
ɪ	a	0.079
o_ˈ	o	0.073
ˈ	-	0.053
