Shanghainese	Shanghainese	probability
⁵⁵	²⁴	1.0
⁵³	³³	1.0
⁵	²⁴	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦ	ʦ	1.0
ʥ	ʨ	1.0
ʔ_⁵⁵	²⁴	1.0
ʔ_¹²	²⁴	1.0
ʔ	-	1.0
ɯ	-	1.0
ɪ	e	1.0
ɥ	ɥ	1.0
ɤ	ə_w	1.0
ɡ	k	1.0
ɜ	ə_w	1.0
ə_ʔ	ɤ	1.0
ɕ	ɕ	1.0
ɔ	ɒ	1.0
ɑ̃	a_n	1.0
ŋ̍	-	1.0
¹²	²⁴	1.0
z̩	z̩	1.0
y	y	1.0
w	w	1.0
v	ɸ	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ_i	ɤ	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɪ	i	1.0
j	j	1.0
h	x	1.0
f	ɸ	1.0
d	t	1.0
b	p	1.0
ã	æ	1.0
a_ʔ	ɤ	1.0
a	a	1.0
<#_ɦ_y	<#_y	1.0
<#_ɦ	<#	1.0
n	n	0.895
ŋ	n	0.818
m	m	0.75
ʦʰ	ʦʰ	0.714
nʲ	nʲ	0.667
i	i	0.65
²³	¹³	0.623
ɦ	x	0.6
ə	ə	0.6
o	ə	0.571
z	ʦ	0.556
u	o	0.545
ø	a_n	0.5
ø	-	0.5
o_ʔ	ə_w	0.5
o_ʔ	o	0.5
e	a_j	0.5
<#	<#_ŋ	0.5
<#	<#_w	0.5
³⁴	⁴¹	0.462
ɦ	ɸ	0.4
³⁴	⁴⁵	0.385
z	s	0.333
nʲ	ʐ	0.333
e	a	0.333
ʦʰ	ʨʰ	0.286
o	a	0.286
u	u	0.273
m	w	0.25
ə	y	0.2
ə	-	0.2
²³	²¹	0.197
ŋ	ŋ	0.182
u	-	0.182
e	j	0.167
³⁴	w_⁴¹	0.154
i	j_ẽ	0.15
²³	⁴¹	0.148
o	ɤ	0.143
z	ʂ	0.111
n	l̃	0.105
i	ẽ	0.1
i	-	0.1
