Aragonese	Aragonese	probability
θ_#>	a_#>	1.0
β_ˈe	a	1.0
β_o	f	1.0
β_a_#>	b_#>	1.0
ˈu_ʎ	u	1.0
ˈu_n	w	1.0
ˈo_ɾ	œ_ʁ	1.0
ˈo_n	ɔ̃	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_n	ɛ̃	1.0
ˈe_ɣ	ø	1.0
ˈa_ɾ	e	1.0
ˈa_ŋ	ɑ̃	1.0
ˈa_ð	e	1.0
ˈa_s	e	1.0
ˈa_n	ɛ̃	1.0
ʧ	ʒ	1.0
ʝ	-	1.0
ʎ_a_#>	j_#>	1.0
ʎ_a	l	1.0
ʃ_ˈe	t	1.0
ʃ_a	s	1.0
ɾ_ˈe	ʁ_i	1.0
ɾ_t	ʁ	1.0
ɾ_e_#>	#>	1.0
ɲ_o	ɛ̃	1.0
ɲ_a	ɲ	1.0
ɲ	-	1.0
z	-	1.0
w_ˈa	a	1.0
w	-	1.0
t_o	ɛ̃	1.0
t_a_#>	t_#>	1.0
t_#>	#>	1.0
s_t	t	1.0
s_a	z	1.0
r	ʁ	1.0
p_o_#>	#>	1.0
o_ɾ	ɔ_ʁ	1.0
o_#>	#>	1.0
n_o	ɛ̃	1.0
n_a	n	1.0
m_ˈa	m_ɛ	1.0
m_a_#>	m_#>	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_ʁ	1.0
k_w	k	1.0
k_a	ʃ	1.0
j_ˈe_ʎ_o_#>	o_#>	1.0
j_t	i	1.0
f	f	1.0
e_ɾ	ɛ_ʁ	1.0
e_n	ɑ̃	1.0
e_#>	#>	1.0
b_w	b	1.0
a_β	ə_v	1.0
a_ð	ɛ	1.0
a_#>	#>	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
ɾ	ʁ	0.92
p	p	0.906
d	d	0.846
ð	-	0.8
ˈi	i	0.773
m	m	0.773
l	l	0.756
ɡ	ɡ	0.75
a	a	0.75
ʎ	j	0.714
t	t	0.714
θ	s	0.684
j_ˈe	ɛ	0.667
s	s	0.605
β	v	0.6
ɣ	-	0.6
ŋ	-	0.6
i	-	0.6
#>	a_#>	0.6
w_ˈe	ɔ	0.588
ˈe_n	ɑ̃	0.571
u	u	0.5
u	-	0.5
k	k	0.5
j_#>	a_#>	0.5
j_#>	#>	0.5
b	v	0.5
<#_ˈa	<#_a	0.5
<#_ˈa	<#	0.5
ˈu	y	0.429
ˈe_n	ɔ̃	0.429
ˈo	u	0.421
w_ˈe	œ	0.412
k	ʃ	0.412
ɣ	ɡ	0.4
ŋ	ɛ̃	0.4
#>	s_#>	0.4
s	-	0.395
e	-	0.389
ˈa	ɛ	0.379
n	ɑ̃	0.333
j_ˈe	j	0.333
j	-	0.333
e	w	0.333
θ	-	0.316
o	-	0.316
ˈe	ɛ	0.312
b	b	0.312
ˈa	a	0.31
ʎ	l	0.286
t	-	0.286
n	n	0.278
n	-	0.278
e	ə	0.278
β	-	0.267
ɡ	-	0.25
l	-	0.244
ˈi	-	0.227
m	-	0.227
ˈo	o	0.211
ˈo	-	0.211
o	u	0.211
j	j	0.208
j	i	0.208
ð	w	0.2
i	ə	0.2
i	i	0.2
ˈu	ɥ	0.19
ˈe	w	0.188
ˈe	-	0.188
j	ɛ	0.167
ˈo	ɔ	0.158
o	o	0.158
d	-	0.154
ˈu	w	0.143
ˈu	u	0.143
ˈa	e	0.138
β	b	0.133
ˈe	a	0.125
b	-	0.125
a	ɛ	0.125
a	-	0.125
n	ɔ̃	0.111
o	ʁ	0.105
o	ɔ	0.105
o	ø	0.105
ˈe	i	0.104
ˈa	-	0.103
ˈu	-	0.095
p	-	0.094
k	-	0.088
j	ʁ	0.083
ˈa	ɑ̃	0.069
b	v_w	0.062
