Ligurian	Spanish	probability
a	a	0.931
a	-	0.069
b	b	0.661
b	-	0.148
b	k	0.11
b	β	0.082
d	d	0.637
d	-	0.269
d	ð	0.086
e	e	0.63
e	ˈe	0.098
e	a	0.071
e	o	0.062
e	-	0.06
f	f	0.702
f	ɾ	0.298
i	i	0.311
i	o	0.19
i	e	0.187
i	ɾ	0.093
j	e	0.311
j	-	0.224
j	ɾ	0.22
j	o	0.073
j	ˈe	0.066
k	k	0.972
l	l	0.735
l	ʝ	0.2
m	m	0.911
n	n	0.85
n	-	0.092
n	ɲ	0.059
o	o	1.0
p	p	0.892
p	β	0.066
r	ɾ	0.546
r	r	0.159
r	ˈe_ɾ	0.146
r	-	0.106
s	s	0.62
s	θ	0.253
s	-	0.078
t	t	0.626
t	ð	0.202
t	ʧ	0.13
u	o	0.907
u	-	0.058
v	b	0.488
v	β	0.358
v	β_ɾ	0.054
w	-	0.278
w	w	0.258
w	o	0.161
w	o_ɾ	0.067
w	ˈo	0.067
w	ɾ	0.066
w	l	0.057
y	e	1.0
z	-	0.2
z	x	0.19
z	ɾ	0.179
z	ɟ͡ʝ	0.164
z	s	0.135
z	θ	0.091
ŋ	n	0.553
ŋ	n_o	0.201
ŋ	ŋ	0.092
ŋ	m	0.072
ŋ	-	0.052
ɔː	o	0.569
ɔː	ˈa	0.431
ɡ	ɣ	0.656
ɡ	ɡ	0.236
ɡ	-	0.051
ɥ	a	1.0
ɲ	ɲ	0.486
ɲ	n	0.45
ɲ	ŋ	0.064
ʃ	θ	0.371
ʃ	r	0.16
ʃ	ɟ͡ʝ	0.16
ʃ	s	0.155
ʃ	ɡ	0.155
ʒ	θ	0.708
ʒ	b	0.125
ʒ	m	0.118
ʤ	x	0.71
ʤ	ʝ	0.099
ʤ	β	0.09
ʤ	b	0.061
ʧ	ɟ͡ʝ	0.55
ʧ	p	0.198
ʧ	k	0.157
ʧ	θ	0.095
ˈa	ˈa	0.913
ˈa	ˈe	0.057
ˈaː	ˈa_ɾ	0.41
ˈaː	ˈa	0.386
ˈaː	s_ˈo	0.058
ˈe	ˈe	0.792
ˈe	ˈi	0.148
ˈeː	ˈe	0.692
ˈeː	e	0.15
ˈeː	ɾ_ˈe	0.106
ˈeː	-	0.052
ˈi	ˈi	0.591
ˈi	ˈe	0.361
ˈiː	ˈi_ɾ	0.378
ˈiː	ˈi	0.295
ˈiː	ˈo	0.141
ˈiː	i	0.076
ˈu	ˈo	0.536
ˈu	w	0.24
ˈu	ˈu	0.133
ˈu	o	0.051
ˈuː	ˈo	0.314
ˈuː	ˈu	0.227
ˈuː	l_ˈo	0.172
ˈuː	ˈo_l	0.169
ˈuː	w	0.118
ˈy	ˈu	0.617
ˈy	ˈi	0.15
ˈy	ˈe	0.113
ˈy	ˈo	0.095
ˈyː	ˈu	0.447
ˈyː	ˈu_ɾ	0.282
ˈyː	ˈo	0.271
ˈø	ˈo	0.632
ˈø	w	0.229
ˈø	a	0.139
ˈøː	w_ˈe	0.523
ˈøː	w	0.296
ˈøː	ˈo	0.181
ˈɔ	w_ˈe	0.434
ˈɔ	ˈo	0.219
ˈɔ	a	0.138
ˈɔ	o	0.105
ˈɔ	ˈu	0.103
ˈɔː	w	0.685
ˈɔː	ˈo	0.158
ˈɔː	o	0.09
ˈɔː	ˈo_ɾ	0.066
ˈɛ	ˈe_j	0.343
ˈɛ	ˈi	0.293
ˈɛ	e	0.198
ˈɛ	j_ˈe	0.084
ˈɛ	ˈe	0.082
ˈɛː	j	0.328
ˈɛː	ˈa	0.236
ˈɛː	-	0.14
ˈɛː	ˈa_ð	0.107
ˈɛː	ˈe	0.098
ˈɛː	ˈi	0.075
