Gascon	Latin	probability
d	d	1.0
nː	ɪ	1.0
ʃ	s	1.0
ˈɛ	ˈɛ	1.0
e	ɛ	0.141
e	ɪ	0.191
j	t	0.491
k	ɛ_#>	0.081
t	lʲː	0.051
w	w_ʊ̃ː	0.1
ɔ	ãː	0.871
ˈa	ˈaː	0.311
ˈu	ˈoː	0.291
ˈu	ˈɔ	0.311
β	p	0.381
e	ɛ_r	0.162
i	iː	0.512
k	ʊ̃ː_#>	0.082
n	n	0.782
p	p	0.942
u	ɛ	0.052
z	k	0.292
ɡ	k	0.182
ʎ	ɫ	0.272
ˈu	ˈʊ	0.292
a	aː	0.153
b	b	0.33
k	k	0.483
r	r	0.803
u	ˈoː	0.083
u	ɔ	0.503
w	ɛ̃ː	0.053
z	-	0.103
ð	t	0.803
ŋ	n_ɛ̃ː	0.143
ʎ	ʊ_ɫ	0.13
ʒ	ɡ	0.383
ʤ	t	0.343
ˈa	ˈaː_r	0.143
ˈe	ˈeː	0.143
ˈy	ˈʊ	0.283
β	p_ɛ	0.143
β	b	0.3
j	lʲ_i	0.114
r	-	0.054
s	s	0.764
t	lʲː_ʊ̃ː	0.144
u	oː	0.304
ɣ	ɡ	0.074
ɾ	ɛ_r	0.124
ʎ	ʊ_ɫ_ʊ̃ː	0.084
ˈa	ˈa	0.484
ˈe	ˈoː	0.084
ˈy	ˈuː_k	0.084
j	-	0.125
k	kː	0.055
k	k_ʊ̃ː	0.125
l	lʲː	0.105
l	l	0.255
n	n_t	0.125
r	r_n	0.085
s	-	0.165
t	t_ʊ̃ː	0.055
w	ɫ_ʊ̃ː	0.125
z	s	0.605
ʎ	r	0.05
ʒ	d_i	0.075
ʒ	j	0.505
ʦ	t	0.15
ʦ	-	0.85
ˈe	ˈɛ	0.255
β	w	0.175
b	w	0.66
j	ʊ̃ː	0.06
l	ɫ	0.536
t	t	0.396
w	ˈɔ	0.066
w	w	0.206
ŋ	n_ʊ̃ː	0.426
ɣ	k	0.926
ɲ	ŋ_n	0.116
ʎ	ɫ_ʊ̃ː	0.076
ˈy	ˈu	0.06
ˈɔ	ˈɔ	0.976
j	i	0.057
j	e	0.127
k	ɛ̃ː_#>	0.067
t	-	0.057
w	ɫ	0.157
ð	d	0.197
ŋ	ŋ	0.237
ɲ	n	0.137
ʎ	-	0.07
ʤ	d	0.657
ˈe	ɛ	0.117
ˈe	ˈɪ	0.207
a	a	0.78
e	ɪ_k	0.078
e	ʊ̃ː	0.088
e	r_ɛ	0.098
h	f	0.978
i	ɛ̃ː	0.488
p	p_ʊ̃ː	0.058
t	t_ɛ̃ː	0.078
t	tː	0.08
w	ɔ	0.108
ŋ	n	0.178
ɡ	ɡ	0.818
ɲ	n_i	0.368
ɾ	-	0.08
ɾ	r	0.768
ˈi	ˈiː	0.888
ˈu	ˈoː_r	0.078
k	kʷ	0.09
m	m	0.989
w	-	0.159
ɲ	n_e	0.379
ʎ	lʲ_i	0.319
ˈe	ˈeː_ɡ	0.099
ˈy	ˈuː	0.539
