Brazilian Portuguese	Spanish	probability
ẽ	e	1.0
f	f	1.0
ĩ	i	1.0
o	o	1.0
õ	o	1.0
p	p	1.0
ɦ	ɾ	1.0
ʎ	x	1.0
ʤ	d	1.0
d	d	0.411
n	n	0.81
w	l	0.711
w̃	n	0.451
ɐ	n_a	0.081
ʃ	s	0.481
ʒ	ʝ	0.071
ʒ	x	0.771
ʧ	ʧ	0.161
ˈa	l_ˈa	0.061
ˈi	ˈi	0.931
ˈo	w_ˈe	0.361
ˈɐ̃	ˈa	0.751
ˈɔ	ˈo	0.491
e	e	0.882
ˈe	ˈi	0.072
ˈo	ˈu	0.082
ˈo	ˈo	0.452
ˈõ	w_ˈe	0.122
ˈõ	n	0.282
ˈõ	ˈo	0.472
ˈɔ	w_ˈe	0.402
h	ɾ	0.843
j	-	0.303
j	j	0.623
l	l	0.633
t	ʧ	0.093
ˈu	ˈu	0.93
a	a	0.954
b	b	0.374
e	o	0.054
j̃	ɲ	0.264
s	θ	0.424
z	θ	0.964
ʃ	ɟ͡ʝ	0.174
ʧ	n_t	0.304
ˈẽ	j_ˈe	0.344
ˈĩ	ˈi	0.934
ˈõ	ˈo_n	0.124
ˈũ	ˈu	0.954
ˈɛ	ˈi	0.164
j	t_ɾ	0.075
ɡ	ɡ	0.335
ɡ	ɣ	0.665
ʧ	t	0.535
j̃	n	0.736
s	s	0.576
ˈẽ	ˈe	0.656
ˈĩ	ˈe	0.066
ˈɛ	j_ˈe	0.836
b	β	0.57
h	r	0.157
k	k	0.97
l	ʝ	0.367
t	n_t	0.207
t	t	0.7
u	o	0.997
v	b	0.547
ˈu	ˈo	0.07
ˈɐ̃	ˈa_n	0.207
ˈɔ	s_ˈo	0.107
m	m	0.978
v	β	0.448
ɾ	ɾ	0.978
ʒ	θ	0.158
ˈe	ˈe	0.928
ˈo	l_ˈo	0.058
d	ð	0.589
i	ɾ_e	0.059
i	e	0.899
n	ɲ	0.19
w	w	0.289
w̃	n_o	0.549
ɐ	a	0.919
ʃ	θ	0.289
ˈa	ˈa	0.939
ˈi	ˈe	0.069
