Emilian	Emilian	probability
ˈɛː	ˈe	1.0
ˈɛ_d	ˈa_ð	1.0
ˈa_j	ˈe	1.0
ˈa_d	ˈe	1.0
ʧ	ʝ	1.0
ʤ	ʃ	1.0
ɡ_#>	ˈe_u_#>	1.0
z_#>	θ_#>	1.0
w	w	1.0
t_a	t_a	1.0
t_#>	#>	1.0
s_ˈa	s_ˈa	1.0
s_e	θ_ˈe	1.0
r_ˈa	ɾ_ˈa	1.0
r_e	ɾ	1.0
r_a	ɾ_a	1.0
o	-	1.0
n_ˈo	n_ˈo	1.0
n_a	a	1.0
m_#>	m_e_#>	1.0
m	m	1.0
l_ˈa	ʎ_ˈe	1.0
l_#>	l_#>	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j_ˈɔː	ˈi	1.0
f	f	1.0
b_ˈɛ	f_e	1.0
a_r	e_ɾ	1.0
<#_θ	<#_θ	1.0
<#_ˈo	<#_ˈu	1.0
<#_ʧ	<#_ʎ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
a	a	0.942
p	p	0.92
n	n	0.857
ˈʌ	ˈo	0.8
r	ɾ	0.79
ˈaː	ˈa	0.789
ˈʌu̯	ˈo	0.778
t	t	0.758
ˈe	ˈi	0.733
s	s	0.71
ˈɔ	w_ˈe	0.7
ð	ʃ	0.7
θ	θ	0.667
i	-	0.667
b	b	0.667
<#	<#_ɡ	0.667
#>	u_#>	0.652
ˈɛ	ˈa	0.634
u	o	0.6
ɡ	ɣ	0.583
ˈæ	j	0.571
ˈa	ˈe	0.571
ɲ	ɲ	0.571
ˈiː	ˈe	0.533
l	ʎ	0.526
ˈo	ˈu	0.5
ŋ_#>	ŋ_#>	0.5
ŋ_#>	n_u_#>	0.5
ŋ	n	0.5
z	θ	0.5
z	-	0.5
v	β	0.5
v	b	0.5
ˈiː	ˈi	0.467
d	ð	0.467
e	e	0.462
j	ʝ	0.455
ˈuː	ˈu	0.444
ˈæ	-	0.429
ˈa	ˈa	0.429
ɲ	-	0.429
ˈɔː	w	0.4
u	u	0.4
j	-	0.364
e_r	ɾ_u	0.364
e_r	ɾ_e	0.364
θ	t	0.333
ˈɔː	ˈo	0.333
ˈuː	w_ˈe	0.333
i	i	0.333
b	β	0.333
<#	<#_ʎ	0.333
ˈɔ	ˈo	0.3
ð	-	0.3
l	l	0.289
e_r	ɾ	0.273
ˈɔː	w_ˈe	0.267
ˈe	ˈe	0.267
#>	e_#>	0.258
ɡ	ɡ	0.25
e	ɾ	0.231
s	e_s	0.226
ˈʌu̯	ˈu	0.222
ˈuː	w	0.222
ˈɛ	j_ˈe	0.22
ŋ	ŋ	0.214
ˈʌ	-	0.2
d	d	0.2
d	-	0.2
j	l	0.182
ˈo	ˈo	0.167
ˈo	w_ˈe	0.167
ˈo	-	0.167
ɡ	-	0.167
e	ˈi	0.154
e	ˈe	0.154
n	-	0.143
d	u	0.133
t	ʧ	0.121
t	ð	0.121
ŋ	ˈe_n	0.107
ŋ	-	0.107
ˈaː	ˈe	0.105
ˈaː	-	0.105
ˈɛ	ˈe	0.098
r	ˈe_ɾ	0.081
p	-	0.08
l	-	0.079
ŋ	ˈe	0.071
s	ʃ_u	0.065
#>	a_#>	0.061
a	e	0.058
l	ɾ_m	0.053
l	ɾ	0.053
