Swabian	Afrikaans	probability
ˈɪ	ˈə	1.0
ˈɔə̯	ˈɔ	1.0
ˈɔ	ˈʊə̯	1.0
ˈuː	ˈu	1.0
ˈo_ʕ	ˈʊə̯_r	1.0
ˈiː	ˈi	1.0
ˈeə̯	-	1.0
ˈa_n	ˈɛː	1.0
ˈa_l	ˈœu̯	1.0
ʦ	t	1.0
ʕ	r	1.0
ʋ	v	1.0
ʁ	r	1.0
ɪ	ə	1.0
ɡ_s	s	1.0
ŋ_ɡ	ŋ_k	1.0
ŋ	ŋ	1.0
ç_d	χ	1.0
ç	k	1.0
t	d̥	1.0
s_ˈeː	s_ˈi	1.0
s_a	t	1.0
m	m	1.0
l_e	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
j	j	1.0
i	ə	1.0
h	ɦ	1.0
f_a	p	1.0
eə̯	i_n	1.0
d_ʌ	r	1.0
d_a	d̥	1.0
b̥͡f	p	1.0
n	n	0.892
ˈɔː	ˈɑː	0.815
ˈo	ˈɔ	0.8
ɡ	χ	0.785
ˈuə̯	ˈu	0.778
ˈa	ˈa	0.771
s	s	0.733
a	-	0.733
ˈe	ˈə	0.717
f	v̥	0.717
ˈiə̯	ˈi	0.714
ʌ	ə_r	0.702
b	b	0.692
ʃ	s	0.687
ˈeː	ˈʊə̯	0.681
x	χ	0.668
ˈoː	ˈʊə̯	0.656
ˈəi̯	ˈəɪ̯	0.639
ˈɔe̯	ˈɪə̯	0.59
ˈɛː	ˈɪə̯	0.58
ˈi	ˈə	0.575
d	d	0.547
ʃ_d	s_t	0.54
ˈao̯	ˈœɪ̯	0.522
ʃ_d	s	0.46
ˈɛː	ˈɑː	0.42
ˈɔe̯	ˈəɪ̯	0.41
ˈaː	ˈa	0.38
ˈu	ˈœ	0.378
ˈu	ˈɔ	0.37
ˈaː	ˈa_n	0.367
ˈao̯	ˈʊə̯	0.343
x	k	0.332
d	d̥	0.32
ˈeː	-	0.319
ʃ	s_k	0.313
ʌ	r	0.298
ˈiə̯	ˈu	0.286
ˈe	ˈɛ	0.283
ˈoː	-	0.279
s	t	0.267
ˈae̯	ˈi	0.265
ˈae̯	ˈʊə̯	0.254
ˈaː	ˈɑː	0.253
ˈu	-	0.252
ˈi	ˈæ	0.229
ˈa	ˈɑː	0.229
ˈuə̯	ˈu_j	0.222
b	-	0.22
a	n	0.213
ˈɛ	ˈa	0.202
ˈae̯	-	0.201
ˈɛ	-	0.199
ˈi	-	0.197
ˈɔː	-	0.185
ˈəi̯	ˈə	0.184
ˈəi̯	ˈyː	0.176
f	p	0.176
ˈɛ	ˈɛ	0.152
ˈae̯	ˈəɪ̯	0.14
ˈae̯	ˈœɪ̯	0.14
ˈao̯	-	0.135
ˈɛ	ˈɪə̯	0.125
ˈɛ	ˈɑː	0.125
ˈɛ	ˈæ	0.122
ˈo	-	0.115
f	-	0.107
ɡ	-	0.091
b	v̥	0.088
ˈo	ˈʊə̯	0.084
ɡ	k	0.08
ˈɛ	ˈæː	0.076
d	-	0.069
ˈoː	ˈoː	0.066
d	t	0.064
n	ə	0.055
a	ə_n	0.054
n	ˈə_n	0.053
