Occitan	Aragonese	probability
f	f	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɔ	a	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ʎ	ʎ	1.0
ʦ	θ	1.0
β	β	1.0
e	e	0.641
l	l	0.651
r	ɾ_n	0.091
s	θ	0.211
s	s	0.641
u	u	0.111
ˈa	ˈa_n	0.051
ˈi	ˈi	0.861
ˈy	ˈu_ɾ	0.051
a	-	0.12
j	j	0.812
l	l_o	0.082
l	ʎ_o	0.182
p	β	0.072
ɥ	w	0.942
ˈu	ˈo	0.282
ˈy	ˈe	0.072
ˈɔ	ˈo	0.102
ˈɛ	o	0.052
b	b_w	0.083
i	o	0.763
k	k	0.833
w	o	0.3
w	w	0.443
ɾ	-	0.073
ˈu	ˈo_ɾ	0.093
ˈɔ	w_ˈe	0.723
r	r	0.334
z	ð	0.064
ʤ	ʧ	0.924
ˈe	ʝ_ˈe	0.054
ˈɔ	ˈe	0.174
k	ɡ	0.05
n	n_t	0.135
r	ɾ	0.555
t	t	0.905
v	b	0.985
ɲ	ɲ_o	0.385
ɲ	ɲ	0.615
ʧ	j	0.185
ˈa	ˈa_ɾ	0.155
ˈu	w_ˈe	0.065
ˈu	ˈu	0.265
t	t_o	0.056
ʤ	ʝ	0.076
ˈu	ˈe	0.246
ˈɛ	ˈe	0.386
e	o	0.227
i	i	0.237
m	m	0.97
n	n	0.807
s	ʃ	0.097
w	j	0.07
w	-	0.07
w	β	0.117
z	s	0.547
ɾ	ɾ	0.927
ʧ	j_t	0.617
ˈi	ˈe	0.107
ˈy	ˈu	0.877
a	a	0.88
b	b	0.898
j	-	0.188
n	-	0.058
p	p	0.928
ɥ	-	0.058
ʧ	-	0.198
ˈa	ˈa	0.618
ˈe	ˈe	0.908
d	d	0.979
u	o	0.889
z	θ	0.389
ˈɛ	j_ˈe	0.529
