Bulgarian	Russian	probability
b	b	1.0
f	v_ɨ	1.0
i	ˈɨ	1.0
j	-	1.0
k	k	1.0
l	lʲ	1.0
lʲ	lʲ	1.0
vʲ	vʲ	1.0
x	x	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
o	ə	0.41
t	tʲ	0.421
ɐ	ə	0.321
ˈa	ˈo	0.111
ˈi	ˈi	0.651
ˈɛ	ˈæ	0.061
ˈɤ	ˈo	0.541
m	mʲ	0.622
n	n	0.572
s	s	0.512
ɐ	-	0.312
ˈɔ	ˈo	0.762
ˈɛ	ˈa	0.072
r	rʲ	0.263
t	t	0.553
ɛ	ɪ	0.893
o	ɐ	0.544
v	vʲ	0.614
z	z	0.554
ˈɛ	ɪ	0.114
ˈɛ	ˈe	0.574
d	d	0.465
d	dʲ	0.535
p	p	0.465
p	pʲ	0.535
ɐ	ˈe	0.075
ɡ	ɡ_ˈo	0.065
ɫ	lʲ	0.135
ˈa	ˈe	0.295
ˈa	ˈa	0.545
v	v	0.386
z	zʲ	0.446
r	r	0.737
ɐ	ɪ	0.167
ˈɔ	ə	0.217
m	m	0.378
n	nʲ	0.428
s	sʲ	0.488
ɛ	ɐ	0.098
ɡ	ɡ	0.878
ɫ	ɫ	0.838
ˈɤ	ˈɵ	0.08
ˈɤ	ˈe	0.108
ˈɤ	ˈu	0.188
ɐ	ʊ	0.099
ˈi	ˈɨ	0.349
ˈɛ	ˈɵ	0.179
